venue	lon	lat	senti	txt
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
Carnegie Museum of Natural History	-79.9493	40.4433	0.263	Just posted a photo Carnegie Museum of Natural History
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
CONSOL Energy Center	-79.9894	40.4396	0.296	Just posted a photo CONSOL Energy Center
Fright Nights At Kennywood Park	-79.8641	40.3865	-0.271	Just posted a photo Fright Nights At Kennywood Park
Fright Nights At Kennywood Park	-79.8641	40.3865	-0.271	Just posted a photo Fright Nights At Kennywood Park
Fright Nights At Kennywood Park	-79.8641	40.3865	-0.271	Just posted a photo Fright Nights At Kennywood Park
Fright Nights At Kennywood Park	-79.8641	40.3865	-0.271	Just posted a photo Fright Nights At Kennywood Park
Fright Nights At Kennywood Park	-79.8641	40.3865	-0.271	Just posted a photo Fright Nights At Kennywood Park
Fright Nights At Kennywood Park	-79.8641	40.3865	-0.271	Just posted a photo Fright Nights At Kennywood Park
Fright Nights At Kennywood Park	-79.8641	40.3865	-0.271	Just posted a photo Fright Nights At Kennywood Park
Fright Nights At Kennywood Park	-79.8641	40.3865	-0.271	Just posted a photo Fright Nights At Kennywood Park
Fright Nights At Kennywood Park	-79.8641	40.3865	-0.271	Just posted a photo Fright Nights At Kennywood Park
Fright Nights At Kennywood Park	-79.8641	40.3865	-0.271	Just posted a photo Fright Nights At Kennywood Park
Mad Mex Shadyside	-79.9251	40.4583	-0.390	Just posted a photo Mad Mex Shadyside
Mad Mex Shadyside	-79.9251	40.4583	-0.390	Just posted a photo Mad Mex Shadyside
Mad Mex Shadyside	-79.9251	40.4583	-0.390	Just posted a photo Mad Mex Shadyside
Mad Mex Shadyside	-79.9251	40.4583	-0.390	Just posted a photo Mad Mex Shadyside
Mad Mex Shadyside	-79.9251	40.4583	-0.390	Just posted a photo Mad Mex Shadyside
Mad Mex Shadyside	-79.9251	40.4583	-0.390	Just posted a photo Mad Mex Shadyside
Mad Mex Shadyside	-79.9251	40.4583	-0.390	Just posted a photo Mad Mex Shadyside
Mad Mex Shadyside	-79.9251	40.4583	-0.390	Just posted a photo Mad Mex Shadyside
Mad Mex Shadyside	-79.9251	40.4583	-0.390	Just posted a photo Mad Mex Shadyside
Soldiers & Sailors Memorial Hall & Museum Trust	-79.9564	40.4450	0.248	Just posted a photo Soldiers &amp; Sailors Memorial Hall &amp; Museum Trust
Soldiers & Sailors Memorial Hall & Museum Trust	-79.9564	40.4450	0.248	Just posted a photo Soldiers &amp; Sailors Memorial Hall &amp; Museum Trust
Soldiers & Sailors Memorial Hall & Museum Trust	-79.9564	40.4450	0.248	Just posted a photo Soldiers &amp; Sailors Memorial Hall &amp; Museum Trust
Soldiers & Sailors Memorial Hall & Museum Trust	-79.9564	40.4450	0.248	Just posted a photo Soldiers &amp; Sailors Memorial Hall &amp; Museum Trust
Soldiers & Sailors Memorial Hall & Museum Trust	-79.9564	40.4450	0.248	Just posted a photo Soldiers &amp; Sailors Memorial Hall &amp; Museum Trust
Soldiers & Sailors Memorial Hall & Museum Trust	-79.9564	40.4450	0.248	Just posted a photo Soldiers &amp; Sailors Memorial Hall &amp; Museum Trust
Soldiers & Sailors Memorial Hall & Museum Trust	-79.9564	40.4450	0.248	Just posted a photo Soldiers &amp; Sailors Memorial Hall &amp; Museum Trust
Soldiers & Sailors Memorial Hall & Museum Trust	-79.9564	40.4450	0.248	Just posted a photo Soldiers &amp; Sailors Memorial Hall &amp; Museum Trust
Phantom Fright Nights	-79.8652	40.3857	-0.342	Just posted a photo Phantom Fright Nights
Phantom Fright Nights	-79.8652	40.3857	-0.342	Just posted a photo Phantom Fright Nights
Phantom Fright Nights	-79.8652	40.3857	-0.342	Just posted a photo Phantom Fright Nights
Phantom Fright Nights	-79.8652	40.3857	-0.342	Just posted a photo Phantom Fright Nights
Phantom Fright Nights	-79.8652	40.3857	-0.342	Just posted a photo Phantom Fright Nights
Phantom Fright Nights	-79.8652	40.3857	-0.342	Just posted a photo Phantom Fright Nights
Phantom Fright Nights	-79.8652	40.3857	-0.342	Just posted a photo Phantom Fright Nights
Smithfield United Church Of Christ_2	-80.0079	40.4490	0.286	Just posted a photo Smithfield United Church Of Christ
Smithfield United Church Of Christ_2	-80.0079	40.4490	0.286	Just posted a photo Smithfield United Church Of Christ
Smithfield United Church Of Christ_2	-80.0079	40.4490	0.286	Just posted a photo Smithfield United Church Of Christ
Smithfield United Church Of Christ_2	-80.0079	40.4490	0.286	Just posted a photo Smithfield United Church Of Christ
Smithfield United Church Of Christ_2	-80.0079	40.4490	0.286	Just posted a photo Smithfield United Church Of Christ
Smithfield United Church Of Christ_2	-80.0079	40.4490	0.286	Just posted a photo Smithfield United Church Of Christ
Smithfield United Church Of Christ_2	-80.0079	40.4490	0.286	Just posted a photo Smithfield United Church Of Christ
The Smiling Moose	-79.9850	40.4288	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	0.375	Just posted a photo The Smiling Moose
Thrival Festival	-79.9526	40.4241	0.444	Just posted a photo Thrival Festival
Thrival Festival	-79.9526	40.4241	0.444	Just posted a photo Thrival Festival
Thrival Festival	-79.9526	40.4241	0.444	Just posted a photo Thrival Festival
Thrival Festival	-79.9526	40.4241	0.444	Just posted a photo Thrival Festival
Thrival Festival	-79.9526	40.4241	0.444	Just posted a photo Thrival Festival
Thrival Festival	-79.9526	40.4241	0.444	Just posted a photo Thrival Festival
The Milk Shake Factory	-79.9818	40.4289	-0.221	Just posted a photo The Milk Shake Factory
The Milk Shake Factory	-79.9818	40.4289	-0.221	Just posted a photo The Milk Shake Factory
The Milk Shake Factory	-79.9818	40.4289	-0.221	Just posted a photo The Milk Shake Factory
The Milk Shake Factory	-79.9818	40.4289	-0.221	Just posted a photo The Milk Shake Factory
The Milk Shake Factory	-79.9818	40.4289	-0.221	Just posted a photo The Milk Shake Factory
Sin City Clubhouse	-79.8885	40.4546	-0.419	Just posted a photo Sin City Clubhouse
Sin City Clubhouse	-79.8885	40.4546	-0.419	Just posted a photo Sin City Clubhouse
Sin City Clubhouse	-79.8885	40.4546	-0.419	Just posted a photo Sin City Clubhouse
Sin City Clubhouse	-79.8885	40.4546	-0.419	Just posted a photo Sin City Clubhouse
Sin City Clubhouse	-79.8885	40.4546	-0.419	Just posted a photo Sin City Clubhouse
Studio 41 Entertainment	-80.0028	40.4413	0.359	Just posted a photo Studio 41 Entertainment
Studio 41 Entertainment	-80.0028	40.4413	0.359	Just posted a photo Studio 41 Entertainment
Studio 41 Entertainment	-80.0028	40.4413	0.359	Just posted a photo Studio 41 Entertainment
Studio 41 Entertainment	-80.0028	40.4413	0.359	Just posted a photo Studio 41 Entertainment
Studio 41 Entertainment	-80.0028	40.4413	0.359	Just posted a photo Studio 41 Entertainment
Port Authority South Hills Junction	-80.0075	40.4207	0.157	Just posted a photo Port Authority South Hills Junction
Port Authority South Hills Junction	-80.0075	40.4207	0.157	Just posted a photo Port Authority South Hills Junction
Port Authority South Hills Junction	-80.0075	40.4207	0.157	Just posted a photo Port Authority South Hills Junction
Port Authority South Hills Junction	-80.0075	40.4207	0.157	Just posted a photo Port Authority South Hills Junction
Port Authority South Hills Junction	-80.0075	40.4207	0.157	Just posted a photo Port Authority South Hills Junction
Mexican War Streets	-80.0107	40.4554	-0.438	Just posted a photo Mexican War Streets
Mexican War Streets	-80.0107	40.4554	-0.438	Just posted a photo Mexican War Streets
Mexican War Streets	-80.0107	40.4554	-0.438	Just posted a photo Mexican War Streets
Mexican War Streets	-80.0107	40.4554	-0.438	Just posted a photo Mexican War Streets
Mexican War Streets	-80.0107	40.4554	-0.438	Just posted a photo Mexican War Streets
East Liberty Presbytarian Church	-79.9741	40.4375	0.362	Just posted a photo East Liberty Presbytarian Church
East Liberty Presbytarian Church	-79.9741	40.4375	0.362	Just posted a photo East Liberty Presbytarian Church
East Liberty Presbytarian Church	-79.9741	40.4375	0.362	Just posted a photo East Liberty Presbytarian Church
East Liberty Presbytarian Church	-79.9741	40.4375	0.362	Just posted a photo East Liberty Presbytarian Church
East Liberty Presbytarian Church	-79.9741	40.4375	0.362	Just posted a photo East Liberty Presbytarian Church
Great Allegheny Passage	-79.9186	40.4081	0.451	Just posted a photo Great Allegheny Passage
Great Allegheny Passage	-79.9186	40.4081	0.451	Just posted a photo Great Allegheny Passage
Great Allegheny Passage	-79.9186	40.4081	0.451	Just posted a photo Great Allegheny Passage
Great Allegheny Passage	-79.9186	40.4081	0.451	Just posted a photo Great Allegheny Passage
Happy 4th	-79.9714	40.3769	0.481	Just posted a photo Happy 4th
Happy 4th	-79.9714	40.3769	0.481	Just posted a photo Happy 4th
Happy 4th	-79.9714	40.3769	0.481	Just posted a photo Happy 4th
Happy 4th	-79.9714	40.3769	0.481	Just posted a photo Happy 4th
Amazing Cafe	-79.9832	40.4287	0.487	Just posted a photo Amazing Cafe
Amazing Cafe	-79.9832	40.4287	0.487	Just posted a photo Amazing Cafe
Amazing Cafe	-79.9832	40.4287	0.487	Just posted a photo Amazing Cafe
Phantom's Revenge	-79.8660	40.3890	-0.459	Just posted a photo Phantom's Revenge
Phantom's Revenge	-79.8660	40.3890	-0.459	Just posted a photo Phantom's Revenge
Phantom's Revenge	-79.8660	40.3890	-0.459	Just posted a photo Phantom's Revenge
Liberty Tunnel	-79.9994	40.4291	0.459	Just posted a photo Liberty Tunnel
Liberty Tunnel	-79.9994	40.4291	0.459	Just posted a photo Liberty Tunnel
Liberty Tunnel	-79.9994	40.4291	0.459	Just posted a photo Liberty Tunnel
Pittsburgh Improv Comedy Club	-79.9150	40.4091	0.294	Just posted a photo Pittsburgh Improv Comedy Club
Pittsburgh Improv Comedy Club	-79.9150	40.4091	0.294	Just posted a photo Pittsburgh Improv Comedy Club
Pittsburgh Improv Comedy Club	-79.9150	40.4091	0.294	Just posted a photo Pittsburgh Improv Comedy Club
Spirit	-79.9557	40.4784	0.362	Just posted a photo Spirit
Spirit	-79.9557	40.4784	0.362	Just posted a photo Spirit
Spirit	-79.9557	40.4784	0.362	Just posted a photo Spirit
Frick Fine Arts Building	-79.9512	40.4417	0.231	Just posted a photo Frick Fine Arts Building
Frick Fine Arts Building	-79.9512	40.4417	0.231	Just posted a photo Frick Fine Arts Building
Frick Fine Arts Building	-79.9512	40.4417	0.231	Just posted a photo Frick Fine Arts Building
Peace, Love and Little Donuts	-79.9841	40.4521	0.562	Just posted a photo Peace, Love and Little Donuts
Peace, Love and Little Donuts	-79.9841	40.4521	0.562	Just posted a photo Peace, Love and Little Donuts
Peace, Love and Little Donuts	-79.9841	40.4521	0.562	Just posted a photo Peace, Love and Little Donuts
One on One Personal Training & Fitness	-79.9765	40.4562	0.189	Just posted a photo One on One Personal Training &amp; Fitness
One on One Personal Training & Fitness	-79.9765	40.4562	0.189	Just posted a photo One on One Personal Training &amp; Fitness
One on One Personal Training & Fitness	-79.9765	40.4562	0.189	Just posted a photo One on One Personal Training &amp; Fitness
Biddle's Escape	-79.8922	40.4381	0.298	Just posted a photo Biddle's Escape
Biddle's Escape	-79.8922	40.4381	0.298	Just posted a photo Biddle's Escape
Consol Energy Center_2	-79.9902	40.4391	0.296	Just posted a photo Consol Energy Center
