venue	txt	lon	lat	user	year	doy	dow	hour	senti_val
My Exerpeutic Bike	-80.0150	40.4586	lvallana	2014	108	5	18	0.000	I'm at My Exerpeutic Bike (Pittsburgh, PA)
My Exerpeutic Bike	-79.8689	40.4278	JudiRogers	2014	60	6	17	0.000	I'm at My Exerpeutic Bike (Forest Hills, PA)
AGH	-80.0042	40.4569	donny_copper	2014	91	2	10	0.000	I'm at AGH - ER (Pittsburgh, PA)
AGH	-80.0042	40.4569	donny_copper	2014	89	0	12	0.000	I'm at AGH - ER (Pittsburgh, PA)
AGH	-80.0042	40.4569	donny_copper	2014	88	6	10	0.000	I'm at AGH - ER (Pittsburgh, PA)
AGH	-80.0042	40.4569	donny_copper	2014	93	4	14	0.000	I'm at AGH - ER (Pittsburgh, PA)
Yogurt City	-79.8874	40.4264	Swae816	2014	104	1	22	0.000	I'm at Yogurt City (Edgewood, PA)
Yogurt City	-79.8874	40.4264	Swae816	2014	104	1	22	0.000	I'm at Yogurt City (Edgewood, PA)
Western Pennsylvania Hospital	-79.9463	40.4610	kelsdoesnttweet	2015	245	3	16	0.000	I'm at Western Pennsylvania Hospital in Pittsburgh, PA
Western Pennsylvania Hospital	-79.9463	40.4610	Twism44	2014	214	6	22	0.000	I'm at Western Pennsylvania Hospital in Pittsburgh, PA
Western Pennsylvania Hospital	-79.9463	40.4610	Twism44	2014	47	0	4	0.000	I'm at Western Pennsylvania Hospital (Pittsburgh, PA)
Western Pennsylvania Hospital	-79.9463	40.4610	Tamerica531	2014	153	1	16	0.000	I'm at Western Pennsylvania Hospital (Pittsburgh, PA)
Western Pennsylvania Hospital	-79.9463	40.4610	MacGirlie	2014	105	2	19	0.000	I'm at Western Pennsylvania Hospital (Pittsburgh, PA)
Western Pennsylvania Hospital	-79.9463	40.4610	Twism44	2014	214	6	22	0.000	I'm at Western Pennsylvania Hospital in Pittsburgh, PA
Western Pennsylvania Hospital	-79.9463	40.4610	Twism44	2014	47	0	4	0.000	I'm at Western Pennsylvania Hospital (Pittsburgh, PA)
Western Pennsylvania Hospital	-79.9463	40.4610	Tamerica531	2014	153	1	16	0.000	I'm at Western Pennsylvania Hospital (Pittsburgh, PA)
Western Pennsylvania Hospital	-79.9463	40.4610	MacGirlie	2014	105	2	19	0.000	I'm at Western Pennsylvania Hospital (Pittsburgh, PA)
Francesca's Collections	-79.9346	40.4510	beyonskeez	2014	75	0	18	0.000	I'm at Francesca's Collections - (Pittsburgh, PA)
Francesca's Collections	-79.9346	40.4510	ShelbyT20	2015	267	4	16	0.000	I'm at Francesca's Collections - in Pittsburgh, PA
Francesca's Collections	-79.9346	40.4510	ShelbyT20	2015	267	4	16	0.000	I'm at Francesca's Collections - in Pittsburgh, PA
Francesca's Collections	-79.9346	40.4510	beyonskeez	2014	75	0	18	0.000	I'm at Francesca's Collections - (Pittsburgh, PA)
Francesca's Collections	-79.9346	40.4510	beyonskeez	2014	75	0	18	0.000	I'm at Francesca's Collections - (Pittsburgh, PA)
WIC Office	-79.9995	40.4635	kitsu0202	2014	35	2	15	0.000	I'm at WIC Office (Pittsburgh, PA)
Kabob-G Grill	-80.0257	40.3655	YmAlmansour	2015	52	6	22	0.000	I'm at Kabob-G Grill in Castle Shannon, PA
Kabob-G Grill	-80.0257	40.3655	S_alkahlan	2014	144	6	1	0.000	I'm at Kabob-G Grill (Castle Shannon, PA)
Kabob-G Grill	-80.0257	40.3655	S_alkahlan	2014	151	6	0	0.000	I'm at Kabob-G Grill (Castle Shannon, PA)
Kate's Moving Castle	-79.9473	40.4548	nohissyfits	2014	81	6	14	0.000	I'm at Kate's Moving Castle (Pittsburgh, PA)
Kate's Moving Castle	-79.9473	40.4548	nohissyfits	2015	95	0	23	0.000	I'm at Kate's Moving Castle in Pittsburgh, PA
Kate's Moving Castle	-79.9473	40.4548	nohissyfits	2015	95	0	23	0.000	I'm at Kate's Moving Castle in Pittsburgh, PA
Kate's Moving Castle	-79.9473	40.4548	nohissyfits	2014	81	6	14	0.000	I'm at Kate's Moving Castle (Pittsburgh, PA)
Kate's Moving Castle	-79.9473	40.4548	nohissyfits	2014	81	6	14	0.000	I'm at Kate's Moving Castle (Pittsburgh, PA)
Theme	-79.9838	40.3649	BobbyOBobby	2014	74	6	21	0.000	I'm at Theme (Pittsburgh, PA)
Theme	-79.9838	40.3649	BobbyOBobby	2014	171	5	0	0.000	I'm at Theme (Pittsburgh, PA)
Theme	-79.9838	40.3649	BobbyOBobby	2014	144	6	20	0.000	I'm at Theme (Pittsburgh, PA)
Theme	-79.9838	40.3649	BobbyOBobby	2014	146	1	18	0.000	I'm at Theme (Pittsburgh, PA)
Theme	-79.9838	40.3649	BobbyOBobby	2014	74	6	21	0.000	I'm at Theme (Pittsburgh, PA)
Theme	-79.9838	40.3649	BobbyOBobby	2014	171	5	0	0.000	I'm at Theme (Pittsburgh, PA)
Theme	-79.9838	40.3649	BobbyOBobby	2014	144	6	20	0.000	I'm at Theme (Pittsburgh, PA)
