venue	lon	lat	checkin_n	user_n	doy_mode	dow_mode	hour_mode	senti_avg
AMC Loews Waterfront 22	-79.9177	40.4066	428	109	2014	144	0	-0.003
Athleta	-79.9343	40.4508	371	2	2014	49	2	0.000
Homestead Grays Bridge	-79.9182	40.4104	284	2	2014	130	2	0.000
Starbucks_18	-79.9348	40.4511	276	5	2014	80	0	0.000
Foreland Home	-80.0032	40.4496	266	1	2014	56	2	0.000
Waterfront Stacks	-79.9180	40.4048	191	2	2014	182	2	0.000
The Church Brew Works	-79.9644	40.4621	180	55	2014	187	6	0.000
Hollywood Tans	-79.9304	40.4564	175	1	2014	23	5	0.000
Primanti Brothers_2	-79.9855	40.4507	167	68	2014	111	6	0.000
Newell-Simon Hall	-79.9456	40.4434	146	5	2014	32	5	0.000
David L. Lawrence Convention Center	-79.9967	40.4457	141	44	2015	190	6	0.000
The Van Cave 2.0	-79.9584	40.3953	137	2	2015	189	3	0.000
The Westin Convention Center Pittsburgh	-79.9952	40.4441	136	24	2015	190	4	0.000
Giant Eagle Market District	-79.9348	40.4567	135	18	2014	32	6	0.000
Integrated Fitness_1	-79.9859	40.4294	121	1	2015	275	1	0.259
A To Z Highand Park	-79.9249	40.4730	119	1	2014	23	2	0.000
Heinz Field Parking Lot	-80.0123	40.4476	119	1	2014	27	3	0.000
Fat Head's Saloon	-79.9801	40.4289	105	57	2014	58	5	0.000
Primanti Brothers_1	-80.0027	40.4403	102	40	2014	193	0	0.000
Market Square	-80.0026	40.4407	101	48	2014	73	6	0.000
Confluence	-79.9977	40.4492	96	1	2015	188	3	0.000
Clear Channel Communications	-80.0493	40.4209	96	1	2014	59	5	0.245
Anthrocon 2015	-79.9955	40.4443	96	16	2015	192	6	0.000
Sweet Dreamland	-79.8801	40.4086	95	2	2015	189	0	0.333
Emporio A Meatball Joint	-79.9965	40.4441	94	20	2014	13	6	0.000
Sienna Mercato	-79.9965	40.4441	94	38	2014	191	6	0.000
Me Lyng_3	-79.9138	40.4054	90	2	2014	128	4	0.000
Mr. Smalls Theatre	-79.9723	40.4808	90	36	2014	45	0	-0.025
Target_2	-79.9220	40.4608	87	25	2014	22	0	0.371
Crazy Mocha_9	-79.9303	40.4566	86	3	2014	32	5	-0.314
Kennywood Park	-79.8646	40.3867	77	57	2014	185	6	0.000
Me Lyng_1	-79.9138	40.4082	76	2	2014	119	2	0.000
TechShop	-79.9162	40.4572	75	9	2014	277	0	0.000
Starbucks_4	-79.9840	40.4287	75	9	2015	185	6	0.000
J's New Lockdown	-80.0926	40.4271	74	1	2014	120	5	0.000
Crazy Mocha_1	-79.9992	40.4428	73	5	2015	190	4	-0.290
Andy Warhol Museum	-80.0022	40.4485	72	55	2014	241	6	0.000
Whole Foods Market	-79.9282	40.4587	70	19	2014	87	2	0.000
TGI Fridays_2	-79.9156	40.4106	69	20	2014	39	6	0.000
Children's Hospital of Pittsburgh of UPMC	-79.9531	40.4664	69	18	2014	34	1	0.000
Hofbruhaus Pittsburgh	-79.9646	40.4286	64	49	2014	26	6	0.000
Starbucks_15	-79.9276	40.4590	64	9	2014	67	6	0.000
Rock Bottom Restaurant & Brewery	-79.9149	40.4097	63	20	2014	94	6	0.000
The Scrivens Cave	-79.9584	40.3953	62	1	2015	157	0	0.000
East Liberty Presbyterian Church	-79.9255	40.4609	61	1	2014	26	0	0.308
JCC Fitness Center_2	-79.9238	40.4375	60	2	2015	189	3	0.231
Chipotle Mexican Grill_1	-79.9474	40.4542	60	16	2014	2	2	0.000
Burgatory_1	-79.9176	40.4073	60	35	2015	189	6	0.000
Gold's Gym	-80.0039	40.4411	59	6	2014	76	1	0.000
2014_2	-79.9957	40.4444	58	25	2014	186	6	0.000
Carnegie Museum Of Natural History	-79.9505	40.4434	56	33	2014	284	6	0.221
Round Corner Cantina	-79.9643	40.4668	55	27	2014	74	0	0.000
The Factory	-79.9654	40.4282	55	39	2014	74	0	0.000
Noodlehead	-79.9251	40.4577	53	21	2014	60	6	0.000
Rivertowne North Shore	-80.0105	40.4458	53	19	2014	275	0	0.000
Yoga Flow_1	-79.9341	40.4512	52	5	2015	56	2	0.000
Buffalo Blues	-79.9253	40.4584	52	7	2014	156	3	0.000
DeLuca's Diner	-79.9836	40.4514	52	28	2014	119	0	0.000
Munhall Borough Building & Police Station	-79.9045	40.3990	51	1	2014	23	0	0.000
Our House	-79.9249	40.4529	51	1	2014	220	5	0.000
