clid	venue	lon	lat	checkin_n	user_n	doy_mode	dow_mode	hour_mode
0	David L. Lawrence Convention Center	-79.9967	40.4457	141	44	2015	190	6
0	The Westin Convention Center Pittsburgh	-79.9952	40.4441	136	24	2015	190	4
0	Primanti Brothers_1	-80.0027	40.4403	102	40	2014	193	0
0	Market Square	-80.0026	40.4407	101	48	2014	73	6
0	Anthrocon 2015	-79.9955	40.4443	96	16	2015	192	6
0	Emporio A Meatball Joint	-79.9965	40.4441	94	20	2014	13	6
0	Sienna Mercato	-79.9965	40.4441	94	38	2014	191	6
0	Crazy Mocha_1	-79.9992	40.4428	73	5	2015	190	4
0	Gold's Gym	-80.0039	40.4411	59	6	2014	76	1
0	2014_2	-79.9957	40.4444	58	25	2014	186	6
0	Sharp Edge Bistro on Penn	-79.9973	40.4439	47	30	2014	193	0
0	Tonic Bar And Grill	-79.9951	40.4437	46	23	2015	190	4
0	Starbucks_1	-80.0022	40.4402	43	15	2014	17	0
0	Fernando's Cafe	-79.9955	40.4435	39	12	2014	187	0
0	Benedum Center For The Performing Arts	-79.9997	40.4430	38	27	2014	67	0
0	Senator John Heinz	-79.9921	40.4468	38	20	2014	185	6
0	Sonoma Grille	-79.9962	40.4442	37	13	2014	193	2
0	Wyndham Grand Pittsburgh Downtown	-80.0064	40.4417	37	13	2014	23	2
0	Starbucks_10	-80.0000	40.4422	35	8	2014	193	2
0	Heinz Hall	-80.0016	40.4427	35	21	2014	87	0
0	Nicky's Thai Kitchen_2	-79.9984	40.4437	34	18	2014	1	4
0	Images	-79.9955	40.4434	33	7	2015	96	0
0	Butcher and the Rye	-80.0020	40.4423	33	18	2014	144	6
0	Meat and Potatoes	-80.0008	40.4430	33	21	2015	189	0
0	KDKA-TV	-80.0070	40.4426	31	3	2014	187	1
0	Subway_1	-79.9967	40.4442	29	5	2014	37	0
0	Port Authority First Avenue Station	-79.9967	40.4355	28	6	2014	175	3
0	There Ultra Lounge	-79.9967	40.4430	28	8	2014	61	0
0	August Henry's	-79.9962	40.4443	27	10	2014	37	4
0	Proper Brick Oven & Tap Room	-80.0003	40.4435	26	13	2014	204	2
0	VIP Styles	-79.9993	40.4392	25	1	2015	186	5
0	Greyhound Bus Lines	-79.9932	40.4444	24	13	2014	85	1
0	Hanlon's Cafe	-79.9956	40.4434	24	7	2015	190	6
0	McCormick & Schmick's_1	-79.9998	40.4412	24	4	2014	272	2
0	Cultural District	-79.9989	40.4434	23	10	2014	133	2
0	Starbucks_17	-80.0020	40.4427	23	12	2014	312	0
0	Erin's fine foods Deli	-80.0002	40.4417	23	2	2015	187	2
0	Three Rivers Arts Festival	-80.0019	40.4381	22	15	2015	158	6
0	by Hilton Hotel & Suites Pittsburgh Downtown	-79.9939	40.4406	22	6	2015	196	5
0	Port Authority Wood Street Station	-79.9996	40.4422	22	5	2014	204	4
0	Ephesus Pizza_1	-80.0025	40.4398	21	1	2014	72	5
0	Il Tetto	-79.9965	40.4442	21	9	2014	65	6
0	Pittsburgh, PA_1	-79.9945	40.4411	20	12	2015	189	4
0	Mexican Restaurant	-80.0022	40.4410	20	8	2015	189	1
0	Bruegger's Bagel Bakery_2	-79.9967	40.4427	20	7	2014	184	4
0	941 Saloon	-79.9963	40.4432	18	9	2014	187	0
0	grit & grace	-80.0022	40.4416	18	10	2014	186	0
0	Megabus Stop	-79.9958	40.4455	18	7	2014	111	0
0	NOLA on the Square	-80.0028	40.4410	17	13	2015	196	0
0	Bigelow Grille	-79.9947	40.4406	16	6	2015	190	4
0	Il Pizzaiolo_2	-80.0025	40.4408	16	9	2014	50	3
0	Courtyard By Marriot Valet Parking Lot_1	-79.9954	40.4449	15	1	2014	186	6
0	Diamond Market Bar & Grill	-80.0023	40.4410	14	9	2015	151	5
0	Courtyard by Marriott Pittsburgh Downtown	-79.9963	40.4444	13	5	2014	131	0
0	Midtown Towers	-80.0001	40.4422	13	1	2014	37	2
0	A to Z Communications	-79.9953	40.4442	13	1	2014	192	1
0	Vet Tech Institute	-80.0003	40.4436	13	1	2014	43	3
0	Fort Pitt Museum	-80.0094	40.4411	12	5	2014	200	6
0	The Rink at PPG Place	-80.0034	40.4397	12	4	2014	19	0
0	Greyhound Station Parking Garage	-79.9916	40.4456	12	1	2015	189	3
0	Doubleday's Famous Burgers	-80.0025	40.4434	12	3	2015	186	0
0	Astorino	-80.0031	40.4381	12	2	2014	205	4
0	Deloitte LLP	-80.0036	40.4399	12	1	2014	73	5
0	Byham Theater	-80.0026	40.4439	11	7	2015	189	3
0	Renaissance Pittsburgh Hotel	-80.0023	40.4438	11	6	2014	55	1
0	Redbeard's on Sixth	-80.0023	40.4429	11	7	2015	185	0
0	Bill's Bar & Burger	-79.9950	40.4439	11	5	2015	192	6
0	Biergarten at the Hotel Monaco	-79.9962	40.4415	11	5	2015	186	0
0	Pizza Parma	-79.9984	40.4438	10	3	2015	191	4
0	OZA	-79.9964	40.4441	10	1	2014	59	1
0	Noodles & Company	-80.0020	40.4410	10	4	2015	188	2
0	Bar Nine	-79.9972	40.4444	10	1	2014	37	0
0	Sal's City Deli	-80.0002	40.4425	10	5	2014	29	3
0	Maury's Pad_2	-80.0024	40.4408	10	2	2014	130	6
0	Seagate Building	-79.9929	40.4481	9	3	2015	194	1
0	S. W. Randall Toyes & Giftes	-79.9973	40.4420	9	4	2014	93	4
0	Bob's Sub	-80.0000	40.4381	9	1	2014	45	1
0	August Wilson Center	-79.9957	40.4434	9	2	2014	133	0
0	Fifth Avenue Place	-80.0034	40.4418	9	6	2015	193	0
0	Nicholas Coffee & Tea Company	-80.0029	40.4411	9	4	2014	99	3
0	Anthrocon dealers den	-79.9964	40.4457	9	2	2015	193	0
0	The Cultural's Elite Salon & Barber Shop	-79.9961	40.4442	9	2	2014	24	5
0	American Farriers Journal Booth	-79.9949	40.4442	9	1	2014	127	3
0	Tony's Disco Stick HideOut	-79.9920	40.4487	9	1	2014	95	6
0	Blush Gentlemen's Club	-79.9985	40.4443	9	4	2015	205	5
0	Eide's Entertainment	-79.9931	40.4453	9	4	2015	155	4
0	Federated Investors_1	-79.9945	40.4449	9	1	2014	118	2
0	BNY Mellon Center	-79.9954	40.4399	8	3	2015	196	3
0	Toonseum	-79.9963	40.4432	8	4	2014	53	6
0	Sienna Sulla Piazza	-80.0026	40.4411	8	8	2014	37	6
0	Mellon Square	-79.9974	40.4408	8	5	2014	192	5
0	mezzo	-79.9965	40.4443	8	3	2015	193	0
0	Chinatown Inn	-79.9974	40.4374	8	4	2014	108	5
0	Sammy's Famous Corned Beef	-79.9981	40.4429	8	4	2014	53	6
0	Perl	-80.0030	40.4411	8	5	2015	183	5
0	Original Oyster House	-80.0020	40.4409	8	8	2014	14	5
0	Backstage Bar	-80.0005	40.4433	8	2	2014	16	0
0	Northside Urban Pathways Charter School	-79.9973	40.4443	8	1	2014	37	2
0	Frost & Co	-79.9998	40.4426	8	1	2014	66	2
0	Convention Center Riverfront Plaza	-79.9966	40.4465	8	3	2015	194	1
0	Hotel Monaco Pittsburgh	-79.9966	40.4414	8	5	2015	179	0
0	EQT Plaza	-80.0008	40.4423	8	1	2014	52	1
0	U.S. Steel Tower Plaza	-79.9954	40.4409	8	4	2014	51	6
0	U.S. Steel Tower	-79.9948	40.4414	7	4	2015	156	1
0	Amtrak: Pittsburgh	-79.9916	40.4458	7	3	2014	223	6
0	Grant Street Transportation Center	-79.9933	40.4447	7	3	2015	190	4
0	Handmade Arcade	-79.9973	40.4453	7	5	2014	340	6
0	ACES 2015 National Conference	-80.0060	40.4406	6	1	2015	84	3
0	CVS Pharmacy_2	-80.0013	40.4406	6	4	2014	153	1
0	The Original Fish Market	-79.9946	40.4443	6	4	2014	104	1
0	Bruegger's Bagel Bakery_1	-79.9959	40.4402	6	4	2014	151	4
0	Grand Circuit Booth	-79.9949	40.4442	6	1	2014	123	6
0	Six Penn Kitchen	-80.0022	40.4428	6	6	2014	80	5
0	2 PNC Plaza	-80.0007	40.4418	6	3	2014	37	3
0	Fort Duquesne Bridge	-80.0096	40.4416	6	3	2015	193	0
0	Carnegie Library Of Pittsburgh_2	-79.9974	40.4414	6	2	2014	39	6
0	Speakeasy	-79.9968	40.4407	6	5	2014	215	0
0	Social Security Administration	-79.9976	40.4439	6	2	2014	77	2
0	Eleven	-79.9932	40.4461	6	3	2014	199	0
0	Bombay Giro	-79.9952	40.4439	6	1	2015	191	0
0	Smithfield/Liberty Garage	-79.9974	40.4423	6	2	2014	114	4
0	Farmer's Market_1	-80.0026	40.4407	6	4	2014	177	4
0	Crazy Mocha_7	-79.9947	40.4441	6	1	2015	191	0
0	Coat Factory	-79.9975	40.4413	6	3	2014	96	0
0	PPG Place Plaza and Water Feature	-80.0032	40.4398	6	2	2014	101	1
0	The Bank of New York Mellon	-79.9975	40.4403	6	1	2014	51	4
0	Liberty Avenue Musicians	-79.9965	40.4439	6	1	2014	59	2
0	Alihan's Mediterranean Cuisine	-80.0024	40.4431	5	4	2014	2	2
0	Port Authority Gateway Station	-80.0044	40.4415	5	2	2014	165	6
0	Crystal Restaurant	-79.9920	40.4460	5	1	2015	274	4
0	Golden Palace Buffet_2	-79.9970	40.4427	5	2	2015	193	0
0	Qdoba Mexican Grill_4	-79.9990	40.4426	5	2	2015	190	4
0	Family Division	-79.9954	40.4385	5	2	2014	135	4
0	Liangs Hunan Chinese Restaurant	-79.9960	40.4430	5	2	2014	137	6
0	Moe's Southwest Grill_1	-80.0022	40.4405	5	1	2014	153	1
0	The Beer Garden	-79.9964	40.4444	5	1	2015	274	4
0	1 PNC Plaza	-80.0000	40.4411	5	2	2014	92	3
0	Jacqueline's Salon	-79.9972	40.4383	5	1	2015	276	6
0	Brown Bag Deli	-79.9943	40.4441	5	2	2015	191	5
0	Pittsburgh Jazzlive Festival	-79.9985	40.4433	5	3	2014	172	6
0	Burger And Whiskey Bar	-80.0024	40.4403	5	3	2015	290	5
0	DiBella's Old Fashioned Submarines	-80.0020	40.4406	5	3	2015	57	4
0	Mandarin Gourmet	-80.0015	40.4394	5	2	2015	190	4
0	Penn Brewery Beer Garden	-80.0067	40.4412	5	1	2015	274	4
0	4Moms	-79.9981	40.4449	5	1	2015	276	6
0	Franktuary_1	-79.9990	40.4411	5	2	2014	23	1
0	Allegheny County Courthouse	-79.9967	40.4387	5	4	2014	73	6
0	Three Rivers Arts Festival: Second Stage at Gateway Center	-80.0045	40.4423	5	4	2014	158	6
0	Penn Garrison	-79.9975	40.4443	4	1	2014	37	4
0	Wiener World	-79.9972	40.4420	4	2	2014	31	5
0	SEI	-79.9970	40.4399	4	1	2014	51	4
0	Saint Mary of Mercy Church	-80.0046	40.4398	4	2	2014	110	0
0	Kwik-E-Mart	-79.9955	40.4440	4	2	2014	188	1
0	CLO Cabaret	-80.0004	40.4433	4	2	2014	10	0
0	New City Church	-79.9999	40.4397	4	1	2015	53	0
0	tk	-80.0019	40.4424	4	3	2015	183	4
0	Laurie's Hallmark	-80.0031	40.4417	4	2	2014	77	2
0	Fairmont Pittsburgh Hotel	-80.0020	40.4414	4	2	2015	10	6
0	Ninth And Penn Garage	-79.9986	40.4440	4	2	2014	45	5
0	Passive Park	-79.9982	40.4363	4	2	2014	32	0
