doy,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster10,cluster11,cluster12,cluster13,cluster15,cluster16,cluster18
1,4,0,0,4,0,1,2,0,0,0,0,2,0,1
2,1,0,0,1,0,0,1,0,0,0,0,0,0,4
3,0,1,0,1,0,0,0,0,0,1,0,0,0,0
4,0,1,0,2,0,0,3,0,0,1,0,0,0,2
5,2,0,0,0,0,0,0,0,0,0,0,0,0,2
6,1,0,0,2,0,0,0,0,0,0,0,0,0,0
7,2,0,1,0,0,0,0,0,0,0,0,0,0,3
8,3,0,0,1,0,0,0,0,0,0,0,0,0,0
9,1,0,0,1,0,0,0,0,0,0,0,0,0,3
10,8,0,0,1,0,0,0,0,0,2,0,4,0,0
11,1,0,0,2,0,0,1,0,0,0,0,4,2,0
12,1,0,0,1,0,0,0,0,0,0,0,0,0,1
13,6,6,2,1,1,0,0,0,0,0,0,0,0,0
14,4,0,0,3,1,0,0,0,0,0,0,0,0,2
15,1,0,0,4,0,0,0,0,1,1,0,2,0,2
16,3,0,0,1,1,2,0,0,0,0,0,1,0,0
17,3,0,0,0,0,0,6,0,0,0,1,2,0,1
18,1,4,0,5,0,0,7,0,0,0,0,0,0,0
19,3,0,0,5,0,0,0,0,0,0,0,0,0,0
20,4,0,0,2,0,2,0,0,0,0,0,0,0,2
21,3,2,0,1,0,0,0,0,0,0,0,0,0,0
22,0,0,0,3,0,0,0,0,0,1,0,0,0,0
23,7,0,1,3,3,0,0,0,0,1,0,2,3,6
24,10,2,1,3,4,0,5,0,0,2,0,1,0,2
25,13,2,2,6,0,0,6,2,0,0,0,0,0,0
26,12,1,0,3,2,2,6,0,0,5,0,4,0,8
27,4,0,0,2,3,4,2,0,0,0,0,5,0,0
28,14,4,1,7,0,3,0,0,0,0,0,6,0,5
29,10,4,0,2,0,0,1,0,0,1,0,0,3,7
30,8,7,0,5,4,0,8,0,0,1,0,0,0,12
31,10,2,0,5,6,0,4,7,0,0,1,0,0,8
32,7,4,2,10,0,0,2,5,0,1,0,2,0,8
33,4,6,0,14,2,3,0,8,0,2,0,2,3,9
34,0,5,1,2,3,0,0,5,0,2,0,2,1,8
35,3,3,0,2,3,0,0,0,0,0,0,6,0,3
36,1,3,0,7,4,1,0,1,0,2,0,2,0,3
37,52,5,0,8,4,2,2,0,0,0,0,4,0,8
38,4,2,1,8,5,2,3,0,0,0,0,2,5,7
39,13,13,1,11,5,2,5,0,0,1,0,4,2,14
40,7,3,1,5,3,0,0,0,0,0,2,6,0,5
41,6,5,0,2,1,2,3,0,0,0,0,2,0,0
42,7,6,2,4,2,6,3,17,0,0,0,4,0,2
43,2,0,1,4,2,4,12,0,0,1,0,6,0,3
44,5,3,1,5,2,5,0,0,0,1,0,3,0,2
45,17,3,2,2,2,2,5,0,0,2,1,0,0,2
46,8,1,0,6,3,0,1,0,0,2,0,0,2,9
47,5,2,0,9,1,0,7,0,0,1,0,1,0,6
48,6,2,0,4,0,3,0,2,0,2,0,0,3,1
49,5,10,0,3,5,2,1,0,0,1,0,3,0,13
50,17,1,1,1,5,3,0,2,0,0,3,0,0,10
51,27,4,2,9,2,4,5,0,0,2,0,4,0,11
52,27,4,1,4,2,2,7,0,0,0,0,2,0,3
53,17,12,0,11,1,0,3,0,0,4,0,0,0,7
54,7,1,0,6,1,2,3,0,0,2,0,0,2,10
55,12,2,1,6,2,0,0,2,0,1,0,0,1,6
56,12,3,0,4,6,4,6,3,0,0,0,1,0,12
57,11,4,2,6,2,1,11,2,0,0,0,2,0,3
58,12,0,1,8,3,6,3,0,0,1,0,2,0,6
59,19,4,0,6,4,0,1,1,0,1,1,0,0,7
60,9,4,2,7,0,2,10,0,0,1,0,5,0,8
61,14,0,0,7,0,0,11,2,0,4,0,0,0,6
62,8,0,0,6,0,2,0,0,0,0,0,0,0,0
63,8,8,0,8,0,0,5,2,0,0,0,2,0,3
64,11,1,1,7,0,0,0,2,0,2,0,9,0,1
