doy,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster10,cluster11,cluster12,cluster13,cluster15,cluster16,cluster18
1,2.00000,0.00000,0.00000,2.00000,0.00000,0.50000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.50000
2,0.16667,0.00000,0.00000,0.16667,0.00000,0.00000,0.16667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.66667
3,0.00000,0.20000,0.00000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20000,0.00000,0.00000,0.00000,0.00000
4,0.00000,0.12500,0.00000,0.25000,0.00000,0.00000,0.37500,0.00000,0.00000,0.12500,0.00000,0.00000,0.00000,0.25000
5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7,0.66667,0.00000,0.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9,0.50000,0.00000,0.00000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.50000
10,0.88889,0.00000,0.00000,0.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.22222,0.00000,0.44444,0.00000,0.00000
11,1.00000,0.00000,0.00000,2.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,4.00000,2.00000,0.00000
12,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
13,1.00000,1.00000,0.33333,0.16667,0.16667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
14,1.00000,0.00000,0.00000,0.75000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000
15,0.33333,0.00000,0.00000,1.33333,0.00000,0.00000,0.00000,0.00000,0.33333,0.33333,0.00000,0.66667,0.00000,0.66667
16,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
17,0.37500,0.00000,0.00000,0.00000,0.00000,0.00000,0.75000,0.00000,0.00000,0.00000,0.12500,0.25000,0.00000,0.12500
18,0.50000,2.00000,0.00000,2.50000,0.00000,0.00000,3.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
19,0.75000,0.00000,0.00000,1.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
20,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
21,3.00000,2.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
22,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
23,1.16667,0.00000,0.16667,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.16667,0.00000,0.33333,0.50000,1.00000
24,2.00000,0.40000,0.20000,0.60000,0.80000,0.00000,1.00000,0.00000,0.00000,0.40000,0.00000,0.20000,0.00000,0.40000
25,0.68421,0.10526,0.10526,0.31579,0.00000,0.00000,0.31579,0.10526,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
26,1.00000,0.08333,0.00000,0.25000,0.16667,0.16667,0.50000,0.00000,0.00000,0.41667,0.00000,0.33333,0.00000,0.66667
27,0.36364,0.00000,0.00000,0.18182,0.27273,0.36364,0.18182,0.00000,0.00000,0.00000,0.00000,0.45455,0.00000,0.00000
28,1.07692,0.30769,0.07692,0.53846,0.00000,0.23077,0.00000,0.00000,0.00000,0.00000,0.00000,0.46154,0.00000,0.38462
29,10.00000,4.00000,0.00000,2.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000,3.00000,7.00000
30,1.00000,0.87500,0.00000,0.62500,0.50000,0.00000,1.00000,0.00000,0.00000,0.12500,0.00000,0.00000,0.00000,1.50000
31,3.33333,0.66667,0.00000,1.66667,2.00000,0.00000,1.33333,2.33333,0.00000,0.00000,0.33333,0.00000,0.00000,2.66667
32,0.87500,0.50000,0.25000,1.25000,0.00000,0.00000,0.25000,0.62500,0.00000,0.12500,0.00000,0.25000,0.00000,1.00000
33,0.57143,0.85714,0.00000,2.00000,0.28571,0.42857,0.00000,1.14286,0.00000,0.28571,0.00000,0.28571,0.42857,1.28571
34,0.00000,1.25000,0.25000,0.50000,0.75000,0.00000,0.00000,1.25000,0.00000,0.50000,0.00000,0.50000,0.25000,2.00000
35,1.00000,1.00000,0.00000,0.66667,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,1.00000
36,0.33333,1.00000,0.00000,2.33333,1.33333,0.33333,0.00000,0.33333,0.00000,0.66667,0.00000,0.66667,0.00000,1.00000
37,26.00000,2.50000,0.00000,4.00000,2.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,4.00000
38,0.36364,0.18182,0.09091,0.72727,0.45455,0.18182,0.27273,0.00000,0.00000,0.00000,0.00000,0.18182,0.45455,0.63636
39,6.50000,6.50000,0.50000,5.50000,2.50000,1.00000,2.50000,0.00000,0.00000,0.50000,0.00000,2.00000,1.00000,7.00000
40,0.30435,0.13043,0.04348,0.21739,0.13043,0.00000,0.00000,0.00000,0.00000,0.00000,0.08696,0.26087,0.00000,0.21739
41,0.85714,0.71429,0.00000,0.28571,0.14286,0.28571,0.42857,0.00000,0.00000,0.00000,0.00000,0.28571,0.00000,0.00000
42,1.75000,1.50000,0.50000,1.00000,0.50000,1.50000,0.75000,4.25000,0.00000,0.00000,0.00000,1.00000,0.00000,0.50000
43,0.28571,0.00000,0.14286,0.57143,0.28571,0.57143,1.71429,0.00000,0.00000,0.14286,0.00000,0.85714,0.00000,0.42857
44,1.00000,0.60000,0.20000,1.00000,0.40000,1.00000,0.00000,0.00000,0.00000,0.20000,0.00000,0.60000,0.00000,0.40000
45,1.54545,0.27273,0.18182,0.18182,0.18182,0.18182,0.45455,0.00000,0.00000,0.18182,0.09091,0.00000,0.00000,0.18182
46,0.66667,0.08333,0.00000,0.50000,0.25000,0.00000,0.08333,0.00000,0.00000,0.16667,0.00000,0.00000,0.16667,0.75000
47,0.22727,0.09091,0.00000,0.40909,0.04545,0.00000,0.31818,0.00000,0.00000,0.04545,0.00000,0.04545,0.00000,0.27273
48,0.85714,0.28571,0.00000,0.57143,0.00000,0.42857,0.00000,0.28571,0.00000,0.28571,0.00000,0.00000,0.42857,0.14286
49,1.25000,2.50000,0.00000,0.75000,1.25000,0.50000,0.25000,0.00000,0.00000,0.25000,0.00000,0.75000,0.00000,3.25000
50,8.50000,0.50000,0.50000,0.50000,2.50000,1.50000,0.00000,1.00000,0.00000,0.00000,1.50000,0.00000,0.00000,5.00000
51,3.37500,0.50000,0.25000,1.12500,0.25000,0.50000,0.62500,0.00000,0.00000,0.25000,0.00000,0.50000,0.00000,1.37500
52,9.00000,1.33333,0.33333,1.33333,0.66667,0.66667,2.33333,0.00000,0.00000,0.00000,0.00000,0.66667,0.00000,1.00000
53,1.70000,1.20000,0.00000,1.10000,0.10000,0.00000,0.30000,0.00000,0.00000,0.40000,0.00000,0.00000,0.00000,0.70000
54,1.00000,0.14286,0.00000,0.85714,0.14286,0.28571,0.42857,0.00000,0.00000,0.28571,0.00000,0.00000,0.28571,1.42857
55,3.00000,0.50000,0.25000,1.50000,0.50000,0.00000,0.00000,0.50000,0.00000,0.25000,0.00000,0.00000,0.25000,1.50000
56,3.00000,0.75000,0.00000,1.00000,1.50000,1.00000,1.50000,0.75000,0.00000,0.00000,0.00000,0.25000,0.00000,3.00000
57,1.37500,0.50000,0.25000,0.75000,0.25000,0.12500,1.37500,0.25000,0.00000,0.00000,0.00000,0.25000,0.00000,0.37500
58,1.09091,0.00000,0.09091,0.72727,0.27273,0.54545,0.27273,0.00000,0.00000,0.09091,0.00000,0.18182,0.00000,0.54545
59,2.37500,0.50000,0.00000,0.75000,0.50000,0.00000,0.12500,0.12500,0.00000,0.12500,0.12500,0.00000,0.00000,0.87500
60,0.20000,0.08889,0.04444,0.15556,0.00000,0.04444,0.22222,0.00000,0.00000,0.02222,0.00000,0.11111,0.00000,0.17778
61,3.50000,0.00000,0.00000,1.75000,0.00000,0.00000,2.75000,0.50000,0.00000,1.00000,0.00000,0.00000,0.00000,1.50000
62,8.00000,0.00000,0.00000,6.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
63,2.00000,2.00000,0.00000,2.00000,0.00000,0.00000,1.25000,0.50000,0.00000,0.00000,0.00000,0.50000,0.00000,0.75000
64,5.50000,0.50000,0.50000,3.50000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000,4.50000,0.00000,0.50000
65,0.77778,0.00000,0.00000,0.11111,0.00000,0.00000,0.33333,0.00000,0.00000,0.11111,0.00000,0.22222,0.00000,0.44444
66,0.63636,0.09091,0.09091,0.36364,0.36364,0.18182,0.45455,0.00000,0.00000,0.09091,0.09091,0.36364,0.00000,0.27273
67,0.75000,0.00000,0.00000,1.56250,0.12500,0.00000,0.12500,0.00000,0.00000,0.06250,0.06250,0.37500,0.18750,0.12500
68,1.11111,0.11111,0.00000,1.00000,0.00000,0.55556,0.77778,0.00000,0.00000,0.33333,0.00000,0.11111,0.55556,1.22222
69,1.40000,0.40000,0.00000,0.20000,0.00000,0.40000,1.60000,0.00000,0.00000,0.40000,0.00000,0.00000,0.00000,0.80000
70,2.75000,0.00000,1.00000,0.50000,0.00000,1.25000,0.50000,0.00000,0.00000,0.25000,0.00000,0.50000,1.00000,0.50000
71,1.71429,0.28571,0.14286,0.71429,0.28571,0.57143,0.28571,0.00000,0.00000,0.00000,0.00000,1.28571,0.00000,1.14286
72,1.62500,0.25000,0.37500,1.00000,0.37500,0.50000,0.50000,0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,0.12500
73,1.11538,0.00000,0.34615,0.57692,0.19231,0.07692,0.03846,0.00000,0.00000,0.07692,0.00000,0.07692,0.19231,0.30769
74,0.82353,0.70588,0.00000,1.41176,0.41176,0.11765,0.88235,0.00000,0.00000,0.29412,0.17647,0.47059,0.70588,0.00000
75,1.00000,0.80000,1.00000,2.40000,0.40000,0.00000,1.00000,0.00000,0.20000,0.80000,0.20000,0.60000,0.20000,1.80000
76,0.61538,0.07692,0.00000,0.07692,0.15385,0.15385,0.30769,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15385
77,1.27273,0.90909,0.54545,0.36364,0.18182,0.63636,0.18182,0.00000,0.00000,0.00000,0.09091,0.00000,0.00000,0.63636
78,0.61538,0.00000,0.15385,0.15385,0.30769,0.38462,0.07692,0.23077,0.00000,0.00000,0.00000,0.38462,0.00000,0.53846
79,0.87500,0.37500,0.12500,0.87500,0.50000,0.50000,0.50000,0.12500,0.00000,0.37500,0.00000,0.37500,0.00000,0.00000
80,0.71429,0.35714,0.21429,0.42857,0.35714,0.28571,0.14286,0.07143,0.00000,0.28571,0.00000,0.14286,0.21429,1.14286
81,0.80000,0.15000,0.10000,0.55000,0.05000,0.00000,0.25000,0.00000,0.00000,0.05000,0.05000,0.20000,0.15000,0.45000
82,0.33333,0.26667,0.13333,1.00000,0.06667,0.00000,0.26667,0.13333,0.00000,0.13333,0.00000,0.20000,0.00000,0.20000
83,3.60000,0.60000,0.60000,1.20000,0.40000,0.20000,1.00000,0.00000,0.00000,0.00000,0.00000,0.80000,0.00000,0.80000
84,3.80000,1.40000,0.40000,0.00000,0.20000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.80000
85,0.32258,0.09677,0.22581,0.48387,0.06452,0.06452,0.12903,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09677
86,0.50000,0.20000,0.10000,0.20000,0.40000,0.90000,0.10000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20000
87,0.23256,0.18605,0.02326,0.25581,0.00000,0.02326,0.20930,0.04651,0.00000,0.00000,0.00000,0.09302,0.00000,0.00000
88,1.14286,0.14286,0.14286,1.14286,0.28571,0.00000,3.00000,0.57143,0.00000,0.57143,0.14286,0.57143,0.00000,0.71429
89,1.00000,0.25000,0.25000,2.25000,0.25000,0.00000,2.50000,0.00000,0.00000,0.75000,0.00000,0.00000,0.00000,0.00000
90,0.82353,0.17647,0.17647,0.05882,0.35294,0.23529,0.05882,0.11765,0.00000,0.05882,0.17647,0.17647,0.00000,0.11765
91,1.33333,0.08333,0.58333,0.00000,0.25000,0.41667,0.83333,0.00000,0.00000,0.08333,0.16667,0.00000,0.00000,0.25000
92,0.36364,0.36364,0.18182,0.18182,0.45455,0.54545,0.90909,0.00000,0.00000,0.00000,0.00000,0.18182,0.00000,0.90909
93,1.12500,0.00000,0.12500,0.75000,0.12500,0.25000,0.50000,0.12500,0.00000,0.12500,0.25000,0.25000,0.00000,0.00000
94,2.22222,0.22222,0.33333,1.55556,0.55556,0.44444,0.00000,0.00000,0.00000,0.55556,0.55556,0.44444,0.00000,1.11111
95,0.92857,0.42857,0.14286,0.42857,0.71429,0.71429,0.00000,0.00000,0.00000,0.14286,0.00000,0.92857,0.14286,0.14286
96,1.66667,0.00000,0.33333,2.33333,0.33333,0.00000,0.33333,0.33333,0.00000,0.16667,0.33333,0.83333,0.50000,1.50000
97,0.08333,0.00000,0.00000,0.08333,0.33333,0.16667,0.41667,0.00000,0.00000,0.08333,0.00000,0.16667,0.00000,0.50000
98,0.88889,0.66667,0.11111,0.11111,0.11111,0.33333,0.11111,0.00000,0.00000,0.00000,0.00000,0.33333,0.00000,0.33333
99,2.00000,1.28571,0.28571,0.28571,1.00000,0.71429,0.71429,0.00000,0.00000,0.14286,0.14286,0.28571,0.00000,0.42857
100,2.00000,2.75000,0.75000,0.50000,0.37500,1.00000,0.12500,0.75000,0.37500,0.00000,0.12500,0.62500,0.37500,0.37500
101,1.75000,0.50000,0.00000,1.25000,0.25000,0.25000,0.75000,0.25000,0.00000,0.00000,0.00000,0.12500,0.00000,0.37500
102,1.00000,0.25000,0.00000,0.75000,0.00000,0.00000,0.08333,0.25000,0.00000,0.08333,0.00000,0.16667,0.25000,0.00000
103,0.33333,0.16667,0.41667,0.41667,0.08333,0.25000,0.66667,0.33333,0.00000,0.00000,0.16667,0.33333,0.08333,0.41667
104,4.00000,0.00000,0.50000,3.50000,1.00000,1.00000,0.00000,1.00000,0.00000,0.50000,0.00000,0.00000,0.00000,0.00000
105,0.50000,0.00000,0.00000,1.00000,0.00000,6.00000,2.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,5.50000
106,1.00000,0.00000,0.33333,0.66667,0.33333,0.00000,1.16667,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333
107,1.42857,0.00000,0.00000,0.00000,0.57143,0.28571,0.71429,0.00000,0.00000,0.14286,0.00000,0.42857,0.00000,0.57143
108,0.62500,0.12500,0.00000,0.31250,0.18750,0.00000,0.12500,0.00000,0.00000,0.00000,0.00000,0.37500,0.12500,0.62500
109,0.47368,0.47368,0.05263,0.21053,0.31579,0.15789,0.00000,0.00000,0.00000,0.15789,0.00000,0.00000,0.00000,0.21053
110,0.78571,0.00000,0.28571,0.42857,0.14286,0.00000,0.28571,0.00000,0.00000,0.14286,0.00000,0.21429,0.00000,0.50000
111,0.84615,0.15385,0.07692,0.07692,0.07692,0.15385,0.76923,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30769
112,1.58333,0.00000,0.16667,0.41667,0.00000,0.25000,0.33333,0.00000,0.00000,0.16667,0.00000,0.00000,0.08333,0.66667
113,1.26667,0.00000,0.20000,0.00000,0.00000,0.26667,0.26667,0.00000,0.00000,0.06667,0.00000,0.00000,0.00000,0.20000
114,2.00000,0.00000,0.00000,0.83333,0.16667,1.16667,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33333
115,0.71429,0.50000,0.07143,0.14286,0.00000,0.14286,0.28571,0.00000,0.00000,0.14286,0.00000,0.07143,0.00000,0.28571
116,0.78261,0.13043,0.08696,0.26087,0.00000,0.17391,0.13043,0.00000,0.00000,0.08696,0.08696,0.39130,0.08696,0.13043
117,0.13636,0.18182,0.04545,0.45455,0.04545,0.13636,0.45455,0.00000,0.00000,0.04545,0.04545,0.18182,0.00000,0.18182
118,1.00000,0.25000,0.00000,0.37500,0.37500,0.25000,0.12500,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,1.50000
119,1.12500,0.00000,0.00000,0.50000,0.50000,0.75000,1.25000,0.37500,0.00000,0.12500,0.12500,1.00000,0.00000,0.62500
120,0.63158,0.15789,0.05263,0.47368,0.05263,0.31579,0.10526,0.00000,0.00000,0.10526,0.00000,0.68421,0.00000,0.31579
121,0.91667,0.25000,0.00000,0.25000,0.08333,0.41667,0.00000,0.00000,0.00000,0.08333,0.00000,0.33333,0.00000,0.58333
122,2.00000,0.50000,0.66667,1.66667,0.50000,0.16667,0.66667,0.00000,0.00000,0.00000,0.00000,2.66667,0.50000,1.00000
123,2.66667,0.55556,0.00000,1.55556,0.44444,0.00000,1.44444,0.00000,0.00000,0.33333,0.00000,0.55556,0.00000,1.00000
124,1.35714,0.21429,0.35714,0.57143,0.00000,0.00000,0.14286,0.00000,0.00000,0.00000,0.00000,0.85714,0.00000,0.28571
125,1.25000,0.75000,0.00000,1.75000,1.00000,1.50000,0.00000,0.50000,0.00000,0.25000,0.00000,0.25000,0.00000,1.00000
126,1.00000,0.33333,0.50000,0.83333,1.00000,0.50000,0.16667,0.00000,0.00000,0.00000,0.00000,1.16667,0.33333,0.66667
127,1.33333,0.16667,0.08333,0.83333,0.50000,0.50000,0.25000,0.00000,0.00000,0.08333,0.00000,0.66667,0.00000,0.41667
128,12.00000,2.00000,1.00000,5.00000,1.00000,2.00000,0.00000,0.00000,0.00000,2.00000,2.00000,3.00000,0.00000,4.00000
129,1.87500,0.62500,0.25000,0.62500,0.37500,0.00000,0.12500,0.00000,0.00000,0.00000,0.25000,0.62500,0.00000,0.00000
130,1.88889,0.00000,0.00000,0.66667,0.22222,0.00000,1.33333,0.00000,0.00000,0.22222,0.11111,1.11111,0.00000,0.44444
131,1.33333,0.66667,0.00000,0.55556,0.00000,0.00000,0.77778,0.00000,0.00000,0.22222,0.11111,0.22222,0.00000,0.11111
132,1.76923,0.15385,0.00000,0.00000,0.53846,0.07692,0.53846,0.00000,0.00000,0.07692,0.00000,0.00000,0.00000,0.53846
133,3.80000,1.20000,0.00000,0.00000,1.20000,0.60000,0.20000,0.40000,0.00000,0.20000,0.20000,0.00000,0.00000,1.80000
134,1.00000,0.12500,0.00000,0.50000,0.25000,0.25000,0.25000,0.00000,0.00000,0.00000,0.00000,0.25000,0.00000,0.87500
135,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
136,0.88889,0.55556,0.11111,0.55556,0.00000,0.22222,0.22222,0.22222,0.00000,0.00000,0.11111,0.44444,0.11111,0.22222
137,2.57143,1.14286,0.14286,0.42857,0.00000,0.28571,1.14286,0.00000,0.00000,0.14286,0.14286,0.28571,0.00000,1.28571
138,0.66667,0.46667,0.20000,0.60000,0.13333,0.13333,0.26667,0.13333,0.00000,0.26667,0.00000,0.33333,0.06667,0.33333
139,1.14286,0.14286,0.00000,0.00000,0.42857,0.28571,0.71429,0.00000,0.00000,0.28571,0.00000,0.00000,0.28571,0.42857
140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
141,1.28571,0.85714,0.14286,0.85714,0.85714,0.42857,1.57143,0.42857,0.00000,0.14286,0.00000,0.42857,0.00000,0.57143
142,1.22222,0.33333,0.11111,0.11111,1.00000,0.44444,0.66667,0.00000,0.00000,0.22222,0.00000,0.22222,0.00000,1.00000
143,0.48387,0.22581,0.00000,0.19355,0.12903,0.03226,0.19355,0.00000,0.00000,0.06452,0.06452,0.00000,0.09677,0.12903
144,0.60000,0.05714,0.00000,0.20000,0.11429,0.00000,0.17143,0.00000,0.00000,0.08571,0.02857,0.05714,0.11429,0.25714
145,0.89474,0.10526,0.00000,0.26316,0.36842,0.21053,0.42105,0.00000,0.00000,0.10526,0.00000,0.10526,0.15789,0.05263
146,0.25926,0.00000,0.00000,0.03704,0.03704,0.07407,0.11111,0.00000,0.00000,0.00000,0.03704,0.07407,0.00000,0.00000
147,0.80000,0.00000,0.00000,0.40000,0.40000,0.80000,0.00000,0.00000,0.00000,0.20000,0.00000,0.00000,0.00000,0.60000
148,0.00000,0.00000,0.00000,1.00000,1.00000,0.66667,0.00000,0.00000,0.00000,0.33333,0.00000,0.00000,0.00000,0.00000
149,2.00000,0.00000,0.00000,3.00000,2.00000,0.00000,0.00000,0.00000,0.00000,1.00000,3.00000,2.00000,0.00000,1.00000
150,4.33333,2.33333,0.00000,2.00000,1.33333,1.00000,1.66667,0.00000,0.00000,0.00000,0.66667,1.33333,0.00000,2.66667
151,0.57143,0.21429,0.00000,0.07143,0.28571,0.14286,0.42857,0.00000,0.00000,0.35714,0.00000,0.28571,0.21429,0.50000
152,1.62500,0.62500,0.37500,1.12500,0.12500,0.12500,0.50000,0.00000,0.00000,0.37500,0.12500,0.00000,0.00000,0.25000
153,2.00000,0.33333,0.00000,0.77778,0.00000,0.22222,0.11111,0.00000,0.00000,0.11111,0.00000,0.33333,0.00000,0.11111
154,0.41667,0.50000,0.00000,0.58333,0.08333,0.00000,0.08333,0.00000,0.00000,0.08333,0.00000,0.33333,0.41667,0.00000
155,2.14286,1.14286,0.00000,0.42857,0.14286,0.28571,0.14286,0.00000,0.00000,0.00000,0.00000,0.28571,0.00000,1.42857
156,1.62500,0.12500,0.00000,0.37500,0.62500,0.37500,0.50000,0.00000,0.00000,0.00000,0.12500,0.50000,0.00000,0.50000
157,0.78261,0.26087,0.00000,0.65217,0.00000,0.21739,0.26087,0.00000,0.00000,0.08696,0.00000,0.04348,0.00000,0.04348
158,0.87879,0.18182,0.00000,0.24242,0.18182,0.12121,0.15152,0.00000,0.00000,0.06061,0.03030,0.12121,0.00000,0.15152
159,0.28000,0.00000,0.00000,0.00000,0.16000,0.00000,0.20000,0.00000,0.00000,0.16000,0.00000,0.08000,0.00000,0.24000
160,1.00000,0.22222,0.22222,0.44444,0.44444,0.44444,0.00000,0.00000,0.11111,0.22222,0.00000,0.00000,0.00000,0.11111
161,1.12500,0.12500,0.00000,0.37500,0.37500,0.00000,0.25000,0.25000,0.00000,0.62500,0.00000,0.00000,0.00000,0.37500
162,1.00000,0.00000,0.00000,0.50000,1.00000,0.50000,0.75000,0.00000,0.00000,0.25000,0.00000,0.50000,0.00000,0.75000
163,0.27273,0.00000,0.00000,0.18182,0.27273,0.18182,0.45455,0.00000,0.00000,0.09091,0.00000,0.00000,0.18182,0.09091
164,0.28571,0.07143,0.07143,0.28571,0.21429,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.28571,0.00000,0.28571
165,1.80000,1.20000,0.00000,0.20000,0.00000,0.40000,1.00000,0.00000,0.00000,0.40000,0.00000,0.00000,0.00000,0.80000
166,1.25000,0.12500,0.12500,0.06250,0.12500,0.00000,0.12500,0.00000,0.00000,0.00000,0.12500,0.00000,0.12500,0.00000
167,1.00000,0.00000,1.00000,0.50000,0.50000,2.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
169,1.25000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.25000,0.00000,0.25000
170,2.20000,0.20000,0.20000,0.00000,0.00000,0.80000,1.20000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.80000
171,0.80000,0.00000,0.00000,0.40000,0.80000,0.00000,1.20000,0.00000,0.00000,0.60000,0.20000,0.40000,0.40000,0.40000
172,2.37500,0.25000,0.12500,0.87500,0.37500,0.12500,0.62500,0.25000,0.00000,0.00000,0.00000,0.12500,0.00000,0.37500
