how,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster10,cluster11,cluster12,cluster13,cluster15,cluster16,cluster18
0,68,5,1,21,6,4,14,6,1,15,2,12,13,0
1,23,3,0,16,5,4,2,0,0,19,4,2,9,3
2,26,14,4,24,2,0,7,0,0,3,3,2,2,4
3,31,4,1,37,3,6,6,0,0,4,0,1,4,10
4,20,1,1,35,0,6,12,0,0,3,1,0,2,8
5,7,4,0,17,1,2,12,0,0,1,0,0,0,3
6,7,0,0,11,0,0,2,2,0,0,0,0,0,0
7,7,0,0,1,0,0,10,0,0,0,0,0,0,0
8,0,0,0,2,0,0,2,0,0,1,0,0,0,0
9,3,0,0,0,0,0,0,0,0,0,0,2,0,1
10,1,0,0,1,2,0,0,0,0,0,0,0,0,4
11,5,2,0,0,1,0,0,0,0,1,0,0,0,0
12,6,0,5,3,0,2,6,0,0,0,0,18,0,8
13,6,0,2,4,0,0,4,0,0,0,0,30,0,9
14,23,5,1,11,0,1,20,0,0,4,0,5,0,22
15,23,6,0,16,11,0,25,0,0,2,1,2,2,17
16,42,8,2,9,10,0,15,0,0,5,1,4,4,10
17,47,0,3,11,9,0,21,2,1,4,1,12,0,7
18,29,9,1,10,9,4,13,6,0,2,2,2,0,18
19,24,9,0,9,10,2,8,0,0,3,3,5,0,12
20,21,5,5,8,5,0,6,0,0,8,3,3,7,10
21,20,9,3,11,3,5,17,2,0,10,1,1,0,4
22,37,14,5,18,2,6,2,0,0,7,1,6,0,6
23,48,0,2,5,0,5,3,0,0,2,0,8,0,8
24,12,7,0,11,2,5,2,2,0,2,0,10,4,5
25,8,0,0,4,3,0,0,4,0,0,0,0,0,2
26,10,6,1,5,3,4,2,0,0,1,0,0,0,0
27,10,1,0,4,0,0,0,2,0,0,1,1,0,2
28,14,0,0,0,0,0,0,0,0,2,0,0,0,0
29,6,0,1,7,2,0,0,0,0,1,0,0,0,0
30,0,0,0,2,0,0,3,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,7,1,0,3,3,0,0,0,0,0,0,0,0,0
35,9,2,1,6,3,0,0,0,0,0,0,2,0,4
36,14,2,0,0,0,9,1,0,0,0,0,4,0,13
37,51,4,1,1,8,12,11,0,0,0,0,0,1,3
38,18,2,5,0,5,2,7,0,0,0,1,0,3,3
39,15,5,2,5,6,3,7,0,0,1,1,7,0,15
40,34,6,1,5,2,1,15,2,0,1,0,0,0,5
41,29,16,1,6,11,2,4,2,0,3,1,0,0,9
42,12,7,0,2,2,0,9,6,0,2,2,0,0,13
43,13,11,1,7,1,5,4,0,0,0,2,0,0,16
44,10,7,3,17,2,4,1,0,0,3,0,1,0,16
45,16,6,10,13,4,3,6,3,0,4,1,2,0,14
46,17,4,4,13,5,2,5,0,0,10,0,7,1,5
47,11,4,5,5,6,2,5,2,0,5,0,3,3,8
48,15,4,2,8,4,0,8,0,0,2,2,9,0,11
49,27,6,2,5,7,0,0,17,0,5,1,2,2,6
50,5,1,4,8,4,3,6,0,0,2,1,0,4,6
51,9,6,0,3,2,2,0,2,0,1,1,0,3,2
52,0,0,0,4,3,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,2
54,2,0,0,2,3,2,0,2,0,0,0,0,0,2
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,1,2,0,0,0,0,0,0,0,0,0
57,0,0,0,2,0,0,0,2,0,0,0,0,0,0
58,2,0,0,1,1,2,0,0,0,0,0,2,0,6
59,9,1,3,4,4,0,1,0,0,0,0,2,0,14
60,28,5,3,4,4,11,0,5,0,0,0,4,0,19
61,15,5,3,1,11,14,4,0,0,6,0,0,0,7
62,19,0,1,0,3,9,7,2,0,1,4,8,0,5
63,14,6,0,3,1,14,8,0,0,4,0,0,0,10
64,24,7,0,11,8,2,21,0,0,1,0,3,0,11
65,24,6,0,6,3,4,6,1,0,3,0,0,1,22
66,19,9,1,2,1,10,9,3,0,0,0,0,0,6
67,24,8,3,9,2,3,7,0,0,0,1,2,3,3
68,7,10,3,13,4,0,4,0,0,1,0,2,0,10
69,29,3,5,8,5,2,3,0,0,3,0,6,0,14
70,24,12,6,14,2,3,1,0,1,3,1,11,5,12
71,32,8,1,9,4,3,10,0,0,3,0,8,0,10
72,24,2,0,4,3,0,2,0,0,3,1,13,0,7
73,3,6,4,5,3,0,0,2,0,1,1,1,0,5
74,4,1,0,13,1,0,7,0,0,0,0,2,0,4
75,4,0,2,7,2,0,1,0,0,0,0,0,0,0
76,0,0,0,7,0,0,0,0,0,0,0,0,0,1
77,0,0,0,2,0,0,2,0,0,0,0,0,0,1
78,1,0,0,0,1,0,2,0,0,0,0,0,0,0
79,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,1,0,0,0,1,0,0,0,0,0,0,0,0,0
81,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82,7,4,0,0,1,2,0,0,0,0,0,0,0,4
83,15,3,1,0,4,2,0,0,0,0,1,2,0,3
84,12,0,1,3,3,11,0,0,0,0,0,0,0,18
85,18,0,1,0,3,9,1,1,0,1,0,7,0,8
