how,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster10,cluster11,cluster12,cluster13,cluster15,cluster16,cluster18
0,0.93151,0.06849,0.01370,0.28767,0.08219,0.05479,0.19178,0.08219,0.01370,0.20548,0.02740,0.16438,0.17808,0.00000
1,0.71875,0.09375,0.00000,0.50000,0.15625,0.12500,0.06250,0.00000,0.00000,0.59375,0.12500,0.06250,0.28125,0.09375
2,0.43333,0.23333,0.06667,0.40000,0.03333,0.00000,0.11667,0.00000,0.00000,0.05000,0.05000,0.03333,0.03333,0.06667
3,0.60784,0.07843,0.01961,0.72549,0.05882,0.11765,0.11765,0.00000,0.00000,0.07843,0.00000,0.01961,0.07843,0.19608
4,0.51282,0.02564,0.02564,0.89744,0.00000,0.15385,0.30769,0.00000,0.00000,0.07692,0.02564,0.00000,0.05128,0.20513
5,0.35000,0.20000,0.00000,0.85000,0.05000,0.10000,0.60000,0.00000,0.00000,0.05000,0.00000,0.00000,0.00000,0.15000
6,0.77778,0.00000,0.00000,1.22222,0.00000,0.00000,0.22222,0.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7,2.33333,0.00000,0.00000,0.33333,0.00000,0.00000,3.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10,1.00000,0.00000,0.00000,1.00000,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.00000
11,1.25000,0.50000,0.00000,0.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.25000,0.00000,0.00000,0.00000,0.00000
12,0.30000,0.00000,0.25000,0.15000,0.00000,0.10000,0.30000,0.00000,0.00000,0.00000,0.00000,0.90000,0.00000,0.40000
13,0.75000,0.00000,0.25000,0.50000,0.00000,0.00000,0.50000,0.00000,0.00000,0.00000,0.00000,3.75000,0.00000,1.12500
14,1.53333,0.33333,0.06667,0.73333,0.00000,0.06667,1.33333,0.00000,0.00000,0.26667,0.00000,0.33333,0.00000,1.46667
15,1.43750,0.37500,0.00000,1.00000,0.68750,0.00000,1.56250,0.00000,0.00000,0.12500,0.06250,0.12500,0.12500,1.06250
16,1.05000,0.20000,0.05000,0.22500,0.25000,0.00000,0.37500,0.00000,0.00000,0.12500,0.02500,0.10000,0.10000,0.25000
17,0.85455,0.00000,0.05455,0.20000,0.16364,0.00000,0.38182,0.03636,0.01818,0.07273,0.01818,0.21818,0.00000,0.12727
18,0.43939,0.13636,0.01515,0.15152,0.13636,0.06061,0.19697,0.09091,0.00000,0.03030,0.03030,0.03030,0.00000,0.27273
19,0.51064,0.19149,0.00000,0.19149,0.21277,0.04255,0.17021,0.00000,0.00000,0.06383,0.06383,0.10638,0.00000,0.25532
20,0.30435,0.07246,0.07246,0.11594,0.07246,0.00000,0.08696,0.00000,0.00000,0.11594,0.04348,0.04348,0.10145,0.14493
21,0.25641,0.11538,0.03846,0.14103,0.03846,0.06410,0.21795,0.02564,0.00000,0.12821,0.01282,0.01282,0.00000,0.05128
22,0.86047,0.32558,0.11628,0.41860,0.04651,0.13953,0.04651,0.00000,0.00000,0.16279,0.02326,0.13953,0.00000,0.13953
23,0.82759,0.00000,0.03448,0.08621,0.00000,0.08621,0.05172,0.00000,0.00000,0.03448,0.00000,0.13793,0.00000,0.13793
