clid	venue	lon	lat	user	year	doy	dow	hour
6	Grandpa Joe's Candy Shop	-79.9824	40.4521	JoyOfJessalin	2015	304	6	19	0.000
6	Grandpa Joe's Candy Shop	-79.9824	40.4521	LolaAM	2014	198	4	19	0.000
6	Grandpa Joe's Candy Shop	-79.9824	40.4521	techburgh	2014	69	1	14	0.000
6	Grandpa Joe's Candy Shop	-79.9824	40.4521	joncmu	2014	186	6	19	0.000
10	Delta Gamma	-79.9417	40.4447	IPhillyBoy2011	2014	42	2	1	0.000
10	Delta Gamma	-79.9417	40.4447	IPhillyBoy2011	2014	42	2	1	0.000
15	Paris 66	-79.9242	40.4599	chintankamin	2014	95	6	1	0.000
15	Paris 66	-79.9242	40.4599	chintankamin	2014	95	6	1	0.000
3	Chan An Restaurant_1	-79.9774	40.4309	IPhillyBoy2011	2014	137	6	3	0.000
3	Chan An Restaurant_1	-79.9774	40.4309	IPhillyBoy2011	2014	137	6	3	0.000
18	Francesca's Collections	-79.9346	40.4510	beyonskeez	2014	75	0	18	0.000
18	Francesca's Collections	-79.9346	40.4510	ShelbyT20	2015	267	4	16	0.000
18	Francesca's Collections	-79.9346	40.4510	ShelbyT20	2015	267	4	16	0.000
18	Francesca's Collections	-79.9346	40.4510	beyonskeez	2014	75	0	18	0.000
18	Francesca's Collections	-79.9346	40.4510	beyonskeez	2014	75	0	18	0.000
3	The Pub Chip Shop	-79.9794	40.4287	kirbypuckett	2014	39	6	21	0.000
0	Bombay Giro	-79.9952	40.4439	Fenrari	2015	191	5	22	0.000
0	Bombay Giro	-79.9952	40.4439	Fenrari	2015	193	0	21	0.000
0	Bombay Giro	-79.9952	40.4439	Fenrari	2015	191	5	22	0.000
0	Bombay Giro	-79.9952	40.4439	Fenrari	2015	193	0	21	0.000
0	Bombay Giro	-79.9952	40.4439	Fenrari	2015	191	5	22	0.000
0	Bombay Giro	-79.9952	40.4439	Fenrari	2015	193	0	21	0.000
0	The Grant Street Tavern	-79.9979	40.4376	AbbyDinges	2015	37	5	23	0.238
0	The Grant Street Tavern	-79.9979	40.4376	AbbyDinges	2015	37	5	23	0.238
0	The Grant Street Tavern	-79.9979	40.4376	AbbyDinges	2015	37	5	23	0.238
0	Diamond Market Bar & Grill	-80.0023	40.4410	oliverroy48	2015	151	0	23	0.211
0	Diamond Market Bar & Grill	-80.0023	40.4410	oliverroy48	2015	151	0	23	0.211
0	Diamond Market Bar & Grill	-80.0023	40.4410	OberleyCreative	2015	267	4	15	0.211
0	Diamond Market Bar & Grill	-80.0023	40.4410	johnmccarthy	2015	121	5	0	0.211
0	Diamond Market Bar & Grill	-80.0023	40.4410	300lbMAN	2014	166	0	22	0.231
0	Diamond Market Bar & Grill	-80.0023	40.4410	mauraphobia	2014	74	6	17	0.194
0	Diamond Market Bar & Grill	-80.0023	40.4410	mikedelgenio	2015	28	3	0	0.211
0	Diamond Market Bar & Grill	-80.0023	40.4410	redfoote74	2014	71	3	21	0.231
0	Diamond Market Bar & Grill	-80.0023	40.4410	spots87	2015	240	5	23	0.211
0	Diamond Market Bar & Grill	-80.0023	40.4410	oliverroy48	2015	151	0	23	0.211
0	Diamond Market Bar & Grill	-80.0023	40.4410	OberleyCreative	2015	267	4	15	0.211
0	Diamond Market Bar & Grill	-80.0023	40.4410	spots87	2015	240	5	23	0.211
0	Diamond Market Bar & Grill	-80.0023	40.4410	ktrueman	2014	73	5	19	0.231
0	Diamond Market Bar & Grill	-80.0023	40.4410	ktrueman	2014	73	5	19	0.231
0	One Oxford Centre	-79.9988	40.4381	spliff_smoke	2015	160	2	13	0.000
0	HealthQuest Chiropractic	-80.0013	40.4420	AbbyDinges	2015	285	1	13	0.000
6	Artisan	-79.9842	40.4510	cscites	2014	88	6	18	0.000
6	Artisan	-79.9842	40.4510	cscites	2014	88	6	18	0.000
6	Artisan	-79.9842	40.4510	cscites	2014	88	6	18	0.000
0	Penn Avenue Fish Company	-80.0005	40.4402	VinnyTeee	2014	88	6	1	0.000
15	BRGR Bar	-79.9256	40.4596	julietterichey	2014	194	0	20	0.000
15	BRGR Bar	-79.9256	40.4596	richstep	2014	312	6	23	0.000
15	BRGR Bar	-79.9256	40.4596	Smeagol_Is_Free	2015	36	4	18	0.000
15	BRGR Bar	-79.9256	40.4596	joefouche	2014	35	2	23	0.000
15	BRGR Bar	-79.9256	40.4596	RashanWalker	2014	43	3	0	0.000
15	BRGR Bar	-79.9256	40.4596	RashanWalker	2014	49	2	1	0.000
15	BRGR Bar	-79.9256	40.4596	SCARYDERRY	2014	57	3	19	0.000
