venue	txt	lon	lat	user	year	doy	dow	hour	senti_val
Moore Park Soccer Field	-80.0126	40.4065	Turki_3_O	2015	21	3	4	0.000	Just posted a photo Moore Park Soccer Field
Washington Plaza	-79.9867	40.4406	ThatNerdBastard	2015	178	6	23	0.000	Just posted a photo Washington Plaza
Creepy Place In The Woods By My House	-79.9192	40.3893	MJanu09	2015	257	1	3	0.000	Just posted a photo Creepy Place In The Woods By My House
The Secret City of Pittsburgh	-79.9022	40.4491	BenzaBurgh	2014	284	6	3	0.000	Just posted a photo The Secret City of Pittsburgh
The Secret City of Pittsburgh	-79.9022	40.4491	BenzaBurgh	2014	297	5	2	0.000	Just posted a photo The Secret City of Pittsburgh
The Secret City of Pittsburgh	-79.9022	40.4491	BenzaBurgh	2014	28	2	5	0.000	Just posted a photo The Secret City of Pittsburgh
The Secret City of Pittsburgh	-79.9022	40.4491	BenzaBurgh	2014	138	0	4	0.000	Just posted a photo The Secret City of Pittsburgh
Mr.Smalls Theater	-79.9722	40.4810	gollygmissmolly	2015	65	5	4	0.000	Just posted a photo Mr.Smalls Theater
Route 28	-79.9884	40.4574	JoshLouie	2015	2	5	22	0.000	Just posted a photo Route 28
Route 28	-79.9884	40.4574	JoshLouie	2015	2	5	22	0.000	Just posted a photo Route 28
Route 28	-79.9884	40.4574	JoshLouie	2015	2	5	22	0.000	Just posted a photo Route 28
York Way	-79.9546	40.4381	tsismour	2015	27	2	2	0.000	Just posted a photo York Way
The BeerHive	-79.9828	40.4521	PuMpZorDuNkS	2014	43	3	1	0.000	Just posted a photo The BeerHive
The BeerHive	-79.9827	40.4521	chrisPURE	2014	53	6	1	0.000	Just posted a photo The BeerHive
The BeerHive	-79.9828	40.4521	PuMpZorDuNkS	2014	43	3	1	0.000	Just posted a photo The BeerHive
Einstein Bros Bagels - Greentree	-80.0454	40.4185	pes_2386	2015	247	5	11	0.000	Just posted a photo Einstein Bros Bagels - Greentree
Monterey Bay Fish Grotto	-80.0210	40.4388	BoshuaBean	2014	307	1	3	0.000	Just posted a photo Monterey Bay Fish Grotto
Monterey Bay Fish Grotto	-80.0210	40.4388	Ying_ToYourYang	2015	194	1	21	0.000	Just posted a photo Monterey Bay Fish Grotto
Monterey Bay Fish Grotto	-80.0210	40.4388	Ying_ToYourYang	2015	194	1	21	0.000	Just posted a photo Monterey Bay Fish Grotto
Hill District	-79.9860	40.4418	LegacyAvenue	2015	25	0	20	0.000	Just posted a photo Hill District
Big Tom's Barbershop	-79.9791	40.4442	Bigtom247	2014	295	3	18	0.000	Just posted a photo Big Tom's Barbershop
Big Tom's Barbershop	-79.9791	40.4442	Bigtom247	2014	295	3	18	0.000	Just posted a photo Big Tom's Barbershop
Big Tom's Barbershop	-79.9791	40.4442	Bigtom247	2014	295	3	18	0.000	Just posted a photo Big Tom's Barbershop
The Verve 360	-80.0024	40.4431	jessbrown	2015	115	6	0	0.000	Just posted a photo The Verve 360
Gran Prix	-79.8652	40.3867	AFMJen	2014	187	0	20	0.000	Just posted a photo Gran Prix
The Livermore	-79.9250	40.4604	JoshLouie	2014	96	0	3	0.000	Just posted a photo The Livermore
The Livermore	-79.9250	40.4604	JoshLouie	2014	96	0	3	0.000	Just posted a photo The Livermore
First Presbyterian Church of Pittsburgh	-79.9988	40.4415	DJTMI	2014	34	1	21	0.000	Just posted a photo First Presbyterian Church of Pittsburgh
First Presbyterian Church of Pittsburgh	-79.9990	40.4415	Jordonooh	2015	242	0	16	0.000	Just posted a photo First Presbyterian Church of Pittsburgh
Carnegie Museum Of Art	-79.9494	40.4435	theBee_word	2014	72	4	4	0.000	Just posted a photo Carnegie Museum Of Art
Potomac Ave. T Station	-80.0363	40.3973	gregdrupp	2015	240	5	13	0.000	Just posted a photo Potomac Ave. T Station
Potomac Ave. T Station	-80.0363	40.3973	gregdrupp	2015	240	5	13	0.000	Just posted a photo Potomac Ave. T Station
Hollywood Theater	-80.0351	40.3961	BlackCatCara	2014	68	0	2	0.000	Just posted a photo Hollywood Theater
Hollywood Theater	-80.0351	40.3961	BlackCatCara	2014	68	0	2	0.000	Just posted a photo Hollywood Theater
Le Mont - Pittsburgh	-80.0178	40.4378	jtdxn	2015	300	2	1	0.000	Just posted a photo Le Mont - Pittsburgh
Market Square Place	-80.0028	40.4408	TessaTechArtist	2015	73	6	18	0.000	Just posted a photo Market Square Place
Market Square Place	-80.0028	40.4408	TessaTechArtist	2015	73	6	18	0.000	Just posted a photo Market Square Place
Birmingham Bridge	-79.9735	40.4361	gigs412	2014	77	2	23	0.000	Just posted a photo Birmingham Bridge
Somewhere in Southside	-79.9720	40.4263	saamxoo	2015	10	6	14	0.000	Just posted a photo Somewhere in Southside
Somewhere in Southside	-79.9720	40.4263	saamxoo	2015	10	6	14	0.000	Just posted a photo Somewhere in Southside
31st Street Bridge	-79.9778	40.4638	JoshLouie	2014	139	1	21	0.000	Just posted a photo 31st Street Bridge
31st Street Bridge	-79.9778	40.4638	JoshLouie	2014	139	1	21	0.000	Just posted a photo 31st Street Bridge
31st Street Bridge	-79.9778	40.4638	JoshLouie	2014	139	1	21	0.000	Just posted a photo 31st Street Bridge
tk	-80.0022	40.4424	obvi_g	2015	304	6	21	0.000	Just posted a photo tk
smile	-79.9372	40.4832	NitaaM419	2015	206	6	1	0.455	Just posted a photo smile
