venue	lon	lat	checkin_n	user_n	doy_mode	dow_mode	hour_mode	senti_avg
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	153	66	2015	270	0	0.000
Children's Museum of Pittsburgh	-80.0068	40.4527	48	13	2014	220	6	0.000
Stage AE	-80.0122	40.4461	33	19	2014	277	0	0.000
Blvd of the Allies	-79.9637	40.4356	33	2	2015	189	3	0.000
Point State Park Fountain	-80.0128	40.4419	28	14	2015	306	0	0.000
Carnegie Museum of Natural History	-79.9493	40.4433	25	14	2015	311	6	0.263
David L. Lawrence Convention Center	-79.9965	40.4457	24	10	2014	269	6	0.000
Cathedral of Learning	-79.9532	40.4442	24	11	2014	82	6	0.000
CONSOL Energy Center	-79.9894	40.4396	24	12	2014	107	4	0.296
City of Pittsburgh_3	-79.9924	40.4470	24	9	2014	303	4	0.000
Kennywood Park_1	-79.8647	40.3871	21	15	2015	144	5	0.000
Phipps Conservatory and Botanical Gardens_1	-79.9520	40.4344	21	9	2015	233	1	0.000
University of Pittsburgh_2	-79.9527	40.4446	21	11	2015	270	0	0.000
Mattress Factory - Museum of Contemporary Art	-80.0123	40.4570	21	12	2014	299	0	0.000
Hofbrauhaus Pittsburgh	-79.9645	40.4287	21	6	2015	186	0	0.000
West Mifflin Area High School	-79.8754	40.3829	20	1	2015	276	6	0.000
Market Square, Pittsburgh	-80.0026	40.4408	20	7	2015	188	0	0.000
Kennywood Park_2	-79.8654	40.3880	18	2	2014	146	1	0.000
Primanti Bros_1	-79.9855	40.4508	17	7	2014	170	4	0.000
Gateway Clipper Fleet	-80.0069	40.4361	16	11	2015	87	6	0.000
Carnegie Mellon University	-79.9426	40.4437	16	11	2015	273	3	0.000
National Aviary_2	-80.0102	40.4532	15	7	2015	144	0	0.000
La Huette Royal	-79.9826	40.4670	15	1	2015	60	0	0.000
Carnegie Science Center	-80.0182	40.4459	15	5	2015	97	1	0.000
Bayardstown Social Club	-79.9723	40.4589	15	3	2015	186	0	0.000
Omni William Penn Hotel	-79.9967	40.4407	14	6	2015	275	1	0.000
PNC Park Pittsburgh Pirates	-80.0056	40.4476	14	10	2014	207	0	0.000
Roberto Clemente Bridge_1	-80.0033	40.4456	13	8	2014	92	3	0.000
Pittsburgh Pirates Baseball - PNC Park	-80.0059	40.4466	12	3	2015	277	0	0.000
West End Overlook	-80.0337	40.4458	12	5	2015	186	0	0.000
Carnegie Library of Homestead	-79.9031	40.4072	12	1	2014	340	6	0.000
Penn Brewery	-79.9914	40.4569	12	5	2014	192	6	0.000
Kennywood Park_3	-79.8646	40.3859	12	9	2014	144	0	0.000
The Waterfront	-79.9171	40.4076	12	4	2015	241	6	0.000
