how,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster10,cluster11,cluster12,cluster13,cluster15,cluster16,cluster18
0,6,1,0,0,1,2,0,0,0,3,0,0,0,0
1,7,0,2,1,0,0,0,0,0,0,2,0,3,2
2,5,0,0,1,0,0,0,0,1,2,0,0,0,4
3,3,0,0,3,4,0,0,0,0,0,0,2,0,0
4,2,1,0,6,0,3,4,0,0,0,1,0,0,0
5,2,0,0,1,0,0,2,1,0,0,0,0,0,0
6,1,0,0,3,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,0,4,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,2,0,0,0,0,0,0,0,0
13,0,2,0,0,0,0,2,0,0,0,0,0,0,0
14,0,0,0,1,2,2,0,1,0,0,0,0,0,1
15,0,0,0,1,0,1,1,0,0,0,0,0,0,0
16,9,4,2,1,0,1,4,2,0,0,0,0,1,0
17,3,2,0,0,1,3,1,1,0,0,0,0,0,0
18,2,2,0,1,1,1,3,0,0,0,1,0,0,0
19,0,0,0,2,0,0,2,0,0,2,0,0,0,0
20,7,5,0,0,4,0,3,0,0,3,0,0,0,0
21,4,4,0,1,1,2,0,0,0,8,1,0,0,0
22,6,1,0,0,0,2,0,0,0,0,0,0,0,0
23,4,1,0,0,0,5,0,0,0,0,0,0,0,0
24,11,4,0,2,0,1,2,0,0,1,0,4,0,0
25,1,5,0,1,2,0,4,1,0,0,0,0,0,0
26,2,10,0,0,2,1,4,0,0,0,2,0,0,0
27,6,0,0,0,0,0,2,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,10,2,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,2
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,1,0,0,0,6,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,2,0,0,0,0,0,0,0,0,0,0,0,0
38,1,1,0,0,0,0,0,0,0,0,0,0,0,0
39,3,0,0,0,0,0,0,0,0,0,2,0,0,0
40,2,0,0,0,0,0,1,0,0,0,0,0,0,0
41,7,1,2,0,2,0,3,0,0,0,0,0,0,0
42,0,3,0,1,0,0,0,0,0,0,0,0,0,0
43,4,0,0,0,0,2,0,0,0,0,0,0,2,0
