how,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster10,cluster11,cluster12,cluster13,cluster15,cluster16,cluster18
0,0.08219,0.01370,0.00000,0.00000,0.01370,0.02740,0.00000,0.00000,0.00000,0.04110,0.00000,0.00000,0.00000,0.00000
1,0.21875,0.00000,0.06250,0.03125,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06250,0.00000,0.09375,0.06250
2,0.08333,0.00000,0.00000,0.01667,0.00000,0.00000,0.00000,0.00000,0.01667,0.03333,0.00000,0.00000,0.00000,0.06667
3,0.05882,0.00000,0.00000,0.05882,0.07843,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03922,0.00000,0.00000
4,0.05128,0.02564,0.00000,0.15385,0.00000,0.07692,0.10256,0.00000,0.00000,0.00000,0.02564,0.00000,0.00000,0.00000
5,0.10000,0.00000,0.00000,0.05000,0.00000,0.00000,0.10000,0.05000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6,0.11111,0.00000,0.00000,0.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33333,0.00000,0.00000,0.00000,0.00000
8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
11,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
12,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
13,0.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
14,0.00000,0.00000,0.00000,0.06667,0.13333,0.13333,0.00000,0.06667,0.00000,0.00000,0.00000,0.00000,0.00000,0.06667
15,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250,0.06250,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
16,0.22500,0.10000,0.05000,0.02500,0.00000,0.02500,0.10000,0.05000,0.00000,0.00000,0.00000,0.00000,0.02500,0.00000
17,0.05455,0.03636,0.00000,0.00000,0.01818,0.05455,0.01818,0.01818,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18,0.03030,0.03030,0.00000,0.01515,0.01515,0.01515,0.04545,0.00000,0.00000,0.00000,0.01515,0.00000,0.00000,0.00000
19,0.00000,0.00000,0.00000,0.04255,0.00000,0.00000,0.04255,0.00000,0.00000,0.04255,0.00000,0.00000,0.00000,0.00000
20,0.10145,0.07246,0.00000,0.00000,0.05797,0.00000,0.04348,0.00000,0.00000,0.04348,0.00000,0.00000,0.00000,0.00000
21,0.05128,0.05128,0.00000,0.01282,0.01282,0.02564,0.00000,0.00000,0.00000,0.10256,0.01282,0.00000,0.00000,0.00000
22,0.13953,0.02326,0.00000,0.00000,0.00000,0.04651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
23,0.06897,0.01724,0.00000,0.00000,0.00000,0.08621,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
24,0.21154,0.07692,0.00000,0.03846,0.00000,0.01923,0.03846,0.00000,0.00000,0.01923,0.00000,0.07692,0.00000,0.00000
25,0.02222,0.11111,0.00000,0.02222,0.04444,0.00000,0.08889,0.02222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
26,0.05263,0.26316,0.00000,0.00000,0.05263,0.02632,0.10526,0.00000,0.00000,0.00000,0.05263,0.00000,0.00000,0.00000
27,0.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
28,0.09091,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
29,0.34483,0.06897,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
30,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
