clid	venue	lon	lat	user	year	doy	dow	hour
1	York Way	-79.9546	40.4381	tsismour	2015	27	2	2	0.000
0	U.S. Steel Tower_1	-79.9947	40.4413	graydonlanduse	2015	292	1	15	0.000
0	U.S. Steel Tower_1	-79.9947	40.4413	graydonlanduse	2015	292	1	15	0.000
6	The BeerHive	-79.9828	40.4521	PuMpZorDuNkS	2014	43	3	1	0.000
6	The BeerHive	-79.9828	40.4521	chrisPURE	2014	53	6	1	0.000
6	The BeerHive	-79.9828	40.4521	PuMpZorDuNkS	2014	43	3	1	0.000
15	The Livermore	-79.9250	40.4604	JoshLouie	2014	96	0	3	0.000
15	The Livermore	-79.9250	40.4604	JoshLouie	2014	96	0	3	0.000
0	First Presbyterian Church of Pittsburgh	-79.9989	40.4415	DJTMI	2014	34	1	21	0.000
0	First Presbyterian Church of Pittsburgh	-79.9989	40.4415	Jordonooh	2015	242	0	16	0.000
1	Carnegie Museum Of Art	-79.9494	40.4435	theBee_word	2014	72	4	4	0.000
0	still looking 4 the zaddys	-80.0013	40.4386	AlenaLancia	2015	88	0	1	0.000
0	still looking 4 the zaddys	-80.0013	40.4386	AlenaLancia	2015	88	0	1	0.000
0	still looking 4 the zaddys	-80.0013	40.4386	AlenaLancia	2015	88	0	1	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	I_Macks	2014	209	1	15	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	cloughly	2014	334	0	3	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	Blakhopela	2014	225	3	21	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	fugimaster24	2014	275	4	3	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	techburgh	2014	317	4	2	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	Blakhopela	2014	225	3	21	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	fugimaster24	2014	275	4	3	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	techburgh	2014	317	4	2	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	jessbrown	2014	319	6	21	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	NickAugusta	2014	301	2	2	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	jjggz	2014	303	4	15	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	jjggz	2014	303	4	15	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	AynMcGraw	2014	307	1	22	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	jjggz	2014	303	4	15	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	NickAugusta	2014	301	2	2	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	jjggz	2014	303	4	15	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	jjggz	2014	303	4	15	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	AynMcGraw	2014	307	1	22	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	jjggz	2014	303	4	15	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	NickAugusta	2014	301	2	2	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	jjggz	2014	303	4	15	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	jjggz	2014	303	4	15	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	AynMcGraw	2014	307	1	22	0.000
0	City of Pittsburgh_3	-79.9924	40.4470	jjggz	2014	303	4	15	0.000
0	City of Pittsburgh_2	-79.9932	40.4447	KMGKiewitSafe	2015	196	3	16	0.000
0	City of Pittsburgh_2	-79.9932	40.4447	KMGKiewitSafe	2015	196	3	16	0.000
0	City of Pittsburgh_2	-79.9932	40.4447	cccourtx3	2015	246	4	1	0.000
3	Somewhere in Southside	-79.9720	40.4263	saamxoo	2015	10	6	14	0.000
3	Somewhere in Southside	-79.9720	40.4263	saamxoo	2015	10	6	14	0.000
0	tk	-80.0022	40.4424	obvi_g	2015	304	6	21	0.000
10	Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9450	40.4443	bluesource	2014	284	6	20	0.000
10	Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9450	40.4443	sky_xutianyu	2015	305	0	5	0.000
10	Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9450	40.4443	sky_xutianyu	2015	281	4	4	0.000
10	Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9450	40.4443	sky_xutianyu	2015	281	4	4	0.000
10	Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9450	40.4443	bluesource	2014	284	6	20	0.000
10	Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9450	40.4443	bluesource	2014	284	6	20	0.000
10	Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9450	40.4443	sky_xutianyu	2015	281	4	4	0.000
6	Pittsburgh Public Market	-79.9803	40.4538	MrNeup	2015	269	6	19	0.000
6	Pittsburgh Public Market	-79.9803	40.4538	MrNeup	2015	269	6	19	0.000
6	Pittsburgh Public Market	-79.9803	40.4538	MrNeup	2015	269	6	19	0.000
6	Pittsburgh Public Market	-79.9803	40.4538	MrNeup	2015	269	6	19	0.000
0	Golds Gym	-80.0040	40.4409	Moss412	2014	120	3	3	0.000
0	Golds Gym	-80.0040	40.4409	Moss412	2014	120	3	3	0.000
0	Golds Gym	-80.0040	40.4409	Moss412	2014	120	3	3	0.000
4	Smithfield United Church Of Christ_2	-80.0079	40.4490	taker3277	2014	80	5	23	0.286
4	Smithfield United Church Of Christ_2	-80.0079	40.4490	hunter2979	2014	144	6	10	0.286
4	Smithfield United Church Of Christ_2	-80.0079	40.4490	taker3277	2014	80	5	23	0.286
4	Smithfield United Church Of Christ_2	-80.0079	40.4490	hunter2979	2014	144	6	10	0.286
4	Smithfield United Church Of Christ_2	-80.0079	40.4490	cerebral2979	2014	177	4	21	0.286
4	Smithfield United Church Of Christ_2	-80.0079	40.4490	taker3277	2014	31	5	13	0.286
4	Smithfield United Church Of Christ_2	-80.0079	40.4490	taker3277	2014	80	5	21	0.286
1	Kbox	-79.9490	40.4459	doubleorabbit	2015	184	5	5	0.000
0	Smithfield United Church Of Christ_1	-79.9972	40.4418	taker3277	2014	30	4	0	0.286
0	Smithfield United Church Of Christ_1	-79.9972	40.4418	taker3277	2014	30	4	0	0.286
4	Soho	-80.0045	40.4483	coolc_412	2014	207	6	2	0.000
4	Soho	-80.0045	40.4483	jrmpix	2014	94	5	0	0.000
18	Shadyside	-79.9350	40.4500	sky_xutianyu	2015	247	5	23	0.000
18	Shadyside	-79.9350	40.4500	maggiejmcgrath	2015	226	5	22	0.000
0	Point State Park_2	-80.0074	40.4394	djakehayes	2014	306	0	16	0.000
0	Point State Park_2	-80.0074	40.4394	ShawGalleries	2014	183	3	20	0.000
0	Point State Park_2	-80.0074	40.4394	djakehayes	2014	306	0	16	0.000
0	Point State Park_2	-80.0074	40.4394	ShawGalleries	2014	183	3	20	0.000
0	Point State Park_2	-80.0074	40.4394	djakehayes	2014	306	0	16	0.000
0	Point State Park_2	-80.0074	40.4394	ShawGalleries	2014	183	3	20	0.000
3	The Smiling Moose	-79.9850	40.4288	BryanMcClaine	2014	28	2	21	0.375
3	The Smiling Moose	-79.9850	40.4288	benkeen	2014	243	0	4	0.375
3	The Smiling Moose	-79.9850	40.4288	VintsSalvatore	2015	77	3	5	0.375
3	The Smiling Moose	-79.9850	40.4288	Tyleraelan	2014	224	2	1	0.375
3	The Smiling Moose	-79.9850	40.4288	Tyleraelan	2014	224	2	1	0.375
3	The Smiling Moose	-79.9850	40.4288	Jasonvoytek	2015	247	5	2	0.375
3	The Smiling Moose	-79.9850	40.4288	Jasonvoytek	2015	247	5	2	0.375
0	The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000
0	The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000
0	The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000
0	The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000
0	The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000
0	The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000
3	Rita's Italian Ice Southside	-79.9698	40.4279	mommyna77	2014	79	4	19	0.000
3	Rita's Italian Ice Southside	-79.9698	40.4279	mommyna77	2014	79	4	19	0.000
0	ODAR	-79.9934	40.4460	woods_hollylynn	2015	9	5	17	0.000
0	ODAR	-79.9934	40.4460	woods_hollylynn	2015	9	5	17	0.000
0	Eddie Merlots	-80.0036	40.4412	davidbowlin	2014	176	3	19	0.000
0	Hampton Inn & Suites Pittsburgh Downtown	-79.9924	40.4470	TIMBARLAND691	2014	133	2	14	0.000
0	Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	obvi_g	2015	30	5	3	0.000
0	Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	TresheaWade	2015	32	0	22	0.000
0	Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	CelinaPompeani	2015	247	5	23	0.000
0	Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	Chiusy	2015	307	2	13	0.000
0	Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	CelinaPompeani	2015	247	5	23	0.000
0	Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	obvi_g	2015	30	5	3	0.000
0	Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	TresheaWade	2015	32	0	22	0.000
0	Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	schtar	2015	143	6	20	0.000
0	Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	CelinaPompeani	2015	247	5	23	0.000
1	Carnegie Museum of Art and Natural History	-79.9498	40.4431	BryMiscoe	2014	136	5	21	0.217
3	The jacuzzi tub	-79.9785	40.4274	MMartignetti	2015	12	1	18	0.000
3	Nakama	-79.9820	40.4289	TannerGlaves	2014	165	6	19	0.000
0	The Yard Market Square	-80.0027	40.4413	_jordanmariemc	2015	284	0	20	0.000
16	Eclipse Lounge	-79.9647	40.4666	dj_Bamboo	2014	173	0	1	0.000
16	Eclipse Lounge	-79.9647	40.4666	dj_Bamboo	2014	173	0	1	0.000
16	Eclipse Lounge	-79.9647	40.4666	dj_Bamboo	2014	173	0	1	0.000
3	PREGAME	-79.9834	40.4277	vanessadinardo	2014	278	0	14	0.000
6	Hermanowski Wholesale	-79.9836	40.4505	AleitaH	2014	332	5	19	0.000
6	Hermanowski Wholesale	-79.9836	40.4505	AleitaH	2014	332	5	19	0.000
0	T Station	-80.0000	40.4423	iamseton	2014	188	1	3	0.000
0	T Station	-80.0000	40.4423	iamseton	2014	188	1	3	0.000
6	Smallman (The Strip	-79.9865	40.4504	Slimathee	2015	293	2	11	0.000
6	Smallman (The Strip	-79.9865	40.4504	JoshLouie	2014	163	4	22	0.000
6	Smallman (The Strip	-79.9865	40.4504	Slimathee	2015	293	2	11	0.000
0	Arts Festival	-80.0063	40.4422	brittanytomasic	2015	159	1	0	0.444
0	Arts Festival	-80.0063	40.4422	brittanytomasic	2015	159	1	0	0.444
4	three rivers arts festival	-80.0042	40.4462	Julll_Car	2015	157	6	0	0.348
4	three rivers arts festival	-80.0042	40.4462	Julll_Car	2015	157	6	0	0.348
6	Pamela's P & G Diner - Strip District	-79.9835	40.4520	gia_ritch	2014	173	0	13	0.000
6	Pamela's P & G Diner - Strip District	-79.9835	40.4520	aristotlejulep	2014	144	6	13	0.000
6	Pamela's P & G Diner - Strip District	-79.9835	40.4520	gia_ritch	2014	173	0	13	0.000
6	Pamela's P & G Diner - Strip District	-79.9835	40.4520	ShelleyDuffy	2014	207	6	15	0.000
6	Pamela's P & G Diner - Strip District	-79.9835	40.4520	aristotlejulep	2014	144	6	13	0.000
3	Ibiza Wine and Tapas Restaurant	-79.9735	40.4281	JohnnyStLethal	2015	25	0	5	0.000
0	11 Stanwix Street	-80.0064	40.4392	Emily13Lebovitz	2015	247	5	19	0.000
2	CONSOL Energy Center	-79.9894	40.4396	therealannawebb	2015	265	2	22	0.296
2	CONSOL Energy Center	-79.9894	40.4396	psu_char_99	2015	265	2	22	0.296
2	CONSOL Energy Center	-79.9894	40.4396	RyanDGreen	2015	269	6	22	0.296
2	CONSOL Energy Center	-79.9894	40.4396	ashlynniicolee	2014	82	0	16	0.296
2	CONSOL Energy Center	-79.9894	40.4396	george_birman	2014	83	1	17	0.296
2	CONSOL Energy Center	-79.9894	40.4396	kraym3r	2014	85	3	1	0.296
2	CONSOL Energy Center	-79.9894	40.4396	CatherineMarr	2014	107	4	1	0.296
