,cluster0,,,cluster1,,,cluster2,,,cluster3,,,cluster4,,
date,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
2014-01-22,12,-3.247,1,3,10,1.935,0,0,4,1.444,0,0,0,0.000,0,0,0,0.000,0,0
2014-01-23,143,-2.558,20,20,93,-13.028,12,19,36,4.180,7,4,2,-1.818,0,1,5,2.762,1,0
2014-01-24,121,15.514,22,17,107,10.715,20,11,40,9.785,7,2,3,-0.846,0,0,3,0.025,0,0
2014-01-25,76,-12.330,7,10,81,-5.421,8,10,60,4.369,11,8,9,1.344,1,0,0,0.000,0,0
2014-01-26,125,1.513,18,15,110,10.873,18,14,57,-14.400,5,11,5,1.622,2,1,4,2.134,1,0
2014-01-27,205,8.493,28,21,139,-0.197,20,17,50,6.134,8,5,8,1.207,1,0,0,0.000,0,0
2014-01-28,147,6.371,21,18,144,-6.371,16,17,44,5.363,6,4,5,6.210,3,0,3,1.960,1,0
2014-01-29,105,-3.293,12,10,127,0.476,16,16,36,1.760,3,3,4,-0.136,0,0,1,-0.142,0,0
2014-01-30,101,3.287,16,13,119,9.790,20,18,29,2.056,3,0,3,-1.179,0,0,2,-2.543,0,1
2014-01-31,112,9.640,15,11,109,7.464,16,11,32,-5.593,3,4,3,-0.636,1,1,3,2.045,2,0
2014-02-01,95,-4.712,10,12,98,-8.280,15,20,62,-4.089,8,8,5,-1.102,1,1,1,-0.142,0,0
2014-02-02,92,-4.039,12,14,146,8.614,26,20,71,10.145,17,7,9,-3.961,1,3,4,1.651,1,0
2014-02-03,129,-1.988,17,19,175,-2.067,34,28,68,7.688,10,5,3,-0.426,0,0,2,3.124,2,0
2014-02-04,131,7.953,17,14,125,-8.904,13,15,34,-0.950,4,5,4,0.166,1,0,4,-0.313,1,0
2014-02-05,105,-3.353,14,17,141,-11.565,21,19,44,-9.066,3,9,6,5.013,2,0,0,0.000,0,0
2014-02-06,123,-14.849,13,16,120,-4.367,14,14,26,-0.532,4,3,4,2.702,0,0,2,0.376,0,0
2014-02-07,128,-5.191,14,15,109,-0.620,15,18,24,-2.341,5,4,5,0.408,0,0,3,-2.269,0,1
