,cluster14,,,,cluster15,,,,cluster18,,,,cluster27,,,
date,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
2014-01-22,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-01-23,5,-3.994,0.000,1.221,0,0.000,0.000,0.000,5,0.000,0.000,0.000,3,0.000,0.000,0.000
2014-01-24,4,0.631,0.000,0.549,0,0.000,0.000,0.000,4,0.000,0.000,0.000,4,0.000,0.000,0.000
2014-01-25,10,-1.793,0.000,1.221,2,-0.558,0.000,0.000,10,0.000,0.000,0.000,13,0.000,0.000,0.000
2014-01-26,1,2.003,1.221,0.000,0,0.000,0.000,0.000,7,0.000,0.000,0.000,23,0.000,0.000,0.000
2014-01-27,1,1.366,1.221,0.000,2,-0.881,0.000,0.000,1,0.000,0.000,0.000,17,0.000,0.000,0.000
2014-01-28,4,-0.162,0.000,0.000,2,-0.767,0.000,0.000,10,0.000,0.000,0.000,1,-0.000,0.000,0.000
2014-01-29,5,-2.141,1.221,1.221,1,-0.142,0.000,0.000,2,0.000,0.000,0.000,10,-1.328,0.000,1.221
2014-01-30,4,-3.408,0.000,1.221,1,-0.323,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000
2014-01-31,5,3.543,3.664,1.221,3,-0.554,0.000,0.000,0,0.000,0.000,0.000,18,2.047,1.221,0.000
2014-02-01,5,3.343,2.443,0.000,1,-0.124,0.000,0.000,7,0.000,0.000,0.000,3,-0.000,0.000,0.000
2014-02-02,2,-0.284,0.000,0.000,0,0.000,0.000,0.000,4,0.000,0.000,0.000,18,0.000,0.000,0.000
2014-02-03,2,0.313,0.000,0.000,0,0.000,0.000,0.000,4,0.000,0.000,0.000,11,0.000,0.000,0.000
2014-02-04,3,-0.036,0.111,0.000,0,0.000,0.000,0.000,4,0.000,0.000,0.000,11,0.000,0.000,0.000
2014-02-05,5,0.834,0.000,0.000,2,0.096,0.000,0.000,1,-0.000,0.000,0.000,14,0.000,0.000,0.000
2014-02-06,3,-0.329,0.000,0.000,2,-0.121,0.000,0.000,8,-5.661,0.000,2.443,9,0.000,0.000,0.000
2014-02-07,4,-0.599,0.000,0.000,1,-0.465,0.000,0.000,6,4.164,1.221,0.000,2,-0.000,0.000,0.000
2014-02-08,7,-0.136,0.000,0.000,2,-0.252,0.000,0.000,6,0.000,0.000,0.000,2,-0.000,0.000,0.000
2014-02-09,8,-3.748,1.221,1.770,0,0.000,0.000,0.000,9,-0.000,0.000,0.000,0,0.000,0.000,0.000
2014-02-10,2,1.738,1.332,0.000,2,-0.916,0.000,0.000,6,-0.000,0.000,0.000,9,0.000,0.000,0.000
2014-02-11,3,0.336,0.549,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-02-12,4,1.187,1.221,0.000,1,-0.128,0.000,0.000,1,0.678,0.000,0.000,8,0.000,0.000,0.000
2014-02-13,8,-2.988,0.000,1.770,6,0.013,0.000,0.000,8,-0.284,0.000,0.000,5,0.000,0.000,0.000
2014-02-14,1,-0.142,0.000,0.000,0,0.000,0.000,0.000,2,-0.781,0.000,0.000,4,0.000,0.000,0.000
2014-02-15,6,1.007,1.221,0.000,2,-0.575,0.000,0.000,1,-0.000,0.000,0.000,2,0.000,0.000,0.000
2014-02-16,5,3.714,2.443,0.000,3,-0.725,0.000,0.000,0,0.000,0.000,0.000,11,-0.142,0.000,0.000
2014-02-17,2,-0.284,0.000,0.000,1,0.266,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000
2014-02-18,4,-0.249,0.111,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,19,0.000,0.000,0.000
2014-02-19,4,-4.539,0.000,2.443,1,-0.465,0.000,0.000,1,0.616,0.000,0.000,7,0.000,0.000,0.000
2014-02-20,5,0.337,0.000,0.111,1,-0.451,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-02-21,5,1.616,1.221,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-02-22,6,1.232,1.770,1.221,1,-0.132,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-02-23,5,-2.157,0.000,1.221,0,0.000,0.000,0.000,1,1.452,1.221,0.000,0,0.000,0.000,0.000
2014-02-24,4,-6.762,0.000,2.443,2,-0.406,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-02-25,8,0.402,0.000,0.000,1,-0.128,0.000,0.000,0,0.000,0.000,0.000,5,-0.000,0.000,0.000
2014-02-26,4,3.373,2.554,0.000,2,-0.906,0.000,0.000,0,0.000,0.000,0.000,4,0.000,0.000,0.000
2014-02-27,2,0.608,0.000,0.000,2,-0.093,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-02-28,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-01,3,3.670,1.221,0.000,3,0.546,0.000,0.000,0,0.000,0.000,0.000,2,0.000,0.000,0.000
2014-03-02,2,2.152,1.221,0.000,2,0.209,0.000,0.000,0,0.000,0.000,0.000,8,0.000,0.000,0.000
2014-03-03,1,-0.142,0.000,0.000,1,-0.441,0.000,0.000,0,0.000,0.000,0.000,2,0.000,0.000,0.000
2014-03-04,5,2.522,1.221,0.000,1,-0.124,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-05,5,2.229,1.221,0.000,2,-0.906,0.000,0.000,2,-0.284,0.000,0.000,0,0.000,0.000,0.000
2014-03-06,3,1.761,1.221,0.000,2,-0.256,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-07,0,0.000,0.000,0.000,2,-0.615,0.000,0.000,3,-1.886,0.000,1.221,0,0.000,0.000,0.000
2014-03-08,2,2.034,1.221,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,1.852,1.221,0.000
2014-03-09,4,2.886,1.221,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-10,4,-2.941,0.000,1.221,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-11,4,0.929,0.000,0.000,3,1.893,1.221,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-12,5,-3.367,0.000,2.443,1,-0.512,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-13,4,2.697,2.443,0.000,3,-1.010,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-03-14,3,1.842,1.221,0.000,2,-0.721,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-15,5,1.392,1.221,0.000,1,-0.441,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-16,3,1.207,1.221,0.000,1,-0.132,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-17,2,1.219,0.549,0.000,2,-0.412,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-18,4,-0.883,0.000,1.221,1,-0.480,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-19,5,0.336,0.000,0.000,3,-2.181,0.000,1.221,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-20,3,2.349,1.770,0.000,1,-0.441,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-21,2,-0.315,0.000,0.000,1,-0.480,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-22,5,-3.737,0.000,2.443,1,-0.128,0.000,0.000,1,0.525,0.000,0.000,1,-0.142,0.000,0.000
2014-03-23,9,-1.833,1.221,1.221,3,-0.893,0.000,0.000,4,-0.631,0.000,0.000,5,-7.400,0.000,3.664
2014-03-24,1,0.557,0.000,0.000,1,-0.128,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-25,6,3.731,1.770,1.098,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-26,4,-1.297,0.000,1.098,3,-1.301,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-27,0,0.000,0.000,0.000,3,-1.049,0.000,0.000,0,0.000,0.000,0.000,1,-0.142,0.000,0.000
2014-03-28,4,-7.056,0.000,3.911,2,-0.569,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-29,4,-4.022,0.000,2.443,2,-0.256,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-03-30,4,-2.296,0.000,1.221,2,-0.562,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-31,4,0.352,1.221,0.000,2,0.613,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-04-01,0,0.000,0.000,0.000,2,-0.252,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-02,2,1.145,0.549,0.000,8,-0.125,1.221,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-03,4,-1.793,1.221,1.221,2,-0.248,0.000,0.000,1,1.249,1.221,0.000,0,0.000,0.000,0.000
2014-04-04,3,2.337,1.221,0.000,2,-0.935,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-05,3,-0.070,0.000,0.000,3,-1.333,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-06,2,0.131,0.000,0.000,1,0.110,0.000,0.000,1,0.387,0.000,0.000,0,0.000,0.000,0.000
2014-04-07,4,-1.788,0.000,1.221,1,-0.128,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-08,2,0.611,0.000,0.000,2,-0.882,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-09,11,2.205,1.221,0.740,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-10,3,0.770,0.000,0.004,4,-1.219,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-11,5,0.001,0.000,0.549,2,-0.398,0.000,0.000,1,-0.142,0.000,0.000,1,-0.000,0.000,0.000
2014-04-12,6,-0.292,0.247,1.221,2,0.255,0.000,0.000,2,0.458,0.549,0.000,2,-0.000,0.000,0.000
2014-04-13,6,2.067,2.566,1.221,1,-0.132,0.000,0.000,0,0.000,0.000,0.000,1,-0.000,0.000,0.000
2014-04-14,2,-0.306,0.000,0.000,2,-0.260,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
