,cluster14,,,,cluster15,,,,cluster18,,,,cluster27,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
0,31,12.515,9.821,1.221,23,-3.259,1.221,0.000,13,6.443,6.107,0.000,13,-0.002,0.000,0.002
1,23,3.233,4.886,3.664,18,-3.185,1.221,0.000,16,-2.239,2.443,2.443,10,-0.000,0.000,0.000
2,27,2.921,11.115,6.218,8,-2.804,0.000,0.000,20,11.765,9.771,2.443,14,-0.522,0.000,0.000
3,21,-0.675,1.221,0.000,15,2.105,2.443,0.000,16,7.315,4.886,0.000,7,-0.000,0.000,0.000
4,24,-1.435,6.354,3.664,15,-2.361,0.000,0.000,16,4.937,2.443,0.000,8,-2.229,0.000,1.221
5,16,-6.949,0.247,3.664,12,-3.799,0.000,0.000,19,3.225,3.664,0.000,12,-0.434,0.000,0.000
6,4,-2.649,0.000,1.221,10,-2.193,0.000,0.000,5,-1.325,0.000,0.000,10,-2.446,0.000,1.221
7,3,0.451,0.000,0.000,12,-2.732,0.000,0.000,4,-1.082,0.111,1.221,11,0.000,0.000,0.000
8,1,-0.142,0.000,0.000,11,-2.144,0.000,0.000,3,-0.142,0.000,0.000,6,-0.000,0.000,0.000
9,0,0.000,0.000,0.000,8,-1.596,0.000,0.000,1,0.000,0.000,0.000,0,0.000,0.000,0.000
10,1,-0.142,0.000,0.000,14,-3.498,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
11,5,-1.268,1.271,1.221,15,-3.931,0.000,1.221,3,-0.426,0.000,0.000,0,0.000,0.000,0.000
12,7,2.140,1.271,0.000,10,-2.879,0.000,0.000,5,1.213,1.221,0.000,0,0.000,0.000,0.000
13,10,9.400,5.434,0.000,15,-2.909,0.000,0.000,7,1.993,0.549,0.000,1,-1.709,0.000,1.221
14,9,3.210,1.221,0.000,15,-3.690,0.000,0.000,15,-1.096,1.332,1.221,5,0.000,0.000,0.000
15,18,10.539,6.656,0.000,13,-0.165,0.000,0.000,14,1.135,2.443,1.221,6,-0.142,0.000,0.000
16,16,1.511,4.213,1.221,13,-2.009,1.221,0.000,24,12.038,7.328,0.000,3,-0.000,0.000,0.000
17,15,9.691,4.886,0.000,16,-2.581,1.221,0.000,17,0.159,1.881,1.222,11,0.000,0.000,0.000
18,26,7.175,4.213,0.005,11,-1.775,0.000,0.000,26,6.626,4.886,0.000,4,-0.000,0.000,0.000
19,23,-1.502,2.992,1.221,13,-1.973,1.221,0.000,20,2.154,2.689,1.221,14,-2.004,0.000,1.221
20,20,3.746,5.410,1.770,17,-3.236,0.000,0.000,22,1.153,2.443,1.221,4,-0.142,0.000,0.000
21,16,4.549,2.992,1.226,13,-2.552,0.000,0.000,19,5.385,4.762,1.221,17,0.000,0.000,0.000
22,13,1.379,2.443,1.468,14,-0.270,1.221,0.000,24,5.687,4.213,0.000,7,0.000,0.000,0.000
23,14,4.988,4.886,1.221,12,-2.286,0.000,0.000,23,9.786,6.107,1.221,5,0.000,0.000,0.000
24,21,-7.450,3.664,6.218,7,-1.842,0.000,0.000,19,2.019,4.460,2.443,11,-0.135,0.005,0.000
25,14,5.426,2.992,1.221,12,-0.336,1.221,0.000,24,5.924,2.443,1.221,18,-1.097,0.000,0.549
26,17,3.913,4.886,1.221,20,-2.129,1.221,0.000,18,-3.728,0.000,2.443,20,0.000,0.000,0.000
27,10,0.392,1.221,0.000,16,-3.387,0.000,0.000,15,3.601,2.443,0.000,25,0.000,0.000,0.000
28,4,-2.090,0.000,1.221,9,-1.400,0.000,0.000,8,-3.210,0.000,1.221,18,0.011,0.005,0.000
29,1,0.376,0.000,0.000,16,-2.913,0.000,0.000,7,0.941,0.000,0.000,9,0.000,0.000,0.000
30,1,-0.142,0.000,0.000,12,-3.315,0.000,0.000,3,0.330,0.000,0.000,14,-0.238,0.000,0.000
31,1,1.340,1.221,0.000,8,-0.538,0.000,0.000,3,0.678,0.000,0.000,4,-0.000,0.000,0.000
32,1,-0.142,0.000,0.000,10,-1.317,0.000,0.000,3,0.185,0.000,0.000,0,0.000,0.000,0.000
33,1,-0.972,0.000,0.549,11,-1.924,0.000,0.000,2,-0.284,0.000,0.000,1,-0.000,0.000,0.000
34,4,2.803,2.443,0.247,10,-2.592,0.000,0.000,2,-0.284,0.000,0.000,0,0.000,0.000,0.000
35,6,3.096,2.443,0.000,11,-2.271,0.000,0.000,4,-1.083,0.000,0.000,1,-0.000,0.000,0.000
36,5,0.782,0.000,0.000,10,-0.341,0.000,0.000,6,4.485,2.992,1.221,2,0.000,0.000,0.000
37,10,3.223,1.221,0.000,8,-2.196,0.000,0.000,12,6.751,4.996,0.000,3,-1.544,0.000,1.221
38,10,2.606,1.221,0.000,13,-2.749,0.000,0.000,6,2.136,1.221,0.000,4,0.638,1.221,1.221
39,10,5.260,1.770,0.000,11,0.010,1.221,0.000,8,0.975,1.221,0.000,11,-1.008,1.221,1.221
40,20,-5.647,1.221,1.772,15,-1.157,0.000,0.000,12,-0.321,1.221,1.221,3,-0.603,0.000,0.000
41,7,-0.421,0.660,1.221,13,-0.362,1.221,0.000,10,0.797,0.111,0.000,1,-0.173,0.000,0.000
42,9,3.549,2.443,0.000,8,-2.062,0.000,0.000,13,-2.048,0.000,1.221,1,-0.000,0.000,0.000
43,8,-0.105,1.221,1.221,12,0.434,1.221,0.000,19,7.235,5.434,0.000,0,0.000,0.000,0.000
44,6,4.487,2.443,0.000,19,-4.596,0.000,0.000,10,1.619,1.221,1.221,0,0.000,0.000,0.000
45,17,7.829,4.886,1.221,18,-3.617,0.000,0.000,15,10.445,4.886,0.000,1,-0.000,0.000,0.000
46,5,1.530,1.221,0.000,15,-2.800,0.000,0.000,10,2.246,1.468,0.000,4,-2.100,0.000,1.221
47,17,3.503,3.961,1.221,13,-1.172,0.000,0.000,17,3.030,2.443,1.221,2,0.000,0.000,0.000
48,7,4.631,2.443,0.000,10,-2.631,0.000,0.000,18,3.943,3.103,0.000,10,0.913,0.000,0.000
