cl,pos_%,neg_%,senti_avg,senti_std,senti_25%,senti_50%,senti_75%
0,6.4178,3.1984,0.0386,0.5952,-0.1420,-0.0157,0.0005
1,5.3206,3.6327,0.0171,0.5580,-0.1420,-0.0000,0.0010
2,9.0660,5.1764,0.0465,0.7092,-0.1420,-0.0014,0.0103
3,10.7624,5.0421,0.0911,0.7474,-0.1420,-0.0001,0.1172
4,13.2011,5.0796,0.1013,0.8120,-0.1420,-0.1420,0.0723
5,11.7053,4.6686,0.0973,0.7493,-0.1420,-0.0000,0.0000
6,8.4846,5.9467,0.0260,0.7242,-0.1420,-0.0071,0.0263
7,13.9991,5.7673,0.1142,0.8297,-0.1420,-0.1420,0.3410
8,0.7907,0.7412,-0.0015,0.2411,-0.0000,-0.0000,0.0000
9,9.4131,6.5126,0.0438,0.7874,-0.1420,-0.0001,0.0197
10,3.6867,3.3587,-0.0034,0.5036,-0.0157,-0.0000,0.0000
11,9.6170,5.0720,0.0643,0.7241,-0.1420,-0.0350,0.1310
12,1.4330,1.6666,-0.0085,0.3458,-0.0000,-0.0000,-0.0000
13,0.3946,0.5519,-0.0052,0.1689,-0.0000,-0.0000,0.0000
14,18.4639,7.9506,0.1514,0.9635,-0.1420,-0.1420,0.5610
15,2.0415,0.4083,-0.2030,0.3814,-0.4650,-0.1320,-0.1280
16,1.0201,0.7907,0.0014,0.2455,-0.0000,-0.0000,0.0000
17,3.0180,3.1955,0.0009,0.4753,-0.0032,-0.0000,0.0000
18,16.0548,4.8911,0.1704,0.8238,-0.1420,-0.1420,0.4735
19,7.3857,6.2006,0.0193,0.7229,-0.1420,-0.0009,0.0043
20,0.2082,0.2786,-0.0071,0.1383,-0.0000,-0.0000,0.0000
21,0.6812,0.6269,-0.0026,0.2467,-0.0000,-0.0000,0.0000
22,12.9140,5.4407,0.1028,0.8388,-0.1420,-0.0984,0.2778
23,1.7940,1.5889,0.0003,0.3862,-0.0000,-0.0000,0.0000
24,1.0942,1.3539,-0.0134,0.2850,-0.0000,-0.0000,0.0000
25,0.6818,0.8748,-0.0037,0.2126,-0.0000,-0.0000,0.0000
26,3.0714,1.2640,0.0261,0.4156,-0.0000,-0.0000,0.0000
27,0.5795,1.4871,-0.0231,0.2984,-0.0000,-0.0000,0.0000
28,1.0480,1.3507,-0.0038,0.3367,-0.0000,-0.0000,0.0000
29,0.8434,1.3525,-0.0038,0.2964,-0.0000,-0.0000,0.0000
30,3.1214,1.7656,0.0140,0.4389,-0.0006,-0.0000,0.0000
31,1.6175,1.0471,0.0139,0.2754,-0.0032,-0.0000,0.0000
1866,1.4183,-0.6289,-0.1676,0.3844
1651,-0.1700,1.0333,-0.6250,-0.1420,0.3300
