,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
date,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
2014-01-22,1,0.614,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2014-01-23,5,-2.639,0,2,5,-3.448,0,1,1,-0.142,0,0,17,-4.829,3,5,1,2.589,1,0,2,2.308,1,0
2014-01-24,4,2.106,2,0,4,0.091,0,1,6,0.160,0,0,17,-6.386,1,3,0,0.000,0,0,0,0.000,0,0
2014-01-25,10,-3.033,3,3,10,-1.567,0,1,10,3.770,2,0,11,-6.588,2,4,0,0.000,0,0,0,0.000,0,0
2014-01-26,7,8.181,4,1,1,1.640,1,0,6,-0.053,0,0,15,8.170,6,0,3,-0.430,0,0,1,0.362,0,0
2014-01-27,1,0.589,0,0,1,1.118,1,0,3,-1.531,0,1,16,-2.747,4,5,0,0.000,0,0,10,1.416,2,0
2014-01-28,10,-4.138,1,2,4,-0.131,0,0,4,-1.619,0,1,27,-10.013,4,7,1,-0.142,0,0,0,0.000,0,0
2014-01-29,2,-1.070,0,1,5,-1.763,1,1,3,2.230,2,0,5,-2.503,0,2,0,0.000,0,0,1,-1.467,0,1
2014-01-30,0,0.000,0,0,4,-2.475,0,1,7,-2.756,0,1,41,-5.163,5,8,0,0.000,0,0,2,-0.284,0,0
2014-01-31,0,0.000,0,0,5,2.950,3,1,23,6.530,5,2,32,-0.549,5,6,1,-0.142,0,0,3,-1.847,0,1
2014-02-01,7,-0.534,2,2,5,2.727,2,0,20,2.825,2,1,14,-4.148,2,2,0,0.000,0,0,0,0.000,0,0
2014-02-02,4,2.904,2,1,2,-0.284,0,0,10,3.879,4,1,10,1.062,3,1,1,1.875,1,0,3,0.877,1,0
2014-02-03,4,-0.927,1,1,2,0.256,0,0,2,0.309,0,0,22,-0.176,6,5,0,0.000,0,0,0,0.000,0,0
2014-02-04,4,0.407,0,1,3,0.802,1,0,3,-1.168,0,0,2,-0.884,0,0,2,2.120,1,0,0,0.000,0,0
2014-02-05,1,-1.403,0,1,5,0.834,0,0,3,0.859,1,0,0,0.000,0,0,0,0.000,0,0,1,1.125,1,0
2014-02-06,8,-1.879,1,2,3,-0.426,0,0,6,-0.601,0,1,1,-0.142,0,0,0,0.000,0,0,1,0.895,0,0
2014-02-07,6,0.728,1,1,4,-0.568,0,0,6,1.406,1,0,22,4.369,7,5,1,-1.129,0,1,6,-1.428,0,1
2014-02-08,6,-1.460,1,2,7,-0.381,0,0,12,1.874,1,0,0,0.000,0,0,1,2.436,1,0,4,-3.971,0,3
2014-02-09,9,-9.646,0,4,8,-5.764,1,2,2,0.373,0,0,4,0.611,0,0,1,-1.350,0,1,10,-4.720,1,3
2014-02-10,6,-2.983,0,1,2,2.446,2,0,3,1.534,1,0,18,6.258,5,2,0,0.000,0,0,1,1.204,1,0
2014-02-11,0,0.000,0,0,3,0.845,1,0,3,0.841,1,0,16,-3.806,4,5,0,0.000,0,0,1,-0.142,0,0
2014-02-12,1,0.678,0,0,4,0.895,1,0,4,-0.434,1,1,18,1.946,2,0,0,0.000,0,0,2,-0.284,0,0
2014-02-13,8,-4.983,1,3,8,-3.143,0,2,3,-0.426,0,0,9,1.773,1,0,2,-1.552,0,1,2,-1.605,0,1
2014-02-14,2,-2.305,0,1,1,-0.142,0,0,7,5.229,3,1,12,-6.452,0,2,1,-0.899,0,0,7,-2.497,0,2
2014-02-15,1,-1.666,0,1,6,0.201,1,0,11,-4.278,1,3,16,-1.044,0,1,0,0.000,0,0,5,-1.183,1,2
2014-02-16,0,0.000,0,0,5,2.908,2,0,21,-0.318,1,1,19,2.288,4,1,0,0.000,0,0,5,2.564,0,0
2014-02-17,0,0.000,0,0,2,-0.284,0,0,6,-2.198,0,1,9,2.898,2,1,0,0.000,0,0,14,-8.048,0,5
2014-02-18,0,0.000,0,0,4,0.589,1,0,12,-1.060,0,0,8,-1.936,0,1,1,-0.970,0,0,3,0.174,1,0
2014-02-19,1,0.504,0,0,4,-4.045,0,2,9,3.597,2,0,5,-4.611,0,2,0,0.000,0,0,2,-2.657,0,2
2014-02-20,0,0.000,0,0,5,-1.002,0,1,6,2.147,1,0,2,-3.977,0,2,0,0.000,0,0,1,-1.953,0,1
2014-02-21,0,0.000,0,0,5,1.193,1,0,17,0.798,1,1,3,-0.139,0,0,0,0.000,0,0,1,-0.142,0,0
2014-02-22,0,0.000,0,0,6,1.700,2,1,14,3.496,1,0,9,-1.641,1,1,0,0.000,0,0,3,-3.587,0,2
2014-02-23,1,1.189,1,0,5,-1.708,0,1,11,0.514,2,1,9,-6.523,1,3,0,0.000,0,0,2,-0.941,0,0
2014-02-24,0,0.000,0,0,4,-5.562,0,2,7,-0.050,1,0,13,3.432,2,1,0,0.000,0,0,0,0.000,0,0
2014-02-25,0,0.000,0,0,8,0.329,0,0,11,-6.178,0,4,6,-0.575,1,1,0,0.000,0,0,3,-2.529,1,2
2014-02-26,0,0.000,0,0,4,3.714,3,0,7,1.114,1,1,11,-5.213,1,2,0,0.000,0,0,6,-1.488,0,1
2014-02-27,0,0.000,0,0,2,0.472,0,0,17,5.574,5,1,5,-0.355,0,0,0,0.000,0,0,1,-0.164,0,0
2014-02-28,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2014-03-01,0,0.000,0,0,3,3.267,1,0,10,-1.492,1,1,0,0.000,0,0,0,0.000,0,0,1,-0.142,0,0
2014-03-02,0,0.000,0,0,2,1.196,1,0,13,5.472,3,0,0,0.000,0,0,0,0.000,0,0,4,0.103,0,0
2014-03-03,0,0.000,0,0,1,-0.142,0,0,5,2.376,1,0,8,0.930,1,1,2,0.351,1,1,3,-0.476,1,1
2014-03-04,0,0.000,0,0,5,2.287,1,0,2,-0.284,0,0,0,0.000,0,0,0,0.000,0,0,5,-1.108,0,0
2014-03-05,2,-0.284,0,0,5,2.003,1,0,4,0.617,0,0,2,1.047,1,0,0,0.000,0,0,7,-4.238,1,3
2014-03-06,0,0.000,0,0,3,1.396,1,0,8,2.500,1,0,6,-7.025,0,3,0,0.000,0,0,13,-8.240,1,6
2014-03-07,3,-1.524,0,1,0,0.000,0,0,8,2.264,3,2,0,0.000,0,0,0,0.000,0,0,11,-2.668,2,3
2014-03-08,0,0.000,0,0,2,1.594,1,0,19,-0.064,5,3,2,1.601,1,0,1,-0.142,0,0,3,1.690,1,0
2014-03-09,0,0.000,0,0,4,2.311,1,0,13,3.418,4,2,3,0.795,1,0,0,0.000,0,0,2,-0.973,0,0
2014-03-10,0,0.000,0,0,4,-2.291,0,1,3,3.281,2,0,8,-1.707,0,3,0,0.000,0,0,8,-5.310,0,2
2014-03-11,0,0.000,0,0,4,0.823,0,0,4,0.866,1,0,3,-3.385,0,2,0,0.000,0,0,7,-1.172,0,0
2014-03-12,0,0.000,0,0,5,-2.526,0,2,1,-0.142,0,0,5,1.985,1,0,0,0.000,0,0,5,-6.183,0,3
2014-03-13,1,-0.142,0,0,4,2.208,2,0,10,0.154,1,1,0,0.000,0,0,0,0.000,0,0,3,0.906,0,0
2014-03-14,0,0.000,0,0,3,1.555,1,0,12,0.231,0,0,1,-0.142,0,0,0,0.000,0,0,6,-4.692,0,2
2014-03-15,0,0.000,0,0,5,1.037,1,0,11,-3.665,0,2,1,-0.142,0,0,0,0.000,0,0,1,-0.973,0,0
2014-03-16,0,0.000,0,0,3,0.937,1,0,15,6.473,4,0,6,1.546,2,2,0,0.000,0,0,9,-0.057,1,1
2014-03-17,0,0.000,0,0,2,1.882,1,0,7,1.934,0,0,6,-2.150,1,1,0,0.000,0,0,8,-3.658,0,2
2014-03-18,0,0.000,0,0,4,-0.686,0,1,4,-0.334,1,1,1,-0.142,0,0,0,0.000,0,0,3,1.026,1,0
2014-03-19,0,0.000,0,0,5,0.606,0,0,7,-4.286,0,2,2,0.760,0,0,0,0.000,0,0,0,0.000,0,0
2014-03-20,0,0.000,0,0,3,2.527,2,0,10,-2.482,0,1,9,-1.507,0,2,0,0.000,0,0,2,-1.300,0,1
2014-03-21,0,0.000,0,0,2,-0.284,0,0,15,3.134,4,1,1,1.637,1,0,0,0.000,0,0,1,1.360,1,0
2014-03-22,1,0.525,0,0,5,-3.111,0,2,12,3.743,2,0,0,0.000,0,0,0,0.000,0,0,3,0.347,1,0
2014-03-23,4,-0.568,0,0,9,-1.655,1,1,6,1.218,1,0,4,-4.898,0,2,0,0.000,0,0,3,-0.927,0,0
2014-03-24,0,0.000,0,0,1,0.557,0,0,6,0.891,0,0,5,-4.742,0,2,0,0.000,0,0,8,4.545,3,0
