,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
0,13,3.604,5,1,31,11.057,9,1,59,-8.881,3,6,1,-0.142,0,0,2,-0.284,0,0,3,-2.205,0,1
1,16,-2.124,2,2,23,2.476,4,3,50,0.602,6,5,1,-1.499,0,1,3,-2.313,0,1,3,-2.529,0,1
2,20,8.550,8,3,27,4.619,11,6,55,5.928,7,5,1,1.143,1,0,19,-0.418,2,4,2,-0.284,0,0
3,16,5.741,4,0,21,-0.875,1,0,42,7.044,7,1,4,0.350,1,1,4,-1.524,0,1,6,0.837,2,1
4,16,0.102,3,2,24,0.285,6,3,48,6.483,9,4,3,-1.077,0,1,3,4.229,1,0,2,2.574,1,0
5,19,4.406,5,2,16,-4.965,1,3,49,5.129,8,3,7,-7.106,0,2,12,1.068,1,1,1,0.891,0,0
6,5,-1.467,0,0,4,-2.327,0,1,12,-1.970,1,2,6,0.038,1,1,2,-2.313,0,1,0,0.000,0,0
7,4,0.738,1,1,3,0.451,0,0,3,-0.259,1,1,6,-5.959,2,3,1,1.587,1,0,1,0.234,0,0
8,3,1.967,1,0,1,-0.142,0,0,3,-2.319,0,2,5,-0.312,1,0,1,-1.350,0,1,1,-0.831,0,0
9,1,1.864,1,0,0,0.000,0,0,0,0.000,0,0,8,3.109,1,0,1,-0.142,0,0,1,-0.799,0,0
10,0,0.000,0,0,1,-0.142,0,0,3,-0.426,0,0,2,3.267,1,0,0,0.000,0,0,1,-0.142,0,0
11,3,-0.426,0,0,5,0.106,2,1,2,0.582,0,0,0,0.000,0,0,0,0.000,0,0,1,1.541,1,0
12,5,0.965,1,0,7,2.815,2,0,12,4.899,3,0,1,-0.881,0,0,0,0.000,0,0,4,-0.568,0,0
13,7,2.688,1,0,10,8.457,5,0,21,1.873,3,2,1,1.321,1,0,3,-1.900,0,1,3,-1.968,0,1
14,15,0.520,2,1,9,2.809,1,0,51,7.894,6,1,0,0.000,0,0,4,-2.209,0,1,0,0.000,0,0
15,14,0.500,2,1,18,9.175,6,0,50,11.490,10,2,0,0.000,0,0,4,2.212,1,0,4,-1.116,0,1
16,24,10.528,6,0,16,2.150,4,1,74,28.115,16,2,10,-6.624,1,3,12,-1.922,2,2,5,2.088,1,0
