,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
date,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
2014-01-22,1,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-01-23,5,0.000,0.000,0.000,5,-3.448,0.000,1.000,1,-0.142,0.000,0.000,17,0.000,0.000,0.000,1,2.589,1.000,0.000,2,-0.005,0.001,0.000
2014-01-24,4,0.000,0.000,0.000,4,0.091,0.000,1.000,6,0.160,0.000,0.000,17,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-01-25,10,0.000,0.000,0.000,10,-1.567,0.000,1.000,10,3.770,2.000,0.000,11,-0.654,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-01-26,7,0.000,0.000,0.000,1,1.640,1.000,0.000,6,-0.053,0.000,0.000,15,0.000,0.000,0.000,3,-0.430,0.000,0.000,1,0.362,0.000,0.000
2014-01-27,1,0.000,0.000,0.000,1,1.118,1.000,0.000,3,-1.531,0.000,1.000,16,0.000,0.000,0.000,0,0.000,0.000,0.000,10,1.775,2.000,0.000
2014-01-28,10,0.000,0.000,0.000,4,-0.131,0.000,0.000,4,-1.619,0.000,1.000,27,0.000,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-01-29,2,0.000,0.000,0.000,5,-1.763,1.000,1.000,3,2.230,2.000,0.000,5,0.000,0.000,0.000,0,0.000,0.000,0.000,1,-1.467,0.000,1.000
2014-01-30,0,0.000,0.000,0.000,4,-2.849,0.000,1.000,7,-2.756,0.000,1.000,41,-0.653,0.000,0.000,0,0.000,0.000,0.000,2,-0.104,0.000,0.000
2014-01-31,0,0.000,0.000,0.000,5,2.950,3.000,1.000,23,4.927,4.050,2.000,32,-0.142,0.000,0.000,1,-0.142,0.000,0.000,3,-0.679,0.000,0.368
2014-02-01,7,0.000,0.000,0.000,5,2.727,2.000,0.000,20,1.990,1.368,1.000,14,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
