,cluster7,,,,cluster14,,,
doy,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
1,7,0.787,1.000,0.000,7,2.760,2.000,0.000
2,13,-1.109,1.000,1.135,6,3.396,1.000,0.000
3,5,1.112,1.000,0.000,17,-0.649,1.000,0.000
4,9,2.006,1.000,0.000,7,2.311,2.000,0.000
5,5,0.180,0.000,0.000,3,-1.644,0.000,1.000
6,5,0.864,1.000,0.000,1,0.054,0.050,0.000
7,6,1.918,1.050,0.000,5,-0.004,0.000,0.000
8,6,-0.007,0.000,0.000,4,0.138,0.000,0.000
9,8,4.008,1.000,0.000,0,0.000,0.000,0.000
10,6,-0.147,0.000,0.000,4,0.870,1.000,1.000
11,11,0.765,1.368,0.000,3,0.472,0.000,0.000
12,9,0.110,1.000,0.135,0,0.000,0.000,0.000
13,5,3.584,2.135,0.007,2,-0.284,0.000,0.000
14,6,1.356,1.000,0.000,0,0.000,0.000,0.000
15,7,3.934,3.000,0.135,5,-1.087,0.000,1.000
16,6,-0.028,0.000,0.000,4,-0.245,0.000,0.000
17,19,-2.133,3.000,4.000,2,0.237,0.000,0.000
18,12,1.297,2.050,0.018,6,-0.061,0.000,0.002
19,7,-0.093,0.000,0.000,4,-0.420,1.000,1.000
20,2,-0.011,0.000,0.000,0,0.000,0.000,0.000
21,3,-0.902,0.000,0.000,4,-0.284,0.000,0.000
22,1,-0.142,0.000,0.000,4,1.335,1.000,0.000
23,7,2.151,0.000,0.000,6,-3.590,0.000,1.000
24,10,-1.026,0.000,1.000,5,0.449,0.000,1.000
25,12,1.909,2.000,1.000,13,-2.316,0.000,1.368
26,10,1.294,2.000,0.368,6,5.215,3.000,0.000
27,5,-1.527,0.000,1.000,2,0.464,1.000,0.000
28,8,-1.706,0.000,1.368,5,-0.131,0.000,0.000
29,4,2.227,2.000,0.000,11,-0.907,2.000,1.000
30,17,-2.433,0.000,1.000,4,-2.849,0.000,1.000
31,32,8.786,6.050,2.000,8,2.524,3.000,1.000
32,31,5.859,2.736,1.000,9,2.435,2.000,0.000
33,11,4.810,4.000,0.368,5,0.454,0.000,0.000
34,3,0.306,0.000,0.000,4,1.840,1.000,0.000
35,7,-0.644,0.000,0.000,3,-0.137,0.135,0.000
36,4,2.787,2.000,0.000,6,1.913,1.000,0.000
37,9,-0.270,0.000,1.000,17,-0.606,2.000,2.000
38,12,2.560,2.368,0.000,6,-1.502,0.000,1.000
39,19,5.729,2.368,0.000,10,2.203,1.000,0.000
40,5,0.032,0.000,0.000,8,-5.764,1.000,2.000
41,10,0.836,1.000,0.000,3,1.636,1.135,0.000
42,9,1.896,1.368,0.000,7,-2.917,1.000,2.000
43,7,-0.044,1.000,1.000,5,2.965,2.000,0.000
44,7,-0.994,0.000,0.000,10,-0.736,1.000,2.000
45,18,3.599,3.368,2.135,1,-0.142,0.000,0.000
46,18,-2.101,3.050,3.000,10,1.231,1.736,0.000
47,26,1.255,1.000,1.018,6,2.766,2.000,0.000
48,8,-2.130,0.000,1.000,9,-0.300,1.000,2.000
49,17,-0.070,0.503,0.000,6,-1.196,0.135,0.368
50,12,3.310,2.000,0.000,7,-5.455,0.000,2.368
