,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
0,13,4.847,5.000,0.000,31,9.785,8.050,1.000,59,-1.184,3.000,3.018,1,-0.000,0.000,0.000,2,-0.000,0.000,0.000,3,-2.205,0.000,1.000
1,16,-2.124,2.000,2.000,23,2.476,4.000,3.000,50,3.884,4.368,2.368,1,-0.000,0.000,0.000,3,-2.313,0.000,1.000,3,-2.529,0.000,1.000
2,20,9.850,8.000,2.000,27,5.047,10.368,5.135,55,4.965,6.135,5.000,1,0.000,0.000,0.000,19,2.782,2.000,1.740,2,-0.104,0.000,0.000
3,16,5.741,4.000,0.000,21,-0.875,1.000,0.000,42,6.618,6.368,1.000,4,-1.272,0.000,1.000,4,-1.524,0.000,1.000,6,0.837,2.000,1.000
4,16,3.927,2.000,0.000,24,-1.331,5.368,3.000,48,7.529,8.368,3.018,3,0.000,0.000,0.000,3,4.172,1.000,0.000,2,2.574,1.000,0.000
5,19,2.290,3.000,0.000,16,-5.607,0.368,3.000,49,5.129,8.000,3.000,7,-0.000,0.000,0.000,12,2.340,1.000,0.000,1,0.891,0.000,0.000
6,5,-1.325,0.000,0.000,4,-2.327,0.000,1.000,12,-2.041,0.368,1.368,6,0.000,0.000,0.000,2,-0.000,0.000,0.000,0,0.000,0.000,0.000
7,4,-0.782,0.135,1.000,3,0.451,0.000,0.000,3,-0.259,1.000,1.000,6,-3.693,0.000,1.000,1,1.587,1.000,0.000,1,0.000,0.000,0.000
8,3,-0.142,0.000,0.000,1,-0.142,0.000,0.000,3,-2.319,0.000,2.000,5,1.552,1.000,0.000,1,-1.350,0.000,1.000,1,-0.041,0.000,0.000
9,1,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,8,0.564,0.000,0.000,1,-0.000,0.000,0.000,1,-0.040,0.000,0.000
10,0,0.000,0.000,0.000,1,-0.142,0.000,0.000,3,-0.426,0.000,0.000,2,-0.000,0.000,0.000,0,0.000,0.000,0.000,1,-0.052,0.000,0.000
11,3,-0.426,0.000,0.000,5,-1.189,1.050,1.000,2,0.582,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,0.001,0.001,0.000
12,5,0.965,1.000,0.000,7,1.662,1.050,0.000,12,3.844,2.368,0.000,1,-0.000,0.000,0.000,0,0.000,0.000,0.000,4,-0.209,0.000,0.000
13,7,2.688,1.000,0.000,10,8.457,5.000,0.000,21,0.261,1.104,1.000,1,0.000,0.000,0.000,3,-1.900,0.000,1.000,3,-0.141,0.000,0.368
14,15,-0.849,1.135,1.000,9,2.809,1.000,0.000,51,2.861,2.503,0.368,0,0.000,0.000,0.000,4,-2.209,0.000,1.000,0,0.000,0.000,0.000
