,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,
date,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
2014-01-22,6,-0.040,1.050,1.000,7,0.491,0.000,0.000,4,-0.597,0.000,0.000,8,2.115,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,1.161,1.000,0.000,0,0.000,0.000,0.000
2014-01-23,98,-5.175,3.145,6.368,160,-0.159,15.996,13.619,44,-2.590,2.369,4.002,104,-14.273,5.195,12.405,4,-0.382,0.000,1.000,4,0.416,1.000,1.000,31,-0.882,1.002,0.000,1,-0.142,0.000,0.000
2014-01-24,100,-10.123,4.045,7.368,146,-12.581,7.248,15.188,54,-0.787,3.050,3.000,53,6.591,4.386,1.369,8,-2.712,0.000,1.000,2,-0.842,0.000,1.000,18,-2.385,3.000,2.000,6,0.160,0.000,0.000
2014-01-25,77,-2.180,5.503,4.368,132,11.281,12.016,4.050,71,0.098,9.405,4.050,49,-7.392,4.100,8.050,7,-4.109,0.000,1.000,3,-0.336,0.000,0.000,22,4.776,2.369,0.549,10,3.770,2.000,0.000
2014-01-26,92,-6.286,8.106,11.149,141,2.762,10.529,6.786,79,-19.686,3.155,13.057,61,-8.379,3.012,4.737,2,-0.142,0.000,0.000,2,-0.194,0.000,0.000,34,-2.733,0.000,1.203,6,-0.053,0.000,0.000
2014-01-27,102,1.996,5.441,2.738,196,-24.791,4.054,16.054,86,-0.129,6.293,6.057,188,3.837,20.416,14.021,4,0.518,0.369,0.000,0,0.000,0.000,0.000,21,1.650,1.001,0.000,3,-1.531,0.000,1.000
2014-01-28,95,-13.741,4.369,7.000,175,0.987,15.382,15.368,56,-0.346,3.007,3.007,97,12.241,13.004,4.511,6,-3.835,0.000,1.000,4,-1.197,0.000,0.000,20,-2.192,2.000,2.000,4,-1.619,0.000,1.000
2014-01-29,85,-1.939,5.000,3.156,165,-6.892,13.752,11.389,48,-0.436,3.000,1.154,58,-6.533,3.003,5.135,11,0.445,1.000,0.000,2,-3.054,0.000,1.000,35,-7.683,1.418,4.206,3,2.230,2.000,0.000
2014-01-30,121,-1.833,8.375,9.000,187,-15.968,10.485,13.156,45,4.793,5.000,1.368,41,-4.531,1.135,3.136,11,4.131,2.000,0.000,3,-1.819,0.000,1.368,7,-2.544,0.000,1.004,7,-2.756,0.000,1.000
2014-01-31,72,-11.801,1.000,6.368,154,12.367,16.241,7.511,46,-0.838,3.007,5.000,61,3.951,5.071,3.511,7,1.402,1.000,0.135,6,-1.555,0.000,1.000,35,7.901,7.001,0.000,23,4.927,4.050,2.000
2014-02-01,78,-2.425,4.381,4.052,142,4.529,9.107,6.353,79,11.906,14.007,6.050,33,0.570,2.391,2.001,7,-1.253,0.001,1.000,3,-0.194,0.000,0.000,32,0.356,3.003,2.000,20,1.990,1.368,1.000
2014-02-02,85,-4.041,4.000,4.005,211,15.333,20.571,14.044,83,3.914,11.272,7.026,46,-3.849,3.371,5.068,9,-1.161,1.000,1.104,9,5.100,2.000,0.000,30,-4.460,2.000,3.000,10,4.952,4.000,0.368
2014-02-03,86,-4.224,3.018,5.109,263,3.125,21.105,15.233,93,9.588,11.878,4.510,83,2.485,6.523,6.503,2,-0.161,0.000,0.000,3,2.560,1.000,0.000,37,-0.727,2.002,1.000,2,0.309,0.000,0.000
2014-02-04,86,1.144,3.068,3.008,170,-17.147,6.630,12.980,46,-1.293,4.135,2.037,69,7.945,10.018,4.377,7,0.660,0.000,0.000,1,-0.693,0.000,0.000,30,4.938,2.002,0.000,3,-1.078,0.000,0.000
2014-02-05,112,-5.594,8.106,7.010,198,-13.542,7.469,15.002,47,-2.092,1.000,2.525,53,3.806,5.553,3.051,5,0.676,0.000,0.000,1,-0.142,0.000,0.000,21,-1.225,1.368,2.202,3,0.859,1.000,0.000
2014-02-06,114,4.860,9.000,5.059,171,-3.095,11.201,11.418,46,-0.500,3.052,4.292,52,-5.253,5.009,5.136,4,0.987,0.000,0.000,3,1.041,0.368,0.000,16,0.726,0.368,0.000,6,-0.601,0.000,1.000
2014-02-07,96,-14.637,3.025,9.057,161,2.691,9.068,6.400,49,6.049,6.135,1.271,65,2.678,7.373,4.018,4,-1.204,0.000,1.000,7,-3.302,0.000,1.000,22,3.424,4.000,0.000,6,1.406,1.000,0.000
2014-02-08,82,1.014,9.742,8.368,168,-4.856,14.555,14.068,65,6.179,7.504,5.142,80,-17.414,6.407,13.339,3,1.910,1.000,0.000,8,0.483,2.000,2.000,31,-3.110,2.135,4.035,12,2.251,1.000,0.000
2014-02-09,83,-6.355,7.014,7.001,132,5.080,9.109,5.006,66,5.162,5.000,3.050,45,-2.930,4.147,5.154,7,-0.430,1.000,1.000,2,0.454,0.000,0.000,31,-4.467,2.019,4.549,2,0.373,0.000,0.000
2014-02-10,120,10.681,9.036,3.150,156,6.317,9.942,6.774,40,4.115,2.007,2.018,58,-5.522,3.391,3.271,5,0.209,0.000,0.000,3,-2.007,0.000,1.000,25,-4.146,1.000,5.000,3,1.534,1.000,0.000
