,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,
doy,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
1,42,4.937,5.368,1.000,19,-2.828,1.000,2.000,41,-3.362,3.368,5.007,21,5.657,5.135,0.000,7,-0.591,2.000,1.135,6,3.366,2.000,0.000,14,2.393,1.025,0.004,7,0.787,1.000,0.000
2,30,5.595,4.386,0.000,5,0.493,0.000,0.000,12,4.505,3.050,0.000,5,0.078,0.000,0.000,4,1.732,1.000,0.135,8,1.424,1.000,0.000,7,2.972,1.000,0.004,13,-1.109,1.000,1.135
3,27,-0.053,2.000,1.000,16,0.796,3.007,1.000,27,-2.948,3.000,3.000,40,2.907,6.000,4.000,10,-2.617,0.000,0.000,16,3.278,2.000,0.000,9,-1.697,1.001,1.000,5,1.112,1.000,0.000
4,34,7.092,4.050,0.000,36,-3.598,2.000,3.000,41,-7.311,2.000,5.018,24,-0.656,4.000,5.007,7,2.871,2.000,0.000,88,7.718,17.135,7.000,19,1.491,2.018,1.004,9,2.006,1.000,0.000
5,27,-0.304,1.000,1.000,61,-10.172,2.000,9.149,20,-1.430,1.000,2.000,8,-2.072,0.002,0.000,3,-0.796,0.000,0.000,1,0.000,0.000,0.000,7,-0.700,0.000,0.074,5,0.180,0.000,0.000
6,30,-0.294,1.007,0.050,73,-11.772,1.285,4.423,57,-2.572,0.000,1.000,2,-0.328,0.000,0.000,2,0.625,0.000,0.000,1,-0.000,0.000,0.000,10,0.112,0.368,0.000,5,0.864,1.000,0.000
7,29,-0.107,2.368,3.368,49,5.965,5.057,3.368,32,-4.075,0.406,2.018,12,2.143,1.000,0.000,1,-0.235,0.000,0.000,2,-0.142,0.000,0.000,8,3.017,1.000,0.000,6,1.918,1.050,0.000
8,37,4.165,4.528,2.050,55,-3.071,5.321,7.136,35,-2.789,2.000,3.000,57,2.583,7.786,3.013,1,0.000,0.000,0.000,1,-0.000,0.000,0.000,13,-1.349,0.786,1.011,6,-0.007,0.000,0.000
9,32,-0.064,2.368,0.000,55,5.311,4.000,1.000,65,-2.643,3.418,4.000,17,-7.019,0.000,3.000,0,0.000,0.000,0.000,5,0.337,1.000,1.000,17,2.402,3.135,2.004,8,4.008,1.000,0.000
10,31,1.316,3.368,2.100,65,4.983,6.368,1.000,56,8.418,6.786,2.000,21,-1.056,2.000,2.018,2,2.873,1.000,0.000,2,-0.284,0.000,0.000,17,-0.420,2.008,2.010,6,-0.147,0.000,0.000
11,24,-1.918,2.000,1.000,79,2.353,5.438,5.000,50,-1.097,4.000,3.142,24,3.130,3.000,1.000,1,-0.781,0.000,0.000,5,-0.142,0.000,0.000,9,-2.784,0.000,2.000,11,0.765,1.368,0.000
12,39,-0.888,2.026,4.000,64,-6.804,3.020,7.381,29,-0.765,1.188,1.050,21,-4.067,0.321,2.274,4,1.367,0.000,0.000,2,-0.142,0.000,0.000,14,3.135,1.135,0.000,9,0.110,1.000,0.135
13,50,2.899,4.386,2.000,83,4.973,7.357,3.172,48,4.236,3.000,0.271,23,2.114,1.000,0.002,6,-0.985,1.000,1.135,3,-1.193,0.000,1.000,7,2.901,1.000,0.027,5,3.584,2.135,0.007
14,40,5.133,3.001,0.050,46,8.127,6.135,2.050,49,2.896,2.000,2.000,38,8.900,7.000,1.368,4,0.049,0.000,0.000,1,-0.142,0.000,0.000,8,-2.066,0.000,1.001,6,1.356,1.000,0.000
15,49,-7.385,2.001,3.050,62,-8.017,2.203,5.517,56,4.956,5.000,0.018,22,-1.946,1.007,1.000,1,-0.142,0.000,0.000,3,-0.352,0.000,0.000,16,-2.418,1.050,1.000,7,3.934,3.000,0.135
16,35,-3.485,1.137,2.000,48,3.781,6.503,2.000,29,-2.111,1.188,2.000,15,1.374,1.000,0.000,9,1.633,2.000,1.000,2,-0.000,0.000,0.000,18,-0.505,1.000,0.553,6,-0.028,0.000,0.000
17,41,2.331,0.928,1.000,66,3.608,6.000,3.000,32,0.775,2.050,1.368,23,-1.497,3.000,3.000,2,2.678,2.000,0.000,4,0.128,0.368,0.000,12,2.555,1.050,0.000,19,-2.133,3.000,4.000
18,44,2.323,4.138,1.002,49,-6.733,4.025,7.368,41,2.710,5.373,2.051,38,3.246,6.000,6.000,1,-0.142,0.000,0.000,2,0.337,0.000,0.000,13,1.288,1.368,1.000,12,1.297,2.050,0.018
19,41,-6.790,1.019,4.135,44,6.193,3.217,2.185,23,4.174,4.050,1.135,19,-0.088,2.000,2.000,4,-0.284,0.000,0.000,0,0.000,0.000,0.000,8,1.513,2.000,0.010,7,-0.093,0.000,0.000
20,32,-2.296,2.057,3.000,53,-0.607,3.736,2.503,30,4.115,2.185,1.000,18,-2.080,0.000,1.135,2,-0.019,0.000,0.000,3,-0.569,0.000,0.000,8,3.107,2.000,0.001,2,-0.011,0.000,0.000
21,57,-0.800,3.000,2.368,81,-5.952,2.037,6.786,34,2.204,2.000,0.000,30,6.154,3.000,2.001,2,-0.284,0.000,0.000,5,-0.000,0.000,0.000,6,-3.221,0.000,1.010,3,-0.902,0.000,0.000
22,54,-4.003,4.437,5.000,73,-1.566,6.571,6.000,22,-3.421,0.000,1.000,56,7.604,7.407,5.368,4,-1.264,0.000,0.503,2,-0.142,0.000,0.000,15,1.976,5.000,2.549,1,-0.142,0.000,0.000
23,157,0.979,7.198,6.368,213,-1.182,19.131,14.987,130,0.614,5.389,5.002,122,-17.841,6.195,14.772,5,-0.524,0.000,1.000,5,0.416,1.000,1.000,45,-0.713,1.003,0.000,7,2.151,0.000,0.000
