,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,,cluster8,,,,cluster9,,,,cluster10,,,,cluster11,,,,cluster12,,,,cluster13,,,,cluster14,,,,cluster15,,,
how,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n
0,347,133.067,29.257,13.369,268,108.099,23.735,17.010,189,97.940,22.018,15.007,200,104.672,30.130,10.101,190,95.147,28.264,10.142,128,53.813,21.104,3.000,70,26.224,10.738,2.152,59,19.162,3.000,3.018,54,1.642,0.000,1.000,46,35.736,8.002,8.135,25,9.219,1.000,3.341,24,9.518,4.503,1.000,3,0.338,0.000,0.000,19,5.038,1.000,1.000,31,19.627,8.050,1.000,23,7.550,1.000,0.000
1,344,155.732,42.964,10.386,277,123.192,24.522,20.641,207,111.016,29.183,15.094,219,125.202,37.517,12.161,153,48.834,9.528,5.050,110,60.407,19.239,7.000,66,27.485,8.000,5.550,50,21.168,4.368,2.368,27,0.920,0.000,0.000,43,20.999,4.000,4.000,27,10.692,2.055,2.000,16,11.000,4.368,0.000,5,0.426,0.000,0.000,9,2.503,1.000,0.000,23,17.470,4.000,3.000,18,6.360,1.000,0.000
2,291,149.280,43.610,14.486,304,114.835,29.871,18.574,262,137.987,31.052,28.018,165,98.543,20.414,18.386,159,99.317,29.418,12.135,78,36.970,11.000,8.000,57,17.358,4.057,2.000,55,33.898,6.135,5.000,46,0.142,0.000,0.000,40,24.792,7.000,3.018,17,3.000,1.000,0.000,14,7.660,2.000,2.000,14,4.212,1.000,1.000,13,0.980,0.000,0.000,27,31.769,10.368,5.135,8,2.804,0.000,0.000
3,240,124.063,36.212,16.050,298,128.813,36.076,12.443,306,162.564,40.692,28.335,102,74.052,22.291,13.007,92,48.472,15.871,6.000,83,43.381,11.000,6.000,55,18.022,1.405,5.035,42,17.421,6.368,1.000,55,2.759,1.000,0.000,28,15.255,5.000,2.000,23,10.883,1.000,3.091,16,7.169,1.037,1.000,16,1.391,0.000,1.301,28,3.525,1.000,0.000,21,7.733,1.000,0.000,15,6.308,2.000,0.000
4,206,86.320,30.278,5.046,299,148.767,40.954,23.563,330,155.162,40.197,22.326,72,48.879,15.373,7.050,49,22.072,8.135,1.135,47,29.722,11.000,3.000,41,12.861,1.000,2.031,48,28.226,8.368,3.018,60,4.386,0.000,1.000,22,12.435,2.000,2.000,29,17.119,7.004,1.000,9,1.410,0.000,0.503,31,3.970,0.000,2.000,26,4.988,1.000,0.000,24,18.791,5.368,3.000,15,3.773,0.000,0.000
5,166,59.576,10.091,10.370,209,100.245,20.578,21.247,262,116.835,19.792,27.475,42,20.780,3.000,4.368,33,19.401,6.000,3.000,24,14.931,4.000,2.000,44,21.752,3.003,3.778,49,31.561,8.000,3.000,31,3.743,1.000,1.000,11,4.592,1.000,1.000,15,7.732,2.000,1.000,13,8.416,2.368,1.000,43,3.483,1.000,0.000,22,2.520,2.000,0.000,16,8.249,0.368,3.000,12,3.883,0.000,0.000
6,144,57.885,9.554,10.068,173,86.861,17.567,18.189,154,68.222,12.188,13.389,35,13.614,2.021,3.018,16,5.472,2.000,0.050,7,3.792,2.000,0.000,21,10.924,2.000,3.580,12,4.607,0.368,1.368,9,0.284,0.000,0.000,5,0.284,0.000,0.000,18,6.607,1.074,1.000,7,2.798,1.000,0.007,25,0.362,0.000,0.000,26,0.089,0.000,0.000,4,2.327,0.000,1.000,10,2.817,0.000,0.000
7,98,39.124,6.104,7.135,132,71.380,14.896,15.188,66,28.491,3.138,6.054,35,18.779,6.418,1.050,4,3.525,1.000,1.104,6,3.018,2.000,0.000,14,12.651,1.135,2.549,3,3.391,1.000,1.000,3,1.222,0.000,1.000,3,2.120,1.000,0.000,16,6.363,2.000,1.000,5,0.386,0.000,0.000,18,2.472,1.000,0.000,9,5.731,1.000,2.000,3,1.019,0.000,0.000,12,3.228,0.000,0.000
8,73,14.527,0.007,2.000,44,23.069,3.135,6.277,35,11.734,3.005,4.003,14,6.024,1.000,1.001,2,0.689,0.000,0.000,0,0.000,0.000,0.000,7,1.851,0.000,1.000,3,2.319,0.000,2.000,7,1.257,1.000,0.000,3,1.599,0.000,0.000,10,2.755,2.000,0.000,5,3.632,1.000,1.000,5,0.000,0.000,0.000,0,0.000,0.000,0.000,1,0.142,0.000,0.000,11,2.874,0.000,0.000
