,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,,cluster8,,,,cluster9,,,,cluster10,,,,cluster11,,,,cluster12,,,,cluster13,,,,cluster14,,,,cluster15,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
0,347,32.591,29.257,13.369,268,-1.970,23.735,17.010,189,1.741,22.018,15.007,200,35.817,30.130,10.101,190,33.116,28.264,10.142,128,26.622,21.104,3.000,70,10.385,10.738,2.152,59,-1.184,3.000,3.018,54,-1.641,0.000,1.000,46,-1.409,8.002,8.135,25,-3.447,1.000,3.341,24,4.014,4.503,1.000,3,-0.338,0.000,0.000,19,-2.198,1.000,1.000,31,9.785,8.050,1.000,23,-3.526,1.000,0.000
1,344,52.224,42.964,10.386,277,6.067,24.522,20.641,207,21.919,29.183,15.094,219,37.149,37.517,12.161,153,2.987,9.528,5.050,110,20.848,19.239,7.000,66,-0.626,8.000,5.550,50,3.884,4.368,2.368,27,-0.920,0.000,0.000,43,-0.218,4.000,4.000,27,-1.921,2.055,2.000,16,7.417,4.368,0.000,5,-0.426,0.000,0.000,9,2.219,1.000,0.000,23,2.476,4.000,3.000,18,-3.436,1.000,0.000
2,291,49.073,43.610,14.486,304,5.526,29.871,18.574,262,-8.306,31.052,28.018,165,0.012,20.414,18.386,159,39.153,29.418,12.135,78,2.448,11.000,8.000,57,0.864,4.057,2.000,55,4.965,6.135,5.000,46,-0.142,0.000,0.000,40,9.701,7.000,3.018,17,1.558,1.000,0.000,14,-0.802,2.000,2.000,14,0.312,1.000,1.000,13,0.980,0.000,0.000,27,5.047,10.368,5.135,8,-2.804,0.000,0.000
3,240,35.014,36.212,16.050,298,25.049,36.076,12.443,306,18.385,40.692,28.335,102,17.688,22.291,13.007,92,14.656,15.871,6.000,83,1.061,11.000,6.000,55,-11.433,1.405,5.035,42,6.618,6.368,1.000,55,1.047,1.000,0.000,28,5.337,5.000,2.000,23,-5.615,1.000,3.091,16,-2.060,1.037,1.000,16,-1.391,0.000,1.301,28,1.721,1.000,0.000,21,-0.875,1.000,0.000,15,1.562,2.000,0.000
4,206,36.732,30.278,5.046,299,23.853,40.954,23.563,330,13.755,40.197,22.326,72,14.626,15.373,7.050,49,15.115,8.135,1.135,47,12.634,11.000,3.000,41,-7.437,1.000,2.031,48,7.529,8.368,3.018,60,-4.386,0.000,1.000,22,-0.799,2.000,2.000,29,11.320,7.004,1.000,9,-1.410,0.000,0.503,31,-3.970,0.000,2.000,26,4.988,1.000,0.000,24,-1.331,5.368,3.000,15,-2.361,0.000,0.000
5,166,-6.972,10.091,10.370,209,4.426,20.578,21.247,262,-23.077,19.792,27.475,42,-4.279,3.000,4.368,33,-0.095,6.000,3.000,24,5.863,4.000,2.000,44,-2.694,3.003,3.778,49,5.129,8.000,3.000,31,0.121,1.000,1.000,11,0.516,1.000,1.000,15,3.772,2.000,1.000,13,3.124,2.368,1.000,43,2.915,1.000,0.000,22,2.520,2.000,0.000,16,-5.607,0.368,3.000,12,-3.799,0.000,0.000
6,144,-2.734,9.554,10.068,173,-4.561,17.567,18.189,154,-1.039,12.188,13.389,35,-4.982,2.021,3.018,16,2.246,2.000,0.050,7,1.910,2.000,0.000,21,-3.362,2.000,3.580,12,-2.041,0.368,1.368,9,-0.284,0.000,0.000,5,-0.284,0.000,0.000,18,0.751,1.074,1.000,7,1.378,1.000,0.007,25,-0.362,0.000,0.000,26,0.089,0.000,0.000,4,-2.327,0.000,1.000,10,-2.193,0.000,0.000
7,98,1.362,6.104,7.135,132,-1.608,14.896,15.188,66,-8.555,3.138,6.054,35,10.105,6.418,1.050,4,0.331,1.000,1.104,6,2.770,2.000,0.000,14,-1.575,1.135,2.549,3,-0.259,1.000,1.000,3,-1.222,0.000,1.000,3,1.160,1.000,0.000,16,0.555,2.000,1.000,5,-0.374,0.000,0.000,18,1.960,1.000,0.000,9,0.461,1.000,2.000,3,0.451,0.000,0.000,12,-2.732,0.000,0.000
8,73,-7.434,0.007,2.000,44,-9.953,3.135,6.277,35,-3.372,3.005,4.003,14,-0.570,1.000,1.001,2,-0.689,0.000,0.000,0,0.000,0.000,0.000,7,-1.851,0.000,1.000,3,-2.319,0.000,2.000,7,0.973,1.000,0.000,3,-1.599,0.000,0.000,10,2.755,2.000,0.000,5,0.904,1.000,1.000,5,0.000,0.000,0.000,0,0.000,0.000,0.000,1,-0.142,0.000,0.000,11,-2.144,0.000,0.000
