,cluster0,,,,cluster2,,,,cluster4,,,,cluster9,,,,cluster6,,,,cluster1,,,,cluster3,,,,cluster7,,,,cluster22,,,,cluster5,,,
how,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n
0,347,133.067,29.257,13.369,189,97.940,22.018,15.007,190,95.147,28.264,10.142,46,35.736,8.002,8.135,70,26.224,10.738,2.152,268,108.099,23.735,17.010,200,104.672,30.130,10.101,59,19.162,3.000,3.018,14,9.326,3.000,1.000,128,53.813,21.104,3.000
1,344,155.732,42.964,10.386,207,111.016,29.183,15.094,153,48.834,9.528,5.050,43,20.999,4.000,4.000,66,27.485,8.000,5.550,277,123.192,24.522,20.641,219,125.202,37.517,12.161,50,21.168,4.368,2.368,17,9.511,2.368,2.000,110,60.407,19.239,7.000
2,291,149.280,43.610,14.486,262,137.987,31.052,28.018,159,99.317,29.418,12.135,40,24.792,7.000,3.018,57,17.358,4.057,2.000,304,114.835,29.871,18.574,165,98.543,20.414,18.386,55,33.898,6.135,5.000,18,10.195,3.368,2.000,78,36.970,11.000,8.000
3,240,124.063,36.212,16.050,306,162.564,40.692,28.335,92,48.472,15.871,6.000,28,15.255,5.000,2.000,55,18.022,1.405,5.035,298,128.813,36.076,12.443,102,74.052,22.291,13.007,42,17.421,6.368,1.000,12,7.002,1.000,1.000,83,43.381,11.000,6.000
4,206,86.320,30.278,5.046,330,155.162,40.197,22.326,49,22.072,8.135,1.135,22,12.435,2.000,2.000,41,12.861,1.000,2.031,299,148.767,40.954,23.563,72,48.879,15.373,7.050,48,28.226,8.368,3.018,16,10.085,2.000,1.000,47,29.722,11.000,3.000
5,166,59.576,10.091,10.370,262,116.835,19.792,27.475,33,19.401,6.000,3.000,11,4.592,1.000,1.000,44,21.752,3.003,3.778,209,100.245,20.578,21.247,42,20.780,3.000,4.368,49,31.561,8.000,3.000,12,7.609,3.000,1.000,24,14.931,4.000,2.000
6,144,57.885,9.554,10.068,154,68.222,12.188,13.389,16,5.472,2.000,0.050,5,0.284,0.000,0.000,21,10.924,2.000,3.580,173,86.861,17.567,18.189,35,13.614,2.021,3.018,12,4.607,0.368,1.368,5,2.126,1.368,0.000,7,3.792,2.000,0.000
7,98,39.124,6.104,7.135,66,28.491,3.138,6.054,4,3.525,1.000,1.104,3,2.120,1.000,0.000,14,12.651,1.135,2.549,132,71.380,14.896,15.188,35,18.779,6.418,1.050,3,3.391,1.000,1.000,5,2.286,0.050,1.000,6,3.018,2.000,0.000
8,73,14.527,0.007,2.000,35,11.734,3.005,4.003,2,0.689,0.000,0.000,3,1.599,0.000,0.000,7,1.851,0.000,1.000,44,23.069,3.135,6.277,14,6.024,1.000,1.001,3,2.319,0.000,2.000,1,0.142,0.000,0.000,0,0.000,0.000,0.000
9,68,16.290,3.368,2.000,19,4.478,2.000,0.000,5,0.426,0.000,0.000,0,0.000,0.000,0.000,3,2.138,0.018,1.000,34,13.036,3.000,3.002,9,1.781,0.000,0.000,0,0.000,0.000,0.000,1,2.652,1.000,0.000,0,0.000,0.000,0.000
10,52,16.796,2.000,3.000,9,5.527,2.000,0.135,1,0.142,0.000,0.000,1,2.496,1.000,0.000,3,1.340,0.000,0.000,24,11.685,1.136,4.000,9,6.037,0.000,1.000,3,0.426,0.000,0.000,0,0.000,0.000,0.000,10,0.018,0.000,0.000
11,125,29.564,3.368,0.001,11,2.262,0.000,1.000,4,1.889,0.000,0.000,0,0.000,0.000,0.000,8,4.170,0.018,1.000,23,13.335,2.000,4.000,16,11.228,3.000,4.002,2,0.866,0.000,0.000,0,0.000,0.000,0.000,17,2.162,0.000,0.000
