,cluster0,,,,cluster2,,,,cluster4,,,,cluster9,,,,cluster6,,,,cluster1,,,,cluster3,,,,cluster7,,,,cluster22,,,,cluster5,,,
how,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n
0,347,32.591,29.257,13.369,189,1.741,22.018,15.007,190,33.116,28.264,10.142,46,-1.409,8.002,8.135,70,10.385,10.738,2.152,268,-1.970,23.735,17.010,200,35.817,30.130,10.101,59,-1.184,3.000,3.018,14,4.624,3.000,1.000,128,26.622,21.104,3.000
1,344,52.224,42.964,10.386,207,21.919,29.183,15.094,153,2.987,9.528,5.050,43,-0.218,4.000,4.000,66,-0.626,8.000,5.550,277,6.067,24.522,20.641,219,37.149,37.517,12.161,50,3.884,4.368,2.368,17,2.671,2.368,2.000,110,20.848,19.239,7.000
2,291,49.073,43.610,14.486,262,-8.306,31.052,28.018,159,39.153,29.418,12.135,40,9.701,7.000,3.018,57,0.864,4.057,2.000,304,5.526,29.871,18.574,165,0.012,20.414,18.386,55,4.965,6.135,5.000,18,-0.347,3.368,2.000,78,2.448,11.000,8.000
3,240,35.014,36.212,16.050,306,18.385,40.692,28.335,92,14.656,15.871,6.000,28,5.337,5.000,2.000,55,-11.433,1.405,5.035,298,25.049,36.076,12.443,102,17.688,22.291,13.007,42,6.618,6.368,1.000,12,1.072,1.000,1.000,83,1.061,11.000,6.000
4,206,36.732,30.278,5.046,330,13.755,40.197,22.326,49,15.115,8.135,1.135,22,-0.799,2.000,2.000,41,-7.437,1.000,2.031,299,23.853,40.954,23.563,72,14.626,15.373,7.050,48,7.529,8.368,3.018,16,2.235,2.000,1.000,47,12.634,11.000,3.000
5,166,-6.972,10.091,10.370,262,-23.077,19.792,27.475,33,-0.095,6.000,3.000,11,0.516,1.000,1.000,44,-2.694,3.003,3.778,209,4.426,20.578,21.247,42,-4.279,3.000,4.368,49,5.129,8.000,3.000,12,2.303,3.000,1.000,24,5.863,4.000,2.000
6,144,-2.734,9.554,10.068,154,-1.039,12.188,13.389,16,2.246,2.000,0.050,5,-0.284,0.000,0.000,21,-3.362,2.000,3.580,173,-4.561,17.567,18.189,35,-4.982,2.021,3.018,12,-2.041,0.368,1.368,5,1.842,1.368,0.000,7,1.910,2.000,0.000
7,98,1.362,6.104,7.135,66,-8.555,3.138,6.054,4,0.331,1.000,1.104,3,1.160,1.000,0.000,14,-1.575,1.135,2.549,132,-1.608,14.896,15.188,35,10.105,6.418,1.050,3,-0.259,1.000,1.000,5,-2.129,0.050,1.000,6,2.770,2.000,0.000
8,73,-7.434,0.007,2.000,35,-3.372,3.005,4.003,2,-0.689,0.000,0.000,3,-1.599,0.000,0.000,7,-1.851,0.000,1.000,44,-9.953,3.135,6.277,14,-0.570,1.000,1.001,3,-2.319,0.000,2.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
9,68,-3.793,3.368,2.000,19,3.624,2.000,0.000,5,0.426,0.000,0.000,0,0.000,0.000,0.000,3,-2.088,0.018,1.000,34,-3.213,3.000,3.002,9,1.103,0.000,0.000,0,0.000,0.000,0.000,1,2.652,1.000,0.000,0,0.000,0.000,0.000
10,52,0.367,2.000,3.000,9,4.627,2.000,0.135,1,-0.142,0.000,0.000,1,2.496,1.000,0.000,3,0.180,0.000,0.000,24,-6.300,1.136,4.000,9,-2.103,0.000,1.000,3,-0.426,0.000,0.000,0,0.000,0.000,0.000,10,0.018,0.000,0.000
11,125,-0.194,3.368,0.001,11,-1.552,0.000,1.000,4,-0.313,0.000,0.000,0,0.000,0.000,0.000,8,-1.654,0.018,1.000,23,-3.643,2.000,4.000,16,-1.408,3.000,4.002,2,0.582,0.000,0.000,0,0.000,0.000,0.000,17,1.310,0.000,0.000
12,162,6.370,7.504,2.000,30,11.421,8.000,0.386,12,-2.720,0.000,1.000,14,1.561,1.368,0.000,17,2.114,1.025,0.005,44,5.177,7.050,2.373,18,6.870,4.000,0.000,12,3.844,2.368,0.000,3,0.770,0.000,0.000,27,4.676,3.000,1.000
13,172,-5.897,11.386,8.000,52,5.931,1.018,0.000,27,8.241,6.000,1.368,6,0.501,0.000,0.000,24,6.324,3.375,1.000,73,2.279,8.050,4.000,26,11.987,8.368,1.000,21,0.261,1.104,1.000,4,0.351,0.000,0.000,49,5.790,6.000,2.000
14,189,16.494,15.576,5.002,76,3.237,7.000,5.135,46,14.665,10.368,0.000,7,-0.927,0.000,0.000,37,4.071,3.742,2.000,133,8.748,15.871,5.000,58,7.723,8.609,3.007,51,2.861,2.503,0.368,14,1.889,2.000,0.001,68,13.102,7.135,1.000
15,267,20.181,25.824,8.018,108,14.680,22.871,7.804,54,6.466,7.472,3.368,26,8.844,3.000,0.000,38,3.319,4.000,1.000,204,-10.516,9.028,19.757,68,18.598,9.272,3.000,50,10.168,8.736,1.368,11,3.297,2.000,0.000,88,11.304,11.135,0.000
16,287,6.322,23.542,15.006,137,11.671,15.105,4.001,111,16.498,15.607,1.000,25,0.164,2.000,1.000,52,-0.608,6.139,4.549,231,10.165,18.743,10.029,112,20.465,14.895,5.001,74,20.214,10.959,2.000,19,2.460,2.000,1.003,111,8.794,10.000,4.000
17,266,6.040,20.639,11.000,152,11.817,21.260,11.343,213,35.567,32.639,8.000,30,1.330,2.000,3.000,64,-1.509,6.001,3.927,295,16.680,27.063,19.050,125,13.072,18.333,11.272,73,11.322,5.050,0.007,14,-0.257,1.000,1.000,143,12.738,13.000,6.000
18,261,44.142,28.007,6.001,140,-0.998,9.278,6.418,178,24.977,24.374,9.050,28,-3.763,2.000,2.018,60,5.209,5.757,4.206,258,11.437,24.943,15.369,122,-0.108,13.271,10.736,40,5.216,4.889,1.368,18,0.794,1.000,2.000,147,34.123,20.736,2.000
19,277,-0.375,21.515,16.786,145,9.869,14.154,7.057,167,13.999,25.406,13.000,36,20.295,10.000,0.000,53,-1.502,2.369,3.001,265,3.012,24.175,21.411,79,-10.908,8.749,12.414,43,4.742,6.000,5.000,15,3.585,2.000,0.000,134,18.142,16.368,5.104
20,281,31.474,33.838,9.019,121,2.984,11.002,3.387,139,1.257,17.368,13.135,22,-3.771,4.000,6.000,52,-1.572,5.002,5.000,234,12.670,25.856,14.371,76,-2.468,9.201,6.172,42,10.369,7.736,3.000,12,-0.083,1.000,1.000,145,15.440,13.239,6.000
21,234,24.017,21.086,8.507,140,7.974,11.208,5.407,97,4.484,6.792,3.000,22,5.607,3.000,0.000,55,-1.699,7.000,7.239,253,-3.918,17.687,16.143,99,2.652,8.425,6.369,14,-3.493,0.050,2.000,18,0.941,3.050,1.002,128,9.158,11.368,3.000
22,251,20.614,23.423,9.468,126,2.416,10.016,6.145,95,10.420,10.000,3.000,19,-0.610,1.154,1.000,57,-6.898,2.018,5.027,222,16.342,20.162,13.206,95,11.810,12.849,6.271,37,5.236,5.135,1.000,7,-0.710,0.000,0.000,115,14.644,16.000,3.000
23,268,32.793,27.073,6.003,159,27.118,22.368,6.055,96,26.809,20.871,3.000,32,7.154,4.000,0.000,69,4.910,7.003,5.000,308,-10.703,18.931,19.610,152,25.699,21.037,7.000,25,6.003,5.050,1.368,14,-0.154,2.000,3.000,101,18.561,14.000,3.000
24,307,10.882,16.386,8.086,165,0.722,18.511,15.061,84,16.407,14.657,1.000,32,-0.128,3.368,3.000,78,9.190,11.038,3.237,263,10.740,16.806,8.874,148,3.261,14.380,11.369,30,-0.630,4.000,2.000,14,1.991,1.000,0.000,101,-0.935,7.736,4.000
25,341,21.793,22.264,9.284,177,13.353,17.667,9.026,69,0.389,4.000,5.000,35,1.230,3.368,2.000,90,9.404,13.022,4.196,438,-14.213,27.753,27.540,174,2.956,17.516,13.649,23,6.162,4.050,0.000,11,1.796,1.000,0.000,93,9.585,11.000,3.000
26,301,-0.813,16.014,14.874,179,-7.050,10.376,11.104,46,8.707,6.736,3.000,23,2.568,1.871,0.135,73,-3.436,6.022,7.415,362,-0.637,30.039,32.142,169,0.918,19.817,14.789,22,2.588,4.002,2.000,10,0.067,1.000,0.000,93,-3.505,8.000,7.000
27,258,-3.334,15.794,13.385,148,3.718,10.385,7.059,50,6.741,6.804,1.000,27,5.701,2.000,0.000,62,9.023,6.140,2.549,373,-18.264,22.899,33.265,146,3.419,14.848,11.156,25,6.728,5.000,0.000,8,0.487,0.000,0.002,59,8.823,11.000,4.000
28,210,0.695,11.380,6.747,124,-7.699,5.394,7.739,33,-1.564,3.000,3.000,11,1.645,1.018,0.000,39,-7.693,3.002,4.407,265,14.066,21.548,15.062,94,-11.212,3.806,8.504,15,4.064,4.000,0.000,6,1.591,1.000,0.000,39,14.746,8.368,1.000
29,140,2.607,10.288,3.075,88,4.833,13.386,6.210,19,-2.075,1.000,2.000,10,-0.288,1.000,1.000,21,2.302,2.021,1.000,169,1.481,11.384,9.193,65,-2.270,3.104,6.664,9,-2.681,0.000,2.000,6,0.973,0.000,0.000,16,7.210,3.368,0.000
30,109,-0.715,5.376,3.002,28,-0.963,3.000,3.000,12,-0.287,0.000,0.000,5,-0.142,0.000,0.000,9,-1.378,0.001,1.000,93,6.016,5.375,4.057,33,-4.828,0.039,4.271,2,-0.284,0.000,0.000,1,-0.142,0.000,0.000,4,2.254,1.000,0.000
31,96,2.421,6.007,2.000,8,-1.637,1.000,1.000,8,-0.578,0.000,0.000,3,0.062,0.018,0.000,15,-1.993,1.386,2.000,52,2.797,4.368,1.792,28,1.320,2.100,2.368,0,0.000,0.000,0.000,0,0.000,0.000,0.000,3,-0.142,0.000,0.000
32,65,-6.244,0.000,1.000,15,-1.263,0.000,0.000,2,-0.000,0.000,0.000,1,-0.142,0.000,0.000,4,0.598,1.000,1.000,22,3.825,2.013,1.050,12,5.919,3.000,0.002,1,1.864,1.000,0.000,2,-0.282,0.000,0.000,5,-0.000,0.000,0.000
33,57,-7.228,0.000,2.018,15,3.299,2.000,0.000,1,0.000,0.000,0.000,4,0.476,0.000,0.000,6,4.680,3.000,0.000,12,3.305,1.000,0.000,10,-2.372,0.000,1.000,1,-0.142,0.000,0.000,3,0.757,0.000,0.000,3,-0.000,0.000,0.000
34,75,-9.163,3.871,7.000,5,-0.059,0.001,0.050,5,0.043,1.000,0.000,1,-0.142,0.000,0.000,9,3.802,3.000,1.000,16,3.771,4.000,1.000,8,1.437,2.000,2.000,3,1.743,1.000,0.000,0,0.000,0.000,0.000,12,-0.000,0.000,0.000
35,147,-8.745,5.000,3.368,24,-4.796,0.050,1.000,10,-3.176,2.000,2.000,1,-0.142,0.000,0.000,14,-1.346,1.002,1.004,34,0.994,3.000,3.420,11,-2.253,0.000,0.000,5,-2.248,0.000,1.000,2,0.138,0.000,0.000,14,0.607,0.000,0.000
36,250,-9.391,15.382,16.154,37,3.083,5.136,1.000,12,3.656,4.000,0.000,8,0.485,0.000,0.000,30,-2.079,1.012,1.000,87,6.543,10.106,5.050,33,-4.204,3.050,4.000,13,2.590,1.100,1.000,7,-0.768,0.000,0.000,28,-3.326,2.000,4.000
37,264,-6.416,11.687,9.163,36,5.153,5.118,1.368,29,-0.491,1.001,1.000,10,0.898,0.000,0.000,22,-4.950,2.368,5.004,141,1.490,17.321,15.522,60,2.572,5.256,3.436,16,0.099,1.050,0.000,8,1.932,2.000,0.000,38,0.355,2.000,1.000
38,303,-6.072,16.291,17.053,58,3.910,8.014,6.000,32,5.666,4.000,1.135,14,1.762,1.000,1.000,29,0.278,2.368,1.000,206,2.174,16.893,13.141,76,4.603,7.209,3.071,16,5.517,3.000,0.000,4,-0.674,0.185,0.000,46,5.150,3.000,0.000
39,326,4.072,21.005,16.256,75,-0.106,3.418,5.369,38,0.173,1.000,1.000,10,1.316,1.000,0.000,37,-0.099,5.000,3.549,226,-14.835,17.856,24.068,81,13.259,9.023,1.185,22,1.459,1.000,0.000,6,0.685,1.000,0.000,59,8.304,9.135,4.368
40,347,7.390,22.423,12.522,61,3.136,4.100,2.503,63,5.869,4.871,3.000,17,-0.543,2.000,2.000,39,2.962,3.142,3.000,264,-12.248,15.438,23.115,73,-5.991,5.207,5.001,34,11.782,8.774,1.135,5,-0.430,0.000,0.000,38,4.619,4.000,0.000
41,350,14.143,21.851,11.343,91,8.850,7.037,2.136,49,1.425,5.018,5.000,19,4.055,3.018,1.000,34,1.750,3.135,1.074,327,1.223,26.964,20.010,80,2.687,11.745,7.000,37,0.221,4.418,3.000,8,1.844,1.000,0.000,47,-0.236,2.000,1.000
42,310,-16.510,16.172,10.394,125,12.938,8.375,4.104,48,7.785,5.000,2.368,18,0.628,1.000,1.000,33,-3.409,2.018,3.549,269,13.042,23.111,14.393,94,2.317,6.373,4.368,29,-3.416,2.000,1.368,11,0.053,0.000,0.000,46,5.368,4.000,0.000
43,351,-0.307,18.349,14.224,88,-4.061,4.038,4.019,53,-2.948,4.018,5.000,27,3.881,4.000,1.639,51,-7.191,4.386,8.004,294,7.979,25.494,17.190,85,-11.366,2.051,4.639,22,-1.392,1.000,1.000,9,3.490,0.000,0.000,58,1.042,3.000,2.000
44,313,3.223,15.389,12.513,90,2.688,9.782,6.000,67,4.307,8.503,4.000,26,-1.314,1.000,2.000,50,-1.901,5.000,4.004,270,5.581,25.176,21.159,60,4.952,4.370,4.368,30,5.726,4.135,2.000,10,2.378,1.000,0.000,43,5.070,5.135,4.000
45,301,8.240,21.523,14.058,124,8.842,12.386,4.009,78,8.071,10.418,3.000,27,-0.285,4.135,3.000,46,13.518,9.000,1.004,273,6.181,23.633,16.905,75,-0.521,4.274,4.019,55,0.834,5.135,2.025,8,-0.679,0.000,0.000,57,3.940,7.000,3.000
46,273,17.295,20.105,8.424,98,13.905,11.277,4.136,140,28.541,19.601,2.000,40,4.741,4.005,1.018,61,-2.731,3.000,5.004,287,5.634,18.241,15.105,96,4.664,15.375,8.553,33,5.722,4.000,0.405,7,0.031,0.000,0.002,53,5.013,5.000,2.000
47,289,-3.729,22.154,16.260,152,29.636,23.763,6.018,187,28.367,26.375,8.000,44,3.570,6.381,4.386,86,-10.882,5.000,8.553,264,-9.299,18.766,19.003,163,24.454,23.007,7.908,31,4.337,4.135,1.368,10,1.941,1.135,2.000,53,6.880,8.000,1.000
48,271,4.475,13.142,6.100,159,15.572,18.738,5.138,147,-9.002,9.510,7.639,56,-0.660,3.368,3.368,65,6.266,8.368,4.004,326,15.200,28.199,16.882,182,25.017,21.328,6.647,32,-0.905,1.018,1.000,9,-2.380,1.000,2.000,77,-0.819,3.000,3.000
49,308,2.889,13.769,8.001,179,4.302,11.506,9.372,121,8.389,14.000,8.000,49,5.024,5.271,3.019,65,0.902,10.375,6.000,326,20.581,27.791,12.420,178,-14.246,17.612,23.006,19,8.311,5.000,1.000,10,-1.297,1.418,2.000,77,-4.835,6.104,7.000
50,338,-0.840,6.635,4.516,152,-8.219,5.138,10.014,100,5.955,7.472,6.000,43,-2.108,3.135,3.000,85,-0.869,10.871,9.037,366,6.061,31.446,21.059,161,13.833,21.882,11.745,27,3.565,3.000,2.018,9,-2.178,0.000,1.000,57,7.950,8.000,2.000
51,233,-16.631,3.334,8.419,158,15.767,11.029,3.102,41,7.851,5.000,0.000,24,2.636,0.018,0.000,56,-2.033,2.386,0.553,299,-7.227,16.685,12.410,129,-0.549,8.757,9.695,19,-8.199,2.000,7.000,9,4.015,2.418,0.000,46,0.954,5.000,3.000
52,206,-8.882,5.590,10.007,116,8.130,4.136,3.015,31,10.010,6.000,0.000,14,2.212,1.000,0.000,33,0.082,0.000,0.004,272,-9.520,18.293,21.543,103,15.717,10.630,2.737,13,0.292,2.135,1.000,4,1.180,0.000,0.002,18,3.003,3.000,0.000
53,137,-6.190,3.505,3.425,65,-0.102,5.506,2.885,15,0.749,0.000,0.000,7,0.128,1.000,0.000,14,-3.127,0.001,1.000,202,-9.393,7.517,12.068,86,4.673,5.471,1.298,6,-1.424,0.000,1.000,1,-0.142,0.000,0.000,9,-0.443,0.000,0.000
54,85,-6.239,1.000,1.368,48,-4.563,3.736,5.000,10,-0.398,0.000,0.149,8,-0.334,0.000,0.000,15,2.793,1.003,0.000,98,-11.608,3.137,10.745,43,0.116,2.000,1.271,1,1.218,1.000,0.000,4,1.891,0.271,0.000,2,-0.000,0.000,0.000
55,70,-6.816,2.000,3.000,23,0.037,0.002,0.018,7,1.015,0.135,0.000,3,-0.297,0.018,0.000,5,-0.201,0.000,0.000,57,-3.639,0.386,2.000,30,-0.511,1.003,1.000,3,1.939,1.000,0.000,1,-0.561,0.000,0.000,1,1.094,1.000,0.000
