date,non_n,4sq_n,inst_n,job_n
2014-01-22,230,5,0,0
2014-01-23,3291,36,4,0
2014-01-24,3218,52,0,0
2014-01-25,3405,65,4,0
2014-01-26,3979,63,4,0
2014-01-27,4714,43,6,0
2014-01-28,3703,43,5,0
2014-01-29,3591,46,0,0
2014-01-30,3186,69,1,0
2014-01-31,3141,60,3,0
2014-02-01,2951,100,1,0
2014-02-02,4069,75,4,0
2014-02-03,5468,44,3,0
2014-02-04,3291,42,2,0
2014-02-05,3402,49,3,0
2014-02-06,2957,84,0,0
2014-02-07,2856,51,3,0
2014-02-08,3374,82,1,0
2014-02-09,3170,65,12,0
2014-02-10,3247,45,2,0
2014-02-11,2885,63,1,0
2014-02-12,2858,59,3,0
2014-02-13,3291,45,2,0
2014-02-14,3048,58,1,0
2014-02-15,3552,58,3,0
2014-02-16,3238,69,9,0
2014-02-17,3236,49,3,0
2014-02-18,3401,50,2,0
2014-02-19,2824,56,0,0
2014-02-20,2659,79,1,0
2014-02-21,2823,62,1,0
2014-02-22,2809,74,4,0
2014-02-23,2804,93,4,0
2014-02-24,2699,43,2,0
2014-02-25,2872,56,1,0
2014-02-26,2633,51,3,0
2014-02-27,2938,55,4,0
2014-02-28,3005,58,1,0
2014-03-01,2691,65,14,0
2014-03-02,2955,57,0,0
2014-03-03,3387,47,0,0
2014-03-04,2547,57,2,0
2014-03-05,2591,60,1,0
2014-03-06,2274,36,2,0
2014-03-07,2714,92,1,0
2014-03-08,2347,68,10,0
2014-03-09,2257,67,4,0
2014-03-10,2231,38,5,0
2014-03-11,2472,81,1,0
2014-03-12,2353,47,3,0
2014-03-13,2337,52,4,0
2014-03-14,2621,88,3,0
2014-03-15,2812,100,4,0
2014-03-16,3432,57,3,0
2014-03-17,3101,27,4,0
2014-03-18,3079,67,4,0
2014-03-19,2989,53,8,0
2014-03-20,3403,46,3,0
2014-03-21,3954,85,4,0
2014-03-22,3838,81,12,0
2014-03-23,3575,77,8,0
2014-03-24,3143,54,2,0
2014-03-25,3166,50,0,0
2014-03-26,2989,46,8,0
2014-03-27,3166,71,6,0
2014-03-28,3453,70,10,0
2014-03-29,3069,108,2,0
2014-03-30,3162,65,4,0
2014-03-31,4115,89,10,0
2014-04-01,3238,78,6,0
2014-04-02,2951,68,6,0
2014-04-03,3393,59,5,0
2014-04-04,2829,109,7,0
2014-04-05,3061,94,9,0
2014-04-06,3443,79,5,0
2014-04-07,2788,75,7,0
2014-04-08,2679,51,4,0
2014-04-09,2705,76,3,0
2014-04-10,2765,87,4,0
2014-04-11,2626,80,5,0
2014-04-12,3033,70,7,0
2014-04-13,3029,85,8,0
2014-04-14,2783,44,1,0
2014-04-15,2820,48,1,0
2014-04-16,2947,44,3,0
2014-04-17,2767,78,4,0
2014-04-18,3074,96,8,0
2014-04-19,3185,104,9,0
2014-04-20,3402,39,3,0
2014-04-21,2422,44,5,0
2014-04-22,3121,67,3,0
2014-04-23,2908,74,10,0
2014-04-24,3023,52,4,0
2014-04-25,2713,51,2,0
2014-04-26,2925,76,10,0
2014-04-27,2596,79,11,0
2014-04-28,2403,48,5,0
2014-04-29,2759,63,2,0
2014-04-30,2498,88,9,0
2014-05-01,2557,53,6,0
2014-05-02,2709,120,4,0
2014-05-03,3197,117,6,0
2014-05-04,3189,105,9,0
2014-05-05,2502,48,4,0
2014-05-06,2655,87,4,0
2014-05-07,2328,92,4,0
2014-05-08,2262,56,1,0
2014-05-09,2837,85,4,0
2014-05-10,2676,100,7,0
2014-05-11,2865,69,5,0
2014-05-12,2530,69,9,0
2014-05-13,2522,94,5,0
2014-05-14,3056,83,6,0
2014-05-15,2510,76,0,0
2014-05-16,2389,57,6,0
2014-05-17,2338,94,2,0
2014-05-18,2359,74,5,0
2014-05-19,2303,43,4,0
2014-05-20,2337,73,0,0
2014-05-21,2479,78,3,0
2014-05-22,2450,56,3,0
2014-05-23,2510,58,8,0
2014-05-24,2479,91,10,0
2014-05-25,2554,91,5,0
2014-05-26,2080,40,11,0
2014-05-27,2285,87,3,0
2014-05-28,2515,39,3,0
2014-05-29,2630,27,1,0
2014-05-30,2371,84,1,0
2014-05-31,2340,70,4,0
2014-06-01,2318,42,2,0
2014-06-02,2396,36,9,0
2014-06-03,2298,42,2,0
2014-06-04,2322,46,0,0
2014-06-05,2443,108,1,0
2014-06-06,3047,60,3,0
2014-06-07,2674,92,5,0
2014-06-08,2723,54,2,0
2014-06-09,2561,25,3,0
2014-06-10,2798,38,4,0
2014-06-11,2999,35,2,0
2014-06-12,2887,39,6,0
2014-06-13,2878,35,8,0
2014-06-14,2775,67,5,0
2014-06-15,2606,49,10,0
2014-06-16,3049,28,1,0
2014-06-17,2833,45,0,0
2014-06-18,3125,26,2,0
2014-06-19,3289,31,1,0
2014-06-20,2884,46,2,0
2014-06-21,2896,67,6,0
2014-06-22,3234,35,6,0
2014-06-23,2522,40,4,0
2014-06-24,2790,35,1,0
2014-06-25,3026,25,3,0
2014-06-26,2857,40,3,0
2014-06-27,2983,33,3,0
2014-06-28,3176,51,3,0
2014-06-29,2896,34,5,0
2014-06-30,3519,28,5,0
2014-07-01,3607,40,2,0
2014-07-02,2857,43,2,0
2014-07-03,3075,49,2,0
2014-07-04,3462,92,8,0
2014-07-05,3452,87,5,0
2014-07-06,2938,77,8,0
2014-07-07,2623,41,3,0
2014-07-08,2758,32,5,0
2014-07-09,2626,27,3,0
2014-07-10,2527,34,2,0
2014-07-11,2752,24,3,0
2014-07-12,2424,52,7,0
2014-07-13,2683,34,2,0
2014-07-14,2599,37,3,0
2014-07-15,2565,36,3,0
2014-07-16,2440,35,5,0
2014-07-17,2571,42,0,0
2014-07-18,2584,36,2,0
2014-07-19,2573,59,3,0
2014-07-20,2781,43,7,0
2014-07-21,2574,27,2,0
2014-07-22,2941,40,4,0
2014-07-23,3053,33,5,0
2014-07-24,2832,28,5,0
2014-07-25,2514,17,6,0
2014-07-26,2426,23,8,0
2014-07-27,2657,26,4,0
2014-07-28,2459,15,3,0
2014-07-29,2501,6,0,0
2014-07-30,2607,13,3,0
2014-07-31,2687,14,1,0
2014-08-01,2653,19,0,0
2014-08-02,2488,37,4,0
2014-08-03,2878,21,5,0
2014-08-04,2537,17,8,0
2014-08-05,2882,20,2,0
2014-08-06,2764,15,4,0
2014-08-07,2692,20,4,0
2014-08-08,2626,30,5,0
2014-08-09,2619,31,3,0
2014-08-10,2875,32,7,0
2014-08-11,2612,31,2,0
2014-08-12,2770,18,2,0
2014-08-13,2370,27,1,0
2014-08-14,2484,22,3,0
2014-08-15,52,1,0,0
2014-08-16,0,0,0,0
2014-08-17,0,0,0,0
2014-08-18,0,0,0,0
2014-08-19,0,0,0,0
2014-08-20,0,0,0,0
2014-08-21,443,10,2,0
2014-08-22,2108,14,4,0
2014-08-23,0,0,0,0
2014-08-24,0,0,0,0
2014-08-25,0,0,0,0
2014-08-26,0,0,0,0
2014-08-27,254,4,0,0
2014-08-28,2487,16,3,0
2014-08-29,2556,31,4,0
2014-08-30,3171,49,6,0
2014-08-31,2416,28,8,0
2014-09-01,2328,21,5,0
2014-09-02,2257,19,0,0
2014-09-03,2426,19,6,0
2014-09-04,2413,14,3,0
