how,non_n,4sq_n,inst_n,job_n
0,9382,277,42,18
1,10076,194,19,12
2,10297,161,35,7
3,10061,153,31,5
4,8837,110,26,5
5,6856,76,13,5
6,4713,35,8,9
7,2990,16,2,3
8,1562,6,0,2
9,1066,6,0,8
10,848,13,1,5
11,1245,8,2,70
12,2200,76,12,141
13,3507,83,3,100
14,5335,138,10,91
15,6689,164,12,114
16,8017,233,27,128
17,9108,259,39,124
18,8957,184,39,118
19,8527,146,31,128
20,8125,158,41,109
21,7714,161,45,117
22,7937,179,22,38
23,9671,162,30,26
24,10833,112,37,35
25,13125,76,27,11
26,12885,68,20,9
27,11081,55,25,8
28,8004,26,9,6
29,5036,22,15,2
30,2971,18,2,5
31,1719,2,0,5
32,991,6,2,5
33,926,3,2,4
34,1440,35,3,5
35,2576,51,5,59
36,3263,68,2,140
37,4090,109,7,92
38,4855,72,6,118
39,5518,122,12,146
40,5782,124,14,129
41,6283,138,20,141
42,5895,105,9,153
43,6528,129,14,164
44,6615,117,11,154
45,6879,168,19,148
46,7375,176,34,55
47,8588,139,32,29
48,9740,172,13,45
49,11097,156,16,13
50,11410,112,15,12
51,9620,67,7,3
52,7588,25,6,3
53,5045,10,6,12
54,2900,14,0,5
55,1637,6,0,2
56,992,5,0,5
57,819,9,1,3
58,1512,39,1,8
59,2825,46,3,80
60,3589,94,2,150
61,4263,100,12,88
62,5128,134,8,113
63,5552,93,10,156
64,5966,161,17,136
65,6342,116,15,124
66,6309,124,3,143
67,6724,139,9,144
68,7188,102,15,163
69,7269,165,14,149
70,7741,229,17,41
71,8696,195,18,43
72,9855,160,20,44
73,11209,112,12,16
74,11324,78,8,15
75,9700,52,20,8
76,7521,20,10,7
77,4822,16,4,8
78,2842,10,4,10
79,1759,8,0,6
80,1042,3,2,3
81,905,6,0,11
82,1707,40,2,8
83,2779,35,0,59
84,3581,73,2,125
85,4454,111,1,98
86,4905,72,5,78
87,5634,92,13,89
88,6376,179,15,107
89,6463,148,6,109
90,6440,113,21,107
91,6644,151,13,130
92,7113,120,18,127
93,7212,189,21,106
94,7608,254,23,46
95,8809,228,28,40
96,10130,163,20,43
97,11200,137,17,11
98,12059,90,13,6
99,10120,90,9,10
100,7561,31,17,10
101,5280,18,2,8
102,3181,5,1,7
103,1851,9,3,3
104,994,7,0,7
105,863,8,1,5
106,1556,41,3,6
107,2946,58,7,103
108,3732,134,1,166
109,4647,120,9,99
110,5397,105,11,108
111,6173,114,11,129
112,6846,160,8,157
113,6870,135,11,126
114,6811,163,17,130
115,7258,139,10,124
116,7259,112,8,115
117,7306,168,15,128
118,8049,235,17,28
119,8935,217,18,42
120,9917,189,25,31
121,10773,139,17,6
122,11291,109,21,7
123,10164,99,17,10
124,7735,45,9,7
125,5400,80,3,8
126,3268,17,1,8
127,1779,14,0,5
128,1111,8,1,7
129,854,11,1,5
130,1646,44,1,8
131,2725,49,3,83
132,3924,79,4,153
133,4724,106,9,107
134,5823,100,8,106
135,6223,131,13,142
136,6796,196,7,119
137,7097,172,17,115
138,6578,161,8,123
139,6694,141,18,123
140,6985,180,12,141
141,6886,246,26,123
142,7584,273,38,41
143,8313,321,37,28
144,8908,238,33,39
145,9549,185,25,14
146,9994,181,26,11
147,9165,187,23,6
148,8023,118,12,6
149,5918,59,11,2
150,4000,16,7,3
151,2396,13,3,5
152,1470,5,0,5
153,950,3,1,6
154,842,11,1,9
155,1461,29,3,74
156,2619,87,3,163
157,4020,136,9,89
158,5638,137,23,80
159,7139,178,19,130
160,7824,217,28,120
161,7859,273,36,129
162,8132,234,27,109
163,8439,244,44,95
164,8216,232,56,94
165,8036,265,26,105
166,8410,240,37,26
167,9204,259,51,32
