,cluster14,,,cluster15,,,cluster18,,,cluster27,,
doy,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
1,7,2.670,2,0,1,-0.430,0,0,6,-0.139,1,1,7,-1.390,2,3
2,6,3.396,1,0,1,-0.128,0,0,6,-2.724,0,1,3,-2.578,0,1
3,17,-0.649,1,0,1,-0.128,0,0,14,1.101,2,1,6,6.355,4,0
4,7,2.311,2,0,3,-1.072,0,0,3,-0.398,1,1,7,-5.452,1,4
5,3,-1.715,1,2,1,-0.441,0,0,0,0.000,0,0,11,-0.502,1,1
6,1,1.086,1,0,1,-0.128,0,0,1,0.987,0,0,6,-5.249,0,3
7,5,-2.930,0,1,4,-1.731,0,0,0,0.000,0,0,2,-1.818,0,1
8,4,-0.004,0,0,1,-0.465,0,0,12,-4.276,1,4,8,-1.219,2,1
9,0,0.000,0,0,0,0.000,0,0,2,-0.284,0,0,8,0.115,1,1
10,4,0.870,1,1,1,-0.128,0,0,3,-3.334,0,2,10,-9.820,0,5
11,3,0.472,0,0,2,-0.930,0,0,0,0.000,0,0,1,0.678,0,0
12,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,7,-0.427,0,0
13,2,-0.284,0,0,1,-0.441,0,0,0,0.000,0,0,4,-2.717,0,1
14,0,0.000,0,0,1,-0.128,0,0,0,0.000,0,0,8,1.626,2,0
15,5,-2.550,0,2,3,-1.386,0,0,0,0.000,0,0,0,0.000,0,0
16,4,-0.387,0,0,2,-0.892,0,0,0,0.000,0,0,7,-1.762,1,2
17,2,0.237,0,0,2,-0.607,0,0,0,0.000,0,0,3,-0.426,0,1
18,6,-2.892,0,1,0,0.000,0,0,0,0.000,0,0,12,2.318,3,2
19,4,-0.420,1,1,0,0.000,0,0,0,0.000,0,0,4,0.419,1,1
20,0,0.000,0,0,3,-2.323,0,1,0,0.000,0,0,6,-2.771,0,1
21,4,-2.408,1,1,3,-1.030,0,0,0,0.000,0,0,6,-2.837,0,2
22,4,-1.308,1,1,3,-0.533,0,0,1,0.614,0,0,15,-8.128,1,5
