cl,pos_%,neg_%,senti_avg,senti_std,senti_25%,senti_50%,senti_75%
0,7.0383,3.9512,0.0293,0.6109,-0.1420,-0.0767,0.0005
1,8.0245,6.6752,0.0039,0.7071,-0.1420,-0.0001,0.0085
2,9.6314,5.7618,0.0460,0.7018,-0.1420,-0.0022,0.0190
3,11.6181,6.7055,0.0690,0.7795,-0.1420,-0.0004,0.2345
4,12.0549,4.6141,0.0923,0.7288,-0.1420,-0.1420,0.0815
5,10.4968,4.2200,0.0864,0.6682,-0.1420,-0.0000,0.0000
6,9.5014,6.5926,0.0268,0.7272,-0.1420,-0.0287,0.0640
7,13.1334,5.3568,0.1085,0.7556,-0.1420,-0.1420,0.4003
8,1.8221,2.4558,-0.0206,0.4075,-0.0000,-0.0000,0.0000
9,8.8964,6.1298,0.0385,0.7171,-0.1420,-0.0000,0.0151
10,6.6483,6.3465,-0.0172,0.6824,-0.1420,-0.0000,0.0000
11,11.0848,7.1518,0.0466,0.7760,-0.1420,-0.1420,0.2770
12,2.9214,3.6670,-0.0195,0.4781,-0.0000,-0.0000,-0.0000
13,5.9211,1.4474,0.1084,0.5148,-0.0000,-0.0000,0.0000
14,16.7103,7.2182,0.1348,0.8605,-0.1420,-0.1420,0.5813
15,1.6714,0.3343,-0.2068,0.3511,-0.4650,-0.1320,-0.1280
16,1.4815,0.9383,0.0087,0.2744,-0.0000,-0.0000,0.0000
17,7.3220,8.2333,-0.0338,0.7532,-0.1420,-0.0000,0.0000
18,14.2560,3.9860,0.1573,0.7169,-0.1420,-0.1420,0.5040
19,8.4611,7.9707,0.0081,0.7633,-0.1420,-0.0019,0.0097
20,3.2379,3.7983,-0.0323,0.4934,-0.0000,-0.0000,0.0000
21,3.9005,3.4325,-0.0010,0.5601,-0.0001,-0.0000,0.0000
22,11.4980,4.9802,0.0873,0.7389,-0.1420,-0.1420,0.3315
23,1.8167,3.0016,-0.0264,0.4411,-0.0000,-0.0000,0.0000
24,2.4491,3.3413,-0.0286,0.4376,-0.0000,-0.0000,0.0000
25,3.8239,3.8238,0.0025,0.5140,-0.0000,-0.0000,0.0000
26,3.0786,4.0171,-0.0382,0.5269,-0.0000,-0.0000,0.0000
27,4.5283,2.2642,0.0592,0.4669,-0.0000,-0.0000,0.0000
28,2.5016,1.8001,0.0166,0.3969,-0.0000,-0.0000,0.0000
29,7.2251,2.7225,0.0837,0.6081,-0.0000,-0.0000,0.0000
30,6.9579,8.1882,-0.0508,0.7172,-0.1420,-0.0000,0.0000
31,7.1973,13.0997,-0.1468,0.7838,-0.1420,-0.1035,0.0009
