cl,pos_%,neg_%,senti_avg,senti_std,senti_25%,senti_50%,senti_75%
0,11.74,7.86,0.04,0.83,-0.14,-0.14,0.44
1,14.15,11.92,0.01,0.96,-0.14,-0.14,0.55
2,15.31,10.98,0.05,0.94,-0.14,-0.14,0.58
3,18.57,10.56,0.13,1.01,-0.14,-0.14,0.76
4,15.83,6.52,0.12,0.84,-0.14,-0.14,0.59
5,16.07,6.61,0.12,0.81,-0.14,-0.14,0.59
6,14.95,10.60,0.05,0.95,-0.14,-0.14,0.57
7,16.87,7.00,0.14,0.87,-0.14,-0.14,0.68
8,11.14,22.92,-0.28,1.10,-0.89,-0.14,0.05
9,14.91,12.93,0.01,0.98,-0.14,-0.14,0.63
10,14.59,11.65,0.02,0.98,-0.20,-0.14,0.55
11,15.48,9.15,0.09,0.92,-0.14,-0.14,0.59
12,11.90,21.34,-0.25,1.09,-0.66,-0.14,-0.14
13,16.93,15.18,-0.00,1.11,-0.14,-0.14,0.59
14,18.66,10.27,0.10,0.97,-0.14,-0.14,0.70
15,1.67,0.33,-0.21,0.35,-0.47,-0.13,-0.13
16,20.10,16.20,0.01,1.19,-0.14,-0.14,0.68
17,16.19,16.35,-0.06,1.10,-0.33,-0.14,0.61
18,18.10,6.39,0.18,0.84,-0.14,-0.14,0.73
19,15.61,12.00,0.07,1.00,-0.14,-0.14,0.62
20,12.52,10.71,0.02,0.91,-0.21,-0.14,0.47
21,18.49,14.86,0.00,1.21,-0.14,-0.14,0.57
22,17.36,7.20,0.18,0.90,-0.14,-0.14,0.74
23,15.80,19.43,-0.14,1.21,-0.48,-0.14,0.43
24,19.41,9.07,0.21,0.97,-0.14,-0.14,0.81
25,17.46,15.96,0.01,1.08,-0.22,-0.14,0.71
26,11.20,12.56,-0.06,0.90,-0.44,-0.14,0.48
27,11.13,20.28,-0.22,1.05,-0.79,-0.14,0.24
28,13.50,12.50,-0.03,0.98,-0.14,-0.14,0.45
29,13.82,17.07,-0.15,1.11,-0.14,-0.14,-0.01
30,13.71,17.52,-0.12,1.06,-0.49,-0.14,0.46
31,12.52,19.17,-0.17,1.03,-0.62,-0.14,0.33
.14,0.33
