date,pos_n,neg_n,sum_senti,n
2014-01-22,25,44,-35.952,230
2014-01-23,459,534,-308.640,3291
2014-01-24,449,471,-180.131,3218
2014-01-25,496,522,-203.745,3405
2014-01-26,607,585,-105.571,3979
2014-01-27,780,673,70.599,4714
2014-01-28,512,561,-251.880,3703
2014-01-29,490,575,-332.735,3591
2014-01-30,431,469,-183.749,3186
2014-01-31,436,449,-135.419,3141
2014-02-01,455,392,-11.083,2951
2014-02-02,661,569,40.135,4069
2014-02-03,912,827,-62.922,5468
2014-02-04,460,472,-126.971,3291
2014-02-05,433,536,-320.221,3402
2014-02-06,468,427,-44.988,2957
2014-02-07,379,407,-153.670,2856
2014-02-08,520,461,-64.298,3374
2014-02-09,496,427,-25.043,3170
2014-02-10,458,457,-136.110,3247
2014-02-11,388,439,-207.275,2885
2014-02-12,376,379,-120.816,2858
2014-02-13,469,485,-172.191,3291
2014-02-14,532,355,264.422,3048
2014-02-15,530,467,-18.019,3552
2014-02-16,523,430,36.677,3238
2014-02-17,445,474,-197.172,3236
2014-02-18,486,524,-225.728,3401
2014-02-19,424,374,-29.110,2824
2014-02-20,369,363,-83.952,2659
2014-02-21,410,398,-87.927,2823
2014-02-22,464,367,74.066,2809
2014-02-23,415,376,-61.670,2804
2014-02-24,366,421,-201.090,2699
2014-02-25,375,435,-227.309,2872
2014-02-26,398,393,-61.045,2633
2014-02-27,420,433,-136.203,2938
2014-02-28,425,411,-58.599,3005
2014-03-01,483,345,172.219,2691
2014-03-02,440,455,-152.498,2955
2014-03-03,596,456,185.299,3387
2014-03-04,334,338,-114.697,2547
2014-03-05,378,338,-20.803,2591
2014-03-06,333,325,-88.968,2274
2014-03-07,432,366,-14.476,2714
2014-03-08,368,292,56.738,2347
2014-03-09,357,308,-5.684,2257
2014-03-10,351,289,33.299,2231
2014-03-11,400,293,85.837,2472
2014-03-12,340,338,-90.232,2353
2014-03-13,351,310,-14.424,2337
2014-03-14,385,335,36.534,2621
2014-03-15,490,365,9.080,2812
2014-03-16,540,522,-76.954,3432
2014-03-17,426,462,-208.154,3101
2014-03-18,392,419,-187.667,3079
2014-03-19,381,442,-239.101,2989
2014-03-20,498,482,-98.208,3403
2014-03-21,569,596,-223.265,3954
2014-03-22,601,568,-79.655,3838
2014-03-23,521,460,-23.933,3575
2014-03-24,467,439,-102.238,3143
2014-03-25,405,470,-207.293,3166
2014-03-26,355,424,-214.442,2989
2014-03-27,428,418,-64.991,3166
2014-03-28,501,506,-145.587,3453
2014-03-29,485,387,-3.004,3069
2014-03-30,503,435,46.881,3162
2014-03-31,659,485,138.993,4115
2014-04-01,457,454,-97.102,3238
2014-04-02,404,389,-103.346,2951
2014-04-03,480,487,-142.806,3393
2014-04-04,406,372,-94.133,2829
2014-04-05,469,351,84.378,3061
2014-04-06,588,464,54.892,3443
2014-04-07,398,407,-74.857,2788
2014-04-08,381,348,-43.643,2679
2014-04-09,363,365,-111.983,2705
2014-04-10,426,345,63.397,2765
2014-04-11,398,332,-19.356,2626
