how,pos_n,neg_n,abs_senti,n
0,1480,1091,4315.107,9382
1,1660,1193,4791.272,10076
2,1666,1351,5134.423,10297
3,1583,1470,5188.223,10061
4,1427,1281,4748.904,8837
5,1063,1027,3664.384,6856
6,702,718,2449.253,4713
7,430,499,1683.806,2990
8,192,229,722.268,1562
9,147,142,483.603,1066
10,103,97,346.145,848
11,153,117,440.286,1245
12,401,189,974.648,2200
13,650,341,1689.702,3507
14,973,502,2444.094,5335
15,1113,716,3031.034,6689
16,1246,861,3533.528,8017
17,1412,1041,4052.290,9108
18,1340,1018,3899.090,8957
19,1273,1050,3901.746,8527
20,1285,968,3740.239,8125
21,1238,852,3522.835,7714
22,1259,964,3693.294,7937
23,1567,1217,4771.083,9671
24,1757,1389,5373.690,10833
25,2095,1856,6776.953,13125
26,2118,1841,6777.945,12885
27,1743,1714,5961.648,11081
28,1273,1221,4350.205,8004
29,692,782,2527.340,5036
30,384,421,1388.937,2971
31,209,265,825.528,1719
32,106,123,397.037,991
33,107,114,389.225,926
34,200,196,694.654,1440
35,347,384,1267.719,2576
36,478,399,1482.145,3263
37,606,489,1831.571,4090
38,667,553,2047.712,4855
39,798,601,2279.152,5518
40,789,686,2422.364,5782
41,866,751,2673.528,6283
42,775,673,2403.987,5895
43,891,826,2881.958,6528
44,952,752,2840.678,6615
45,967,837,2982.859,6879
46,1002,909,3194.324,7375
47,1220,1061,3813.157,8588
48,1414,1329,4685.080,9740
49,1561,1523,5232.057,11097
50,1661,1713,5756.222,11410
51,1343,1497,4806.965,9620
52,1107,1207,3991.857,7588
53,681,806,2572.836,5045
54,386,425,1399.996,2900
55,187,251,761.706,1637
56,116,139,428.559,992
57,93,115,374.532,819
58,183,205,674.543,1512
59,411,407,1398.887,2825
60,508,450,1601.283,3589
61,576,492,1749.608,4263
62,723,632,2219.222,5128
63,781,668,2384.860,5552
64,864,684,2549.592,5966
65,878,795,2768.578,6342
66,855,767,2697.185,6309
67,910,883,2956.425,6724
68,1017,897,3178.342,7188
69,963,886,3092.487,7269
70,1085,962,3406.089,7741
71,1272,1041,3800.589,8696
72,1419,1220,4455.121,9855
73,1661,1598,5543.621,11209
74,1794,1702,5874.296,11324
75,1400,1459,4881.001,9700
76,1111,1112,3800.235,7521
77,671,754,2430.757,4822
78,314,480,1392.815,2842
79,214,281,869.502,1759
80,114,150,440.339,1042
81,112,109,365.184,905
82,214,230,737.804,1707
83,411,381,1364.535,2779
84,495,453,1554.190,3581
85,638,554,1983.816,4454
86,728,573,2160.012,4905
87,731,673,2301.535,5634
88,888,770,2685.469,6376
89,906,753,2686.838,6463
90,869,788,2782.162,6440
91,910,847,2896.345,6644
92,1003,886,3113.783,7113
93,984,909,3119.125,7212
94,1037,883,3184.544,7608
95,1307,1018,3940.061,8809
96,1537,1302,4726.039,10130
97,1697,1497,5475.430,11200
98,1774,1758,6192.264,12059
99,1488,1546,5186.587,10120
100,1194,1079,3884.313,7561
101,804,807,2759.170,5280
102,415,538,1661.297,3181
103,226,286,862.823,1851
104,105,132,408.461,994
105,100,123,381.457,863
106,163,193,604.499,1556
107,408,398,1361.087,2946
108,516,423,1548.383,3732
109,708,508,1971.854,4647
110,802,601,2304.634,5397
111,932,679,2651.164,6173
112,957,738,2748.061,6846
113,986,782,2931.302,6870
114,923,803,2855.185,6811
115,1011,866,3076.610,7258
116,986,967,3280.171,7259
117,1059,895,3236.142,7306
118,1136,956,3488.519,8049
119,1390,982,3853.385,8935
120,1447,1183,4381.440,9917
121,1557,1465,5127.375,10773
122,1714,1621,5699.211,11291
123,1446,1517,5015.931,10164
124,1231,1140,4085.277,7735
125,817,800,2738.591,5400
126,383,513,1545.554,3268
127,230,274,860.499,1779
128,144,169,529.121,1111
129,119,114,422.267,854
130,228,184,702.484,1646
131,475,307,1371.031,2725
132,597,452,1768.762,3924
133,745,548,2134.341,4724
134,949,630,2629.375,5823
135,905,662,2571.036,6223
136,1052,793,3011.925,6796
137,1059,835,3118.969,7097
138,972,742,2794.123,6578
139,963,787,2913.936,6694
140,1056,832,3077.154,6985
141,1014,754,2885.415,6886
142,1107,769,3096.911,7584
143,1224,881,3459.037,8313
144,1368,915,3802.218,8908
145,1567,1109,4487.259,9549
146,1583,1309,4947.939,9994
147,1496,1208,4656.794,9165
148,1307,1133,4202.559,8023
149,916,843,3092.939,5918
150,581,641,2136.172,4000
151,332,400,1296.736,2396
152,173,240,717.588,1470
153,116,135,427.574,950
154,103,96,354.550,842
155,213,150,607.311,1461
156,378,245,1027.815,2619
157,659,370,1732.135,4020
158,940,618,2600.614,5638
159,1178,730,3179.393,7139
160,1247,821,3419.316,7824
161,1200,872,3437.046,7859
162,1229,919,3580.487,8132
163,1295,947,3758.115,8439
164,1313,827,3543.432,8216
165,1226,864,3430.656,8036
166,1324,885,3600.171,8410
167,1504,966,4074.759,9204
