doy,pos_n,neg_n,sum_senti,n
1,382,220,142.838,1926
2,263,238,60.375,1758
3,270,264,51.209,1901
4,406,403,62.613,2645
5,219,303,-25.389,2052
6,219,273,14.399,1668
7,235,225,49.578,1511
8,276,302,44.916,1869
9,194,208,36.731,1519
10,258,230,64.087,1687
11,291,257,71.579,1862
12,236,224,62.142,1564
13,250,263,47.700,1741
14,413,191,135.603,1657
15,331,217,83.247,1643
16,207,208,35.665,1464
17,230,172,69.681,1470
18,303,269,62.022,1861
19,250,194,69.358,1507
20,198,178,52.094,1409
21,228,250,42.189,1810
22,240,233,55.917,1688
23,661,712,93.367,4698
24,654,617,142.555,4525
25,729,678,162.623,4770
26,823,804,168.947,5559
27,948,872,245.707,6018
28,722,745,142.891,5096
29,711,774,100.769,4996
30,643,636,139.916,4548
31,660,592,173.914,4596
32,775,576,238.637,4674
33,1087,942,260.706,6607
34,1096,1010,253.471,6842
35,655,614,157.348,4530
36,622,693,103.419,4715
37,734,591,198.368,4499
38,679,641,165.162,4706
39,809,701,188.533,5137
40,833,723,200.142,5268
41,670,638,140.888,4661
42,588,620,106.582,4399
43,614,581,144.533,4446
44,808,676,202.689,5090
45,849,542,323.458,4805
46,887,697,241.595,5397
47,788,653,217.367,5006
48,706,688,157.726,4876
49,715,769,109.801,5060
50,655,619,148.150,4579
51,606,583,138.562,4375
52,701,607,185.484,4685
53,757,562,242.548,4664
54,716,621,175.143,4621
55,536,582,99.632,4005
56,565,626,94.956,4258
57,582,572,139.449,4072
58,626,630,137.726,4473
59,644,554,191.254,4418
60,748,535,238.188,4369
61,633,645,120.988,4422
62,779,641,232.965,4865
63,496,521,101.524,3870
64,594,581,127.505,4228
65,557,493,148.802,3781
66,661,546,167.211,4200
67,625,469,191.702,3944
68,558,452,162.008,3582
69,571,476,163.536,3740
70,663,486,206.161,4035
71,601,561,139.887,4064
72,609,501,177.544,3874
73,864,607,289.999,5306
74,986,712,285.641,5696
75,890,814,209.508,5649
76,753,762,144.022,5221
77,656,624,143.206,4892
78,527,600,80.635,4057
79,766,677,193.933,5168
80,901,839,220.342,6160
81,1025,895,266.498,6470
82,662,598,162.515,4475
83,467,439,97.244,3143
84,681,727,132.233,5042
85,634,688,131.870,5113
86,590,552,149.653,4225
87,615,573,149.659,4194
88,600,476,160.431,3766
89,558,483,154.355,3525
90,676,510,203.312,4251
91,474,466,108.067,3340
92,454,422,104.340,3242
93,521,523,108.373,3710
94,455,399,103.308,3091
95,511,376,162.927,3240
96,594,474,152.724,3489
97,511,508,124.835,3593
98,769,701,189.881,5291
99,750,670,194.608,5322
100,576,465,173.669,3734
101,437,350,114.333,2828
102,507,449,130.648,3250
103,548,423,177.865,3318
104,422,412,97.254,3073
105,411,406,86.832,3093
106,495,435,136.177,3267
107,463,376,128.775,2896
108,537,416,161.853,3240
109,565,397,171.545,3342
110,734,536,254.918,4199
111,809,718,199.844,5468
112,945,762,291.542,6095
113,471,391,142.081,3085
114,473,403,138.348,3365
115,876,682,271.810,5905
116,891,675,276.765,5846
117,775,591,244.194,4764
118,439,367,131.039,3068
119,447,482,81.949,3457
120,432,382,114.356,3296
121,482,411,134.044,3243
122,428,362,121.492,3057
123,515,411,151.018,3376
124,487,388,147.073,3281
125,348,307,90.080,2560
126,381,353,90.752,2655
127,354,299,105.811,2381
128,359,274,115.680,2262
129,452,344,141.507,2837
130,422,342,117.817,2676
131,506,392,152.327,2985
132,356,381,60.049,2603
133,389,358,109.804,2619
134,414,460,60.202,3134
135,355,361,81.584,2618
136,324,312,78.307,2492
137,404,339,108.968,2677
138,452,332,146.742,2962
139,355,335,73.822,2450
140,376,323,105.310,2549
141,440,395,113.964,3161
142,446,365,138.197,3180
143,510,339,177.828,3533
144,512,313,186.564,3247
145,469,350,147.556,3132
146,396,350,98.617,2600
147,292,354,34.292,2285
148,340,342,55.419,2515
149,345,386,50.314,2640
150,356,345,76.718,2371
151,460,362,129.591,2968
152,421,365,130.211,2897
153,417,383,106.794,2970
154,371,345,83.485,2788
155,417,367,99.503,2961
156,435,360,127.026,3129
157,625,417,227.263,3888
158,644,366,255.726,3706
159,537,411,161.526,3402
160,479,396,123.324,3145
161,474,413,143.967,3352
162,481,446,106.532,3523
163,382,377,88.190,2887
164,406,392,86.352,2878
165,462,355,137.150,2775
166,508,318,188.332,3043
167,439,440,78.533,3148
168,399,410,84.114,2922
169,471,432,95.914,3304
170,475,482,81.792,3423
171,445,425,90.155,3015
172,462,398,116.912,3027
173,526,462,126.597,3316
174,370,309,97.915,2657
175,387,409,73.536,2987
176,474,433,111.665,3210
177,453,363,128.897,3136
178,584,369,206.661,3654
179,560,426,176.325,3879
180,466,420,114.286,3488
181,616,580,131.392,4114
182,604,545,156.182,4270
183,492,372,158.449,3430
184,560,394,204.555,3901
185,801,384,338.417,4453
186,767,424,297.306,4464
187,515,365,177.983,3400
188,468,389,148.927,3252
189,468,434,105.868,3216
190,447,409,117.072,3234
191,470,407,135.970,3356
192,609,410,200.524,3751
193,442,355,153.538,3163
194,565,441,163.654,3608
195,433,449,66.112,3163
196,438,392,104.725,3031
197,454,398,120.406,3088
198,441,403,120.305,3252
199,498,392,160.992,3456
200,496,340,152.207,3062
201,442,346,142.641,3209
202,448,399,121.187,3205
203,522,432,152.118,3532
204,543,439,159.549,3781
205,566,455,151.367,3589
206,462,394,120.173,3172
207,428,337,119.797,2974
208,389,336,107.172,2879
209,384,355,85.666,2670
210,387,360,93.000,2781
211,347,384,67.269,2854
212,374,340,106.204,2716
213,396,336,97.954,2653
214,372,379,62.195,2488
215,403,470,45.135,2878
216,407,345,108.786,2758
217,465,430,109.982,3179
218,401,397,73.499,2945
219,450,350,149.025,2930
220,399,391,84.402,2739
221,410,344,111.271,2685
222,420,393,106.324,2934
223,353,397,60.882,2632
224,415,397,84.470,3030
225,430,338,129.255,2810
226,448,371,146.479,3168
227,94,31,48.221,646
228,0,0,0.000,0
229,0,0,0.000,0
230,0,0,0.000,0
231,0,0,0.000,0
232,0,0,0.000,0
233,125,77,49.522,1062
234,472,360,135.658,3046
235,149,44,85.345,1095
236,129,36,68.921,769
237,95,29,53.848,738
238,68,30,35.857,521
239,107,67,39.819,813
240,428,345,142.525,3278
241,496,334,182.386,3484
242,640,380,239.922,3966
243,409,319,138.447,3010
244,378,346,88.109,2836
245,343,392,58.532,2807
246,402,394,109.496,3275
247,382,405,94.514,3289
248,411,264,166.770,2688
249,97,24,63.393,730
250,83,28,53.760,701
251,35,7,26.205,244
252,12,6,7.458,127
253,30,22,17.580,320
254,23,8,11.552,143
255,32,7,18.348,183
256,48,10,32.869,418
257,38,9,24.881,264
258,40,10,23.972,284
259,32,7,21.250,224
260,26,9,12.849,159
261,4,1,3.854,46
262,39,11,22.012,294
263,36,6,20.167,163
264,71,35,38.038,623
265,79,37,46.746,653
266,65,48,35.994,611
267,74,37,41.011,635
268,100,36,53.036,634
269,172,28,89.949,748
270,162,45,85.528,929
271,89,41,37.726,557
272,68,61,19.955,648
273,320,289,85.079,2217
274,368,267,136.360,2741
275,430,395,108.943,3372
276,390,317,118.763,2757
277,437,234,182.460,2671
278,383,310,113.871,2659
279,254,241,65.508,1959
280,293,263,69.945,2051
281,372,311,112.587,2706
282,374,296,101.281,2504
283,426,300,133.055,2775
284,364,191,156.667,2301
285,386,289,122.763,2533
286,238,248,52.630,1747
287,278,232,76.903,1871
288,243,217,71.997,1624
289,311,236,101.567,2027
290,316,233,106.487,2131
291,217,144,83.298,1413
292,32,6,20.431,220
293,117,68,46.078,778
294,277,246,69.574,1979
295,255,226,76.503,1827
296,267,255,71.343,1919
297,266,224,83.545,1883
298,382,241,137.925,2513
299,399,313,127.510,2735
300,279,256,83.095,2126
301,293,258,81.310,2234
302,333,253,110.893,2391
303,371,246,133.444,2348
304,419,261,161.591,2453
305,485,302,176.819,2932
306,359,264,128.412,2507
307,309,269,108.487,2444
308,261,210,80.835,1791
309,312,239,98.399,2130
310,302,245,93.279,2126
311,238,200,73.738,1662
312,284,200,95.300,1787
313,65,39,25.182,383
314,134,114,33.228,954
315,250,234,61.854,1627
316,233,236,43.159,1591
317,218,248,42.696,1720
318,227,192,56.740,1458
319,289,227,84.887,1800
320,364,250,117.524,1968
321,214,204,56.788,1494
322,270,290,47.466,1857
323,176,181,34.855,1209
324,29,18,10.415,182
325,271,211,80.609,1770
326,349,252,116.905,2223
327,248,233,56.069,1667
328,296,258,72.160,1842
329,247,313,26.455,1891
330,195,219,44.451,1475
331,397,174,180.798,1628
332,197,163,58.555,1228
333,253,180,86.062,1616
334,301,253,75.743,1952
335,200,212,43.039,1455
336,196,215,45.962,1556
337,255,267,47.842,1799
338,215,245,28.469,1616
339,233,262,43.219,1765
340,300,240,101.851,2024
341,376,298,98.414,2316
342,256,241,58.130,1748
343,282,253,73.206,1928
344,271,244,70.103,1862
345,229,206,54.700,1578
346,14,12,4.550,93
347,122,71,43.394,651
348,316,222,97.550,1923
349,228,224,46.496,1624
