how,pos_n,neg_n,sum_senti,n
0,1480,1091,354.303,9382
1,1660,1193,500.857,10076
2,1666,1351,76.578,10297
3,1583,1470,-262.511,10061
4,1427,1281,-164.658,8837
5,1063,1027,-284.501,6856
6,702,718,-283.371,4713
7,430,499,-311.836,2990
8,192,229,-190.125,1562
9,147,142,-23.433,1066
10,103,97,-38.210,848
11,153,117,13.432,1245
12,401,189,303.029,2200
13,650,341,452.608,3507
14,973,502,725.737,5335
15,1113,716,499.038,6689
16,1246,861,450.594,8017
17,1412,1041,376.499,9108
18,1340,1018,371.319,8957
19,1273,1050,70.605,8527
20,1285,968,311.767,8125
21,1238,852,343.607,7714
22,1259,964,202.693,7937
23,1567,1217,312.944,9671
24,1757,1389,99.306,10833
25,2095,1856,-77.349,13125
26,2118,1841,-29.693,12885
27,1743,1714,-366.968,11081
28,1273,1221,-258.464,8004
29,692,782,-359.580,5036
30,384,421,-230.235,2971
31,209,265,-209.378,1719
32,106,123,-75.998,991
33,107,114,-68.720,926
34,200,196,-77.234,1440
35,347,384,-141.089,2576
36,478,399,47.215,3263
37,606,489,89.141,4090
38,667,553,44.011,4855
39,798,601,179.979,5518
40,789,686,-18.254,5782
41,866,751,-34.532,6283
42,775,673,-69.952,5895
43,891,826,-152.702,6528
44,952,752,97.243,6615
45,967,837,-31.054,6879
46,1002,909,-126.760,7375
47,1220,1061,33.119,8588
48,1414,1329,-205.721,9740
49,1561,1523,-301.380,11097
50,1661,1713,-578.114,11410
51,1343,1497,-603.480,9620
52,1107,1207,-531.714,7588
53,681,806,-425.534,5045
54,386,425,-250.188,2900
55,187,251,-202.048,1637
56,116,139,-112.866,992
57,93,115,-80.220,819
58,183,205,-145.974,1512
59,411,407,-100.048,2825
60,508,450,22.799,3589
61,576,492,45.837,4263
62,723,632,28.655,5128
63,781,668,56.292,5552
64,864,684,191.088,5966
65,878,795,-84.085,6342
66,855,767,-64.527,6309
67,910,883,-221.653,6724
68,1017,897,-72.038,7188
69,963,886,-49.066,7269
70,1085,962,-35.753,7741
71,1272,1041,69.483,8696
72,1419,1220,-13.521,9855
73,1661,1598,-336.583,11209
74,1794,1702,-422.327,11324
75,1400,1459,-498.761,9700
76,1111,1112,-347.294,7521
77,671,754,-392.131,4822
78,314,480,-488.520,2842
79,214,281,-245.096,1759
80,114,150,-114.251,1042
81,112,109,-49.980,905
82,214,230,-103.621,1707
83,411,381,-77.567,2779
84,495,453,-29.922,3581
85,638,554,59.445,4454
86,728,573,70.488,4905
87,731,673,-17.612,5634
88,888,770,40.829,6376
89,906,753,76.806,6463
90,869,788,-57.514,6440
91,910,847,-81.834,6644
92,1003,886,-118.961,7113
93,984,909,-131.038,7212
94,1037,883,-20.259,7608
95,1307,1018,175.821,8809
96,1537,1302,-9.364,10130
97,1697,1497,-142.347,11200
98,1774,1758,-490.515,12059
99,1488,1546,-422.319,10120
100,1194,1079,-104.844,7561
101,804,807,-264.996,5280
102,415,538,-411.204,3181
103,226,286,-239.670,1851
104,105,132,-122.075,994
105,100,123,-74.376,863
106,163,193,-117.204,1556
107,408,398,-68.592,2946
108,516,423,88.163,3732
109,708,508,222.991,4647
110,802,601,218.591,5397
111,932,679,250.358,6173
112,957,738,241.908,6846
113,986,782,129.315,6870
114,923,803,-53.424,6811
115,1011,866,-18.004,7258
116,986,967,-235.053,7259
117,1059,895,93.947,7306
118,1136,956,87.618,8049
119,1390,982,453.915,8935
120,1447,1183,84.912,9917
121,1557,1465,-271.603,10773
122,1714,1621,-290.135,11291
123,1446,1517,-603.329,10164
124,1231,1140,-275.680,7735
125,817,800,-228.991,5400
126,383,513,-350.642,3268
127,230,274,-181.360,1779
128,144,169,-118.740,1111
129,119,114,-43.638,854
130,228,184,73.457,1646
131,475,307,272.083,2725
132,597,452,188.081,3924
133,745,548,229.782,4724
134,949,630,323.422,5823
135,905,662,258.071,6223
136,1052,793,266.781,6796
137,1059,835,208.740,7097
138,972,742,183.229,6578
139,963,787,79.118,6694
140,1056,832,89.302,6985
141,1014,754,237.342,6886
142,1107,769,280.499,7584
143,1224,881,272.904,8313
144,1368,915,397.721,8908
145,1567,1109,397.657,9549
146,1583,1309,19.523,9994
147,1496,1208,105.559,9165
148,1307,1133,-67.927,8023
149,916,843,-156.125,5918
150,581,641,-320.923,4000
151,332,400,-287.868,2396
152,173,240,-214.258,1470
153,116,135,-116.001,950
154,103,96,-41.936,842
155,213,150,72.904,1461
156,378,245,177.752,2619
157,659,370,433.622,4020
158,940,618,358.154,5638
159,1178,730,573.374,7139
160,1247,821,485.322,7824
161,1200,872,333.921,7859
162,1229,919,282.961,8132
163,1295,947,343.243,8439
164,1313,827,625.332,8216
165,1226,864,397.207,8036
166,1324,885,448.796,8410
167,1504,966,608.507,9204
