venue,user,year,doy,dow,hour,lon,lat,senti_val
My Exerpeutic Bike,lvallana,2014,108,5,18,-80.0150,40.4586,0.000
My Exerpeutic Bike,JudiRogers,2014,60,6,17,-79.8689,40.4278,0.000
AGH,donny_copper,2014,91,2,10,-80.0042,40.4569,0.000
AGH,donny_copper,2014,89,0,12,-80.0042,40.4569,0.000
AGH,donny_copper,2014,88,6,10,-80.0042,40.4569,0.000
AGH,donny_copper,2014,93,4,14,-80.0042,40.4569,0.000
Yogurt City,Swae816,2014,104,1,22,-79.8874,40.4264,0.000
Yogurt City,Swae816,2014,104,1,22,-79.8874,40.4264,0.000
Western Pennsylvania Hospital,kelsdoesnttweet,2015,245,3,16,-79.9463,40.4610,0.000
Western Pennsylvania Hospital,Twism44,2014,214,6,22,-79.9463,40.4610,0.000
Western Pennsylvania Hospital,Twism44,2014,47,0,4,-79.9463,40.4610,0.000
Western Pennsylvania Hospital,Tamerica531,2014,153,1,16,-79.9463,40.4610,0.000
Western Pennsylvania Hospital,MacGirlie,2014,105,2,19,-79.9463,40.4610,0.000
Western Pennsylvania Hospital,Twism44,2014,214,6,22,-79.9463,40.4610,0.000
Western Pennsylvania Hospital,Twism44,2014,47,0,4,-79.9463,40.4610,0.000
Western Pennsylvania Hospital,Tamerica531,2014,153,1,16,-79.9463,40.4610,0.000
Western Pennsylvania Hospital,MacGirlie,2014,105,2,19,-79.9463,40.4610,0.000
Francesca's Collections,beyonskeez,2014,75,0,18,-79.9346,40.4510,0.000
Francesca's Collections,ShelbyT20,2015,267,4,16,-79.9346,40.4510,0.000
Francesca's Collections,ShelbyT20,2015,267,4,16,-79.9346,40.4510,0.000
Francesca's Collections,beyonskeez,2014,75,0,18,-79.9346,40.4510,0.000
Francesca's Collections,beyonskeez,2014,75,0,18,-79.9346,40.4510,0.000
WIC Office,kitsu0202,2014,35,2,15,-79.9995,40.4635,0.000
Kabob-G Grill,YmAlmansour,2015,52,6,22,-80.0257,40.3655,0.000
Kabob-G Grill,S_alkahlan,2014,144,6,1,-80.0257,40.3655,0.000
Kabob-G Grill,S_alkahlan,2014,151,6,0,-80.0257,40.3655,0.000
Kate's Moving Castle,nohissyfits,2014,81,6,14,-79.9473,40.4548,0.000
Kate's Moving Castle,nohissyfits,2015,95,0,23,-79.9473,40.4548,0.000
Kate's Moving Castle,nohissyfits,2015,95,0,23,-79.9473,40.4548,0.000
Kate's Moving Castle,nohissyfits,2014,81,6,14,-79.9473,40.4548,0.000
Kate's Moving Castle,nohissyfits,2014,81,6,14,-79.9473,40.4548,0.000
Alcoa Pittsburgh Federal Credit Union,CreditUnionLand,2015,202,2,16,-80.0033,40.4483,0.224
Color Me Mine,AbbyDinges,2014,168,2,21,-79.9199,40.4381,0.000
Pittsburgh Mcknight Road,KD3RN,2014,335,1,22,-80.0102,40.5044,0.000
Pittsburgh Mcknight Road,KD3RN,2014,338,4,1,-80.0102,40.5044,0.000
Pittsburgh Mcknight Road,KD3RN,2014,339,5,1,-80.0102,40.5044,0.000
Hollywood Theater,oliverroy48,2015,304,6,23,-80.0353,40.3962,0.000
Hollywood Theater,the_vic_mik,2014,201,0,3,-80.0351,40.3961,0.000
Hollywood Theater,JayHated,2014,115,5,0,-80.0351,40.3961,0.000
Hollywood Theater,spots87,2014,115,5,22,-80.0351,40.3961,0.000
Hollywood Theater,IPhillyBoy2011,2014,141,3,23,-80.0351,40.3961,0.000
Hollywood Theater,xbeautyxtruthx,2015,87,6,22,-80.0353,40.3962,0.000
Hollywood Theater,xbeautyxtruthx,2015,87,6,22,-80.0353,40.3962,0.000
