venue,lon,lat,checkin_n,user_n,doy_mode,dow_mode,hour_mode,senti_avg
AMC Loews Waterfront 22,-79.9177,40.4066,428,109,144,0,23,-0.003
CONSOL Energy Center,-79.9893,40.4395,415,156,86,4,23,0.177
Athleta,-79.9343,40.4508,371,2,49,2,12,0.000
Starbucks_14,-79.9349,40.4512,280,8,80,0,12,0.000
Foreland Home,-80.0032,40.4496,266,1,56,2,13,0.000
Waterfront Stacks,-79.9180,40.4048,191,2,182,2,19,0.000
Me Lyng,-79.9138,40.4067,182,2,119,2,2,0.000
Hollywood Tans,-79.9304,40.4564,175,1,23,5,14,0.000
Primanti Brothers_2,-79.9855,40.4507,167,68,111,6,22,0.000
Newell-Simon Hall,-79.9456,40.4434,146,5,32,5,22,0.000
The Westin Convention Center Pittsburgh,-79.9952,40.4441,136,24,190,4,18,0.000
Starbucks_1,-80.0007,40.4410,132,43,193,5,11,0.000
Integrated Fitness,-79.9859,40.4294,123,2,275,1,20,0.260
A To Z Highand Park,-79.9249,40.4730,119,1,23,2,3,0.000
Fat Head's Saloon,-79.9801,40.4289,105,57,58,5,23,0.000
Primanti Brothers_1,-80.0027,40.4403,102,40,193,0,17,0.000
Market Square,-80.0026,40.4407,101,48,73,6,19,0.000
Clear Channel Communications,-80.0493,40.4209,96,1,59,5,14,0.245
Anthrocon 2015,-79.9955,40.4443,96,16,192,6,15,0.000
Confluence,-79.9977,40.4492,96,1,188,3,14,0.000
Sweet Dreamland,-79.8801,40.4086,95,2,189,0,4,0.333
Sienna Mercato,-79.9965,40.4441,94,38,191,6,0,0.000
Emporio A Meatball Joint,-79.9965,40.4441,94,20,13,6,21,0.000
Target_2,-79.9220,40.4608,87,25,22,0,20,0.371
Crazy Mocha_7,-79.9303,40.4566,86,3,32,5,14,-0.314
Crazy Mocha_1,-79.9988,40.4429,80,7,190,4,12,-0.290
Starbucks_3,-79.9840,40.4287,75,9,185,6,21,0.000
TechShop,-79.9162,40.4572,75,9,277,0,5,0.000
J's New Lockdown,-80.0926,40.4271,74,1,120,5,3,0.000
Starbucks_12,-79.9270,40.4592,72,11,67,5,11,0.000
Andy Warhol Museum,-80.0022,40.4485,72,55,241,6,18,0.000
Whole Foods Market,-79.9282,40.4587,70,19,87,2,17,0.000
TGI Fridays_2,-79.9156,40.4106,69,20,39,6,0,0.000
Hofbruhaus Pittsburgh,-79.9646,40.4286,64,49,26,6,0,0.000
Rock Bottom Restaurant Brewery,-79.9149,40.4097,63,20,94,6,20,0.000
Duquesne University Power Center Gym,-79.9906,40.4379,62,4,93,4,10,0.000
The Scrivens Cave,-79.9584,40.3953,62,1,157,0,21,0.000
JCC Fitness Center,-79.9238,40.4375,61,3,189,3,0,0.231
East Liberty Presbyterian Church,-79.9255,40.4609,61,1,26,0,13,0.308
Chipotle Mexican Grill_1,-79.9474,40.4542,60,16,2,2,18,0.000
Burgatory_1,-79.9176,40.4073,60,35,189,6,22,0.000
Gold's Gym,-80.0039,40.4411,59,6,76,1,15,0.000
Carnegie Museum Of Natural History,-79.9505,40.4434,56,33,284,6,18,0.221
Round Corner Cantina,-79.9643,40.4668,55,27,74,0,23,0.000
The Factory,-79.9654,40.4282,55,39,74,0,1,0.000
Noodlehead,-79.9251,40.4577,53,21,60,6,0,0.000
Yoga Flow_1,-79.9341,40.4512,52,5,56,2,22,0.000
Buffalo Blues,-79.9253,40.4584,52,7,156,3,22,0.000
DeLuca's Diner,-79.9836,40.4514,52,28,119,0,13,0.000
Our House,-79.9249,40.4529,51,1,220,5,3,0.000
Munhall Borough Building Police Station,-79.9045,40.3990,51,1,23,0,11,0.000
Restaurant Depot,-79.9729,40.4636,50,6,30,6,13,0.000
5801 Video Lounge Cafe,-79.9308,40.4564,50,11,276,6,2,0.000
Community Supermarket,-79.8821,40.4884,50,2,24,3,12,0.000
Stack'd,-79.9350,40.4512,49,16,203,4,2,0.000
SouthSide Works Cinema,-79.9651,40.4278,48,24,275,5,1,-0.021
Duquesne Incline,-80.0177,40.4396,47,25,82,0,21,0.000
Sharp Edge Bistro on Penn,-79.9973,40.4439,47,30,193,0,23,0.000
Spaghetti Warehouse,-79.9794,40.4559,47,13,23,6,22,0.000
The Beer Market,-80.0041,40.4478,47,28,275,6,21,0.000
Epicenter,-79.9361,40.4539,46,1,100,2,3,0.000
Tonic Bar And Grill,-79.9951,40.4437,46,23,190,4,22,0.000
Phipps Conservatory and Botanical Gardens,-79.9483,40.4390,45,37,293,6,19,0.000
Hard Rock Cafe Pittsburgh,-80.0048,40.4339,45,30,94,5,19,-0.147
The Smiling Moose,-79.9849,40.4288,44,23,190,0,22,0.260
Marty's Market,-79.9822,40.4537,44,13,57,4,14,0.000
Starbucks_6,-79.9499,40.4440,44,14,84,2,18,0.000
Jerome Bettis' Grille 36,-80.0116,40.4456,43,28,103,0,22,0.000
Pamela's P&amp;G Diner_2,-79.9836,40.4519,42,19,117,0,15,0.000
Local Bar + Kitchen,-79.9829,40.4289,42,27,74,0,3,0.000
Roland's Seafood Grill and Iron Landing,-79.9844,40.4508,41,21,18,0,19,0.000
Trader Joe's,-79.9189,40.4590,41,17,151,0,0,0.000
The Summit PGH,-80.0075,40.4309,41,6,74,0,2,0.000
ScienceJesus' Laboratory,-79.8801,40.4288,40,1,84,3,6,0.000
Claddagh Irish Pub,-79.9647,40.4281,40,19,186,0,21,0.000
Eatery,-80.0106,40.4458,40,22,306,0,23,0.000
Fort Pitt Bridge,-80.0110,40.4390,40,13,88,3,20,0.000
Fernando's Cafe,-79.9955,40.4435,39,12,187,0,0,0.000
Shadyside Garage,-79.9340,40.4515,39,1,71,2,14,0.000
Pittsburgh Public Market,-79.9876,40.4501,39,14,142,0,17,0.000
Social at Bakery Square,-79.9160,40.4567,39,19,184,5,22,0.000
Target_1,-79.9108,40.4108,38,13,99,0,17,0.000
Benedum Center For The Performing Arts,-79.9997,40.4430,38,27,67,0,0,0.000
Senator John Heinz,-79.9921,40.4468,38,20,185,6,14,0.000
Espresso A Mano,-79.9649,40.4660,38,11,23,6,14,0.000
Carson Street Deli,-79.9831,40.4289,37,12,67,3,23,0.000
BRGR Bar,-79.9256,40.4596,37,21,35,0,23,0.000
Thelma Lovette YMCA,-79.9780,40.4447,37,2,273,1,22,0.000
Sonoma Grille,-79.9962,40.4442,37,13,193,2,21,0.000
Fuel On,-79.9316,40.4552,36,1,53,2,1,0.000
D's Six Pax Dogz,-79.8937,40.4321,36,21,131,1,0,0.000
otter and wolf den,-79.9738,40.4808,36,1,64,3,1,0.000
Fiori's Pizzaria,-80.0188,40.4052,35,11,287,3,1,0.000
Philsyland 2.0,-79.9808,40.4275,35,1,28,3,1,0.000
Heinz Hall,-80.0016,40.4427,35,21,87,0,23,0.006
Redbeard's Bar Grill,-80.0073,40.4307,35,14,276,6,23,0.000
Nicky's Thai Kitchen_2,-79.9984,40.4437,34,18,1,4,22,0.000
School of Information Sciences,-79.9525,40.4472,34,1,84,3,16,0.000
Meat and Potatoes,-80.0008,40.4430,33,21,189,0,0,0.000
Butcher and the Rye,-80.0020,40.4423,33,18,144,6,1,0.022
Wigle Whiskey_2,-79.9813,40.4544,33,15,354,6,20,0.000
Primanti Bros._1,-79.9792,40.4285,33,25,87,6,21,0.000
Images,-79.9955,40.4434,33,7,96,0,2,0.000
James Street GastroPub Speakeasy,-80.0010,40.4544,33,23,277,6,3,0.000
North View Medical,-80.0039,40.4716,33,1,122,5,5,0.000
Bikram Yoga Pittsburgh,-79.9665,40.4630,33,2,10,3,0,0.000
Blue Dust,-79.9117,40.4080,33,13,101,6,23,0.000
Steel City_4,-79.9254,40.4588,32,3,33,0,23,0.000
Club Cycle,-80.0419,40.3891,32,3,23,2,21,0.000
OTB Bicycle Cafe,-79.9690,40.4276,32,15,276,6,1,0.000
Yokoso! Japanese Steak House,-79.9157,40.4089,31,9,74,0,0,0.000
KDKA-TV,-80.0070,40.4426,31,3,187,1,13,0.000
Steel Cactus Mexican Restaurante Cantina_1,-79.9335,40.4513,31,15,268,6,2,0.000
Northview Heights Elementary,-80.0049,40.4811,31,1,123,6,3,0.000
Ryan's Pub Grill,-79.8974,40.4394,31,3,281,0,0,0.000
Smoke Barbeque Taqueria,-79.9101,40.4076,30,7,32,5,0,0.000
Subway_1,-79.9969,40.4441,30,6,37,0,15,0.000
St. Bernard Church,-80.0432,40.3864,30,4,186,0,23,0.000
Port Authority Allegheny Station,-80.0196,40.4482,30,6,204,4,18,0.154
Chipotle Mexican Grill_5,-79.9258,40.4592,30,9,11,0,16,0.000
Dee's Cafe,-79.9847,40.4288,30,14,67,0,1,0.000
Frank B. Fuhrer Wholesale Co.,-79.9615,40.4224,30,2,24,4,8,0.000
Coffee Tree Roasters_1,-79.8829,40.4884,30,1,275,5,10,0.000
Winghart's Whiskey Burger Bar,-79.9831,40.4288,30,17,117,0,4,0.000
Lulu's Noodles,-79.9488,40.4453,29,10,87,6,16,0.000
Northside Summer Celebration,-80.0002,40.4667,28,1,124,5,5,0.000
True Runner,-79.9352,40.4507,28,4,282,5,0,0.347
There Ultra Lounge,-79.9967,40.4430,28,8,61,0,5,0.000
Jimmy D's,-79.9817,40.4289,28,12,61,0,4,0.000
Benjamin's Western Avenue Burger Bar,-80.0166,40.4520,28,12,187,6,0,0.000
Old Navy_1,-79.9060,40.4119,28,5,2,5,17,0.000
Grill Bar,-79.8912,40.4870,28,10,189,3,16,0.000
Bruegger's Bagel Bakery_1,-79.9970,40.4421,28,12,184,4,11,0.000
Pittsburgh_23,-80.0952,40.3823,27,15,40,5,2,0.000
Rockys,-80.0849,40.3966,27,1,42,2,0,0.000
Art All Night,-79.9649,40.4712,27,9,117,0,2,0.000
August Henry's,-79.9962,40.4443,27,10,37,4,23,0.000
Caliente Pizza Draft House,-79.9501,40.4620,27,12,32,6,0,0.000
Tony's Mansion,-79.9137,40.4721,27,1,276,6,3,0.000
Shady Grove,-79.9337,40.4509,27,10,61,0,2,0.000
El Burro,-80.0067,40.4558,27,12,189,2,17,0.000
Rite Aid_1,-79.9336,40.4519,26,2,51,5,20,0.000
Proper Brick Oven Tap Room,-80.0003,40.4435,26,13,204,2,20,0.000
Waffles,-79.9692,40.4278,26,1,2014,33,0,0.000
Jewish Community Center,-79.9238,40.4376,26,6,275,0,22,0.000
Piccolo Forno,-79.9643,40.4669,25,12,74,6,0,0.000
Nadine's Bar and Restaurant,-79.9672,40.4264,25,7,205,0,0,0.000
VIP Styles,-79.9993,40.4392,25,1,186,5,13,0.414
Nakama Japanese Steakhouse,-79.9822,40.4288,25,18,18,0,21,0.000
Apple Store,-79.9333,40.4510,25,1,2014,188,2,0.000
Cathedral of Learning,-79.9532,40.4443,25,12,87,6,0,0.000
McCormick Schmick's_1,-79.9998,40.4412,24,4,272,2,15,0.000
Greyhound Bus Lines,-79.9932,40.4444,24,13,85,1,20,0.000
Hanlon's Cafe,-79.9956,40.4434,24,7,190,6,14,0.000
The Porch at Schenley,-79.9531,40.4428,24,13,154,0,16,0.000
Mercurio's Artisan Gelato and Neapolitan Pizza,-79.9330,40.4515,24,9,31,6,17,0.000
Steel Cactus Mexican Restaurante Cantina_2,-79.9793,40.4287,24,14,153,4,4,0.000
Twelve on Carson,-79.9854,40.4288,24,15,85,0,5,0.000
Sibling Center,-79.9529,40.4663,24,1,27,1,17,0.000
Ephesus Pizza,-80.0022,40.4397,24,1,59,5,16,0.000
Erin's fine foods Deli,-80.0002,40.4417,23,2,187,2,17,0.184
China Buffet_1,-79.9176,40.4584,23,4,154,3,16,0.000
Cultural District,-79.9989,40.4434,23,10,133,2,15,0.000
Everyday Noodles ,-79.9202,40.4382,23,17,158,0,17,0.000
Hyde Park Steakhouse,-80.0080,40.4462,23,10,49,2,23,0.000
Cioppino,-79.9829,40.4540,23,8,150,0,3,0.000
Carnegie Library of Homestead,-79.9028,40.4070,23,5,27,0,16,0.000
Mitchell's Fish Market,-79.9178,40.4089,23,9,45,5,23,0.000
Market District Supermarket,-79.9348,40.4566,23,5,84,3,16,0.000
Pretty Kitty,-79.8955,40.4088,23,1,117,0,5,0.390
Kuhn's Market,-80.0436,40.4000,23,6,277,0,0,0.000
Squirrel Hill Tunnel_1,-79.9165,40.4264,22,8,189,3,13,0.000
Jerry's Records,-79.9232,40.4326,22,9,52,5,15,0.000
Park Bruges,-79.9206,40.4761,22,10,7,6,0,0.000
Point Brugge Caf,-79.9139,40.4501,22,11,277,0,18,0.000
Port Authority Wood Street Station,-79.9996,40.4422,22,5,204,4,18,0.137
Waterfront Trail,-79.9133,40.4069,22,1,182,6,19,0.000
Cattivo,-79.9616,40.4725,22,4,86,4,0,0.016
The Milk Shake Factory,-79.9817,40.4288,21,14,83,3,18,-0.187
Cavo,-79.9845,40.4514,21,11,131,0,2,0.009
LongHorn Steakhouse,-79.9188,40.4043,21,6,82,0,1,0.000
Highmark Stadium,-80.0100,40.4362,21,7,185,6,23,-0.016
Lounge 7101,-79.8985,40.4579,21,1,74,0,5,0.000
Page Dairy Mart,-79.9558,40.4112,21,11,87,6,0,0.000
21st Street Coffee and Tea_1,-79.9844,40.4517,21,8,43,3,14,0.000
Mt. Ararat Baptist Church,-79.9145,40.4621,21,2,74,0,16,0.000
salud,-79.9349,40.4512,21,1,291,6,15,0.000
Waterworks Cinema,-79.8937,40.4899,21,9,109,6,23,-0.027
1311,-79.9848,40.4288,21,10,39,0,0,0.000
Il Tetto,-79.9965,40.4442,21,9,65,6,22,0.000
Squirrel Hill Shopping District,-79.9229,40.4380,21,2,144,5,21,0.000
Tad's on E. Carson,-79.9871,40.4287,20,5,74,6,0,0.000
99 Bottles,-80.0823,40.3987,20,5,25,0,2,0.000
Alpha Chi Omega,-79.9419,40.4449,20,2,33,0,0,0.000
Uncle Sam's Subs,-79.8929,40.4892,20,5,276,4,16,0.000
Mexican Restaurant,-80.0022,40.4410,20,8,189,1,15,0.000
Roberts Engineering Hall,-79.9472,40.4425,20,1,30,1,19,0.000
GetGo_5,-79.9620,40.4688,20,3,33,0,2,0.000
Gaucho Parilla Argentina,-79.9874,40.4490,20,13,156,4,15,0.000
Au Bon Pain,-79.9989,40.4423,19,6,190,4,15,-0.338
Italian Village Pizza_1,-79.8870,40.4878,19,6,85,4,16,0.000
La Prima Espresso Company,-79.9831,40.4516,19,6,74,6,19,0.000
Duquesne Towers,-79.9888,40.4355,19,1,83,4,11,0.000
Thin Man Sandwich Shop,-79.9840,40.4521,19,6,82,0,16,0.000
Carnegie Coffee Co.,-80.0863,40.4077,19,5,48,0,16,0.000
Starbucks_7,-79.9459,40.4600,19,9,57,5,12,0.000
Courtyard By Marriot Valet Parking Lot,-79.9955,40.4448,19,1,187,0,23,0.000
Rankin Municipal Building,-79.8803,40.4128,19,2,123,3,0,0.000
UC Gymnasium,-79.9417,40.4433,19,2,56,2,18,0.000
Wean Hall,-79.9462,40.4428,19,3,50,5,18,0.000
Highland Park Club,-79.9256,40.4744,18,3,48,5,21,0.000
Chipotle Mexican Grill_2,-80.0019,40.4407,18,9,166,1,23,0.000
Lava Lounge,-79.9744,40.4285,18,11,361,6,5,0.000
