date,non_n,4sq_n,inst_n,job_n
2014-01-22,324,8,0,0
2014-01-23,4974,57,6,0
2014-01-24,4825,87,0,0
2014-01-25,4943,101,8,0
2014-01-26,5938,92,6,0
2014-01-27,6971,67,6,0
2014-01-28,5377,66,6,0
2014-01-29,5425,71,0,0
2014-01-30,4832,106,2,0
2014-01-31,4520,93,3,0
2014-02-01,4262,164,1,0
2014-02-02,6005,113,7,0
2014-02-03,8023,69,4,0
2014-02-04,4878,69,2,0
2014-02-05,5163,68,3,0
2014-02-06,4403,136,0,0
2014-02-07,4268,74,3,0
2014-02-08,4790,134,1,0
2014-02-09,4658,113,19,0
2014-02-10,4874,70,2,0
2014-02-11,4216,106,1,0
2014-02-12,4117,97,5,0
2014-02-13,4877,71,3,0
2014-02-14,4618,93,1,0
2014-02-15,5367,84,4,0
2014-02-16,4776,100,18,0
2014-02-17,4888,78,4,0
2014-02-18,5145,77,2,0
2014-02-19,4265,87,0,0
2014-02-20,3981,125,1,0
2014-02-21,4308,96,1,0
2014-02-22,4245,107,4,0
2014-02-23,4186,142,6,0
2014-02-24,4119,69,3,0
2014-02-25,4312,86,1,0
2014-02-26,3976,77,6,0
2014-02-27,4396,89,10,0
2014-02-28,4428,111,2,0
2014-03-01,4117,97,22,0
2014-03-02,4483,92,0,0
2014-03-03,5317,82,0,0
2014-03-04,3802,99,4,0
2014-03-05,3940,103,2,0
2014-03-06,3514,54,4,0
2014-03-07,4149,144,1,0
2014-03-08,3559,116,16,0
2014-03-09,3502,114,6,0
2014-03-10,3245,58,5,0
2014-03-11,3760,115,1,0
2014-03-12,3580,70,4,0
2014-03-13,3576,74,6,0
2014-03-14,4065,157,5,0
2014-03-15,4182,155,8,0
2014-03-16,5325,85,5,0
2014-03-17,4716,40,7,0
2014-03-18,4754,105,6,0
2014-03-19,4509,83,12,0
2014-03-20,5065,73,4,0
2014-03-21,6089,127,5,0
2014-03-22,5940,128,16,0
2014-03-23,5514,109,11,0
2014-03-24,4809,83,5,0
2014-03-25,5023,71,0,0
2014-03-26,4619,63,19,0
2014-03-27,4917,111,10,0
2014-03-28,5037,107,25,0
2014-03-29,4766,164,4,0
2014-03-30,4760,96,4,0
2014-03-31,6291,128,17,0
2014-04-01,4954,115,12,0
2014-04-02,4378,108,9,0
2014-04-03,5025,96,8,0
2014-04-04,4255,177,9,0
2014-04-05,4549,143,14,0
2014-04-06,5085,125,6,0
2014-04-07,4262,101,9,0
2014-04-08,4021,73,7,0
2014-04-09,4064,123,5,0
2014-04-10,4105,134,6,0
2014-04-11,3955,142,8,0
2014-04-12,4557,108,10,0
2014-04-13,4528,137,10,0
2014-04-14,4255,68,2,0
2014-04-15,4164,77,2,0
2014-04-16,4468,80,6,0
2014-04-17,4237,117,6,0
2014-04-18,4615,135,16,0
2014-04-19,4728,149,19,0
2014-04-20,5109,67,4,0
2014-04-21,3642,61,9,0
2014-04-22,4677,96,6,0
2014-04-23,4253,110,15,0
2014-04-24,4423,74,6,0
2014-04-25,4050,84,4,0
2014-04-26,4476,121,14,0
2014-04-27,3852,133,18,0
2014-04-28,3606,80,6,0
2014-04-29,4200,106,3,0
2014-04-30,3679,133,15,0
2014-05-01,3792,84,10,0
2014-05-02,4124,189,6,0
2014-05-03,4958,177,9,0
2014-05-04,4830,162,14,0
2014-05-05,3832,70,4,0
2014-05-06,3989,128,6,0
2014-05-07,3472,144,12,0
2014-05-08,3349,88,1,0
2014-05-09,4260,134,8,0
2014-05-10,4024,152,9,0
2014-05-11,4241,104,9,0
2014-05-12,3804,106,13,0
2014-05-13,3760,141,5,0
2014-05-14,4712,154,6,0
2014-05-15,3837,126,0,0
2014-05-16,3641,88,9,0
2014-05-17,3572,146,2,0
2014-05-18,3610,115,10,0
2014-05-19,3547,74,7,0
2014-05-20,3516,111,0,0
2014-05-21,3737,126,3,0
2014-05-22,3717,94,6,0
2014-05-23,3847,90,12,0
2014-05-24,3791,146,15,0
2014-05-25,3908,134,7,0
2014-05-26,3266,61,20,0
2014-05-27,3482,135,5,0
2014-05-28,3837,68,3,0
2014-05-29,3967,36,1,0
2014-05-30,3630,133,3,0
2014-05-31,3641,109,5,0
2014-06-01,3612,60,2,0
2014-06-02,3715,57,9,0
2014-06-03,3564,64,2,0
2014-06-04,3560,68,0,0
2014-06-05,3819,151,2,0
2014-06-06,4696,89,4,0
2014-06-07,4154,133,11,0
2014-06-08,4103,80,3,0
2014-06-09,3867,41,7,0
2014-06-10,4209,60,5,0
2014-06-11,4534,52,3,0
2014-06-12,4379,56,11,0
2014-06-13,4261,51,14,0
2014-06-14,4206,100,5,0
2014-06-15,3902,73,14,0
2014-06-16,4792,46,2,0
2014-06-17,4262,63,0,0
2014-06-18,4920,31,2,0
2014-06-19,5187,53,5,0
2014-06-20,4504,63,5,0
2014-06-21,4375,104,6,0
2014-06-22,5001,50,11,0
2014-06-23,3995,53,4,0
2014-06-24,4385,62,1,0
2014-06-25,4615,37,5,0
2014-06-26,4416,58,3,0
2014-06-27,4585,54,5,0
2014-06-28,4787,79,8,0
2014-06-29,4474,52,6,0
2014-06-30,5490,44,8,0
2014-07-01,5528,58,3,0
2014-07-02,4389,68,5,0
2014-07-03,4627,75,2,0
2014-07-04,5483,132,10,0
2014-07-05,5657,156,5,0
2014-07-06,4669,141,12,0
2014-07-07,4141,67,4,0
2014-07-08,4349,53,6,0
2014-07-09,4065,43,4,0
2014-07-10,3882,54,2,0
2014-07-11,4301,41,5,0
2014-07-12,3750,85,11,0
2014-07-13,4076,45,2,0
2014-07-14,4175,57,5,0
2014-07-15,3927,53,4,0
2014-07-16,3792,57,10,0
2014-07-17,4015,64,0,0
2014-07-18,4227,58,2,0
2014-07-19,3855,96,4,0
2014-07-20,4242,58,11,0
2014-07-21,4116,42,2,0
2014-07-22,4422,76,8,0
2014-07-23,4704,54,7,0
2014-07-24,4278,52,7,0
2014-07-25,3852,22,8,0
2014-07-26,3686,40,11,0
2014-07-27,4159,40,8,0
2014-07-28,3827,25,3,0
2014-07-29,3825,14,0,0
2014-07-30,4070,24,5,0
2014-07-31,4148,24,1,0
2014-08-01,4284,31,0,0
2014-08-02,3817,68,6,0
2014-08-03,4337,33,5,0
2014-08-04,3963,30,12,0
2014-08-05,4400,33,2,0
2014-08-06,4564,20,5,0
2014-08-07,4101,34,5,0
2014-08-08,4055,53,16,0
2014-08-09,4081,49,5,0
2014-08-10,4640,50,11,0
2014-08-11,4326,58,2,0
2014-08-12,4423,32,3,0
2014-08-13,3919,44,2,0
2014-08-14,3926,34,5,0
2014-08-15,116,2,0,0
2014-08-16,0,0,0,0
2014-08-17,0,0,0,0
2014-08-18,0,0,0,0
2014-08-19,0,0,0,0
2014-08-20,0,0,0,0
2014-08-21,717,17,3,0
2014-08-22,3330,24,9,0
2014-08-23,0,0,0,0
2014-08-24,0,0,0,0
2014-08-25,0,0,0,0
2014-08-26,0,0,0,0
2014-08-27,402,4,0,0
2014-08-28,3861,27,5,0
2014-08-29,3860,44,7,0
2014-08-30,4771,87,7,0
2014-08-31,3649,44,10,0
2014-09-01,3481,33,6,0
2014-09-02,3461,32,0,0
2014-09-03,3854,35,8,0
2014-09-04,3622,21,5,0
2014-09-05,2467,30,3,0
2014-09-06,0,0,0,0
2014-09-07,0,0,0,0
2014-09-08,0,0,0,0
2014-09-09,0,0,0,0
2014-09-10,0,0,0,0
2014-09-11,0,0,0,0
2014-09-12,0,0,0,0
2014-09-13,0,0,0,0
2014-09-14,0,0,0,0
2014-09-15,0,0,0,0
2014-09-16,0,0,0,0
2014-09-17,0,0,0,0
2014-09-18,0,0,0,0
2014-09-19,0,0,0,0
2014-09-20,0,0,0,0
2014-09-21,0,0,0,0
2014-09-22,0,0,0,0
2014-09-23,0,0,0,0
2014-09-24,0,0,0,0
2014-09-25,0,0,0,0
2014-09-26,0,0,0,0
2014-09-27,0,0,0,0
2014-09-28,0,0,0,0
2014-09-29,149,3,1,0
2014-09-30,2611,29,2,0
2014-10-01,3109,42,1,0
2014-10-02,3381,32,3,0
2014-10-03,2693,33,4,0
2014-10-04,2586,42,11,0
2014-10-05,2992,52,6,0
2014-10-06,2443,27,3,0
2014-10-07,2410,31,2,0
2014-10-08,2512,20,0,0
2014-10-09,2871,27,1,0
