doy,tweet_n
1,3022
2,2760
3,3019
4,4030
5,3153
6,2420
7,2193
8,2660
9,2268
10,2561
11,2701
12,2317
13,2526
14,2462
15,2447
16,2174
17,2245
18,2890
19,2281
20,2171
21,2762
22,2506
23,7120
24,6937
25,7175
26,8383
27,9003
28,7520
29,7561
30,6982
31,6913
32,6959
33,9992
34,10223
35,6890
36,7270
37,6836
38,7298
39,7594
40,7965
41,7191
42,6704
43,6750
44,7808
45,7436
46,8307
47,7575
48,7532
49,7783
50,7041
51,6666
52,7189
53,7150
54,6916
55,6144
56,6438
57,6142
58,6705
59,6701
60,6790
61,6745
62,7601
63,5922
64,6521
65,5814
66,6585
67,6166
68,5541
69,5563
70,6221
71,6344
72,6242
73,9844
74,14027
75,9698
76,8480
77,8086
78,6325
79,7514
80,8788
81,9961
82,8997
83,4897
84,11273
85,10609
86,8112
87,7469
88,6464
89,5442
90,6663
91,5247
92,4909
93,5648
94,4832
95,5079
96,5282
97,5248
98,6845
99,6888
100,5358
101,4412
102,4974
103,5049
104,4953
105,4732
106,5159
107,4541
108,4943
109,5195
110,6103
111,6931
112,7960
113,4607
114,4849
115,7513
116,9528
117,6543
118,4374
119,5043
120,4709
121,4616
122,4852
123,5553
124,5119
125,4027
126,4123
127,3738
128,3438
129,4402
130,4185
131,4700
132,4092
133,4102
134,5007
135,4101
136,3851
137,4075
138,4367
139,3780
140,3912
141,4688
142,4637
143,5250
144,5608
145,5191
146,4420
147,3622
148,3908
149,4034
150,3766
151,5583
152,5389
153,5362
154,4923
155,5264
156,5410
157,6430
158,6526
159,5461
160,4662
161,4893
162,5211
163,4446
164,4326
165,4311
166,4533
167,5061
168,4494
169,5160
170,5423
171,4787
172,4637
173,5226
174,4365
175,4824
176,4989
177,5023
178,5616
179,6255
180,5972
181,7038
182,7000
183,5812
184,7099
185,9409
186,9602
187,7283
188,7113
189,6909
190,6749
191,6584
192,7582
193,6523
194,6785
195,5566
196,5244
197,5477
198,5391
199,5655
200,4588
201,4897
202,4997
203,5399
204,6505
205,5702
206,4624
207,4575
208,4647
209,4422
210,4844
211,4803
212,4290
213,4315
214,3891
215,4375
216,4369
217,4832
218,4813
219,4535
220,4321
221,4225
222,4786
223,4407
224,4778
225,4495
226,4912
227,897
228,0
229,0
230,0
231,0
232,0
233,1542
234,4931
235,1796
236,1069
237,1104
238,984
239,1507
240,5598
241,5772
242,6329
243,4534
244,4178
245,4173
246,5185
247,4748
248,3858
249,982
250,1168
251,748
252,181
253,442
254,171
255,211
256,646
257,506
258,764
259,299
260,327
261,54
262,346
263,179
264,743
265,1151
266,1559
267,1482
268,1230
269,1563
270,2045
271,1746
272,2422
273,4790
274,6615
275,7913
276,6749
277,6267
278,5259
279,3518
280,3836
281,5403
282,4625
283,5126
284,3708
285,4104
286,2762
287,3199
288,2472
289,3489
290,3509
291,2280
292,562
293,1440
294,3007
295,2909
296,2922
297,3080
298,3919
299,4307
300,3116
301,3587
302,3845
303,3569
304,3626
305,4083
306,3700
307,3668
308,2611
309,3119
310,3132
311,2630
312,2994
313,543
314,1457
315,2485
316,2384
317,2722
318,2233
319,2811
320,3027
321,2294
322,2916
323,1894
324,282
325,2789
326,3439
327,2638
328,2864
329,2962
330,2308
331,2573
332,2034
333,2661
334,3034
335,2356
336,2400
337,2767
338,2407
339,2610
340,3123
341,3642
342,2731
343,3026
344,2874
345,2550
346,147
347,1095
348,3087
349,2735
350,2668
351,2499
352,2594
353,2562
354,2666
355,3523
356,2172
357,2435
358,2686
359,2489
360,2156
361,2466
362,2585
363,3086
364,2072
365,2186
