how,tweet_n
0,15600
1,16328
2,16690
3,15942
4,13885
5,10761
6,7211
7,4703
8,2490
9,1593
10,1364
11,2151
12,3969
13,6089
14,9142
15,11176
16,13353
17,15150
18,14612
19,13898
20,13392
21,13114
22,13515
23,16184
24,17883
25,21084
26,20350
27,17366
28,12409
29,7953
30,4860
31,2631
32,1516
33,1490
34,2336
35,4263
36,5499
37,6651
38,8009
39,9013
40,9558
41,10431
42,9811
43,10563
44,10423
45,11069
46,11749
47,13589
48,15139
49,17471
50,17547
51,14558
52,11344
53,7633
54,4355
55,2394
56,1641
57,1270
58,2412
59,4650
60,6085
61,6970
62,8373
63,9265
64,9790
65,10163
66,10260
67,10752
68,11371
69,11826
70,12418
71,13630
72,15386
73,16967
74,17381
75,14630
76,11563
77,7448
78,4291
79,2545
80,1586
81,1415
82,2877
83,4556
84,6181
85,7478
86,8013
87,9296
88,10690
89,10865
90,10739
91,10988
92,11493
93,11704
94,12721
95,14317
96,15982
97,17566
98,18832
99,15523
100,11404
101,7943
102,4809
103,2869
104,1618
105,1404
106,2580
107,4867
108,6373
109,7640
110,9056
111,10202
112,11407
113,11396
114,11291
115,11820
116,11754
117,12001
118,13204
119,14665
120,16078
121,16858
122,17580
123,15496
124,11760
125,8299
126,5075
127,2726
128,1684
129,1336
130,2691
131,4493
132,6458
133,7644
134,9361
135,10109
136,11232
137,11647
138,10780
139,10871
140,11721
141,11365
142,12622
143,13455
144,14238
145,15123
146,15866
147,14396
148,12299
149,8913
150,5863
151,3539
152,2237
153,1422
154,1278
155,2487
156,4435
157,6711
158,9096
159,11559
160,12538
161,12926
162,13352
163,14053
164,13654
165,13719
166,14023
167,15245
