doy,non,4sq,inst,job
1,2987,33,2,0
2,2723,31,6,0
3,2984,30,5,0
4,3985,37,8,0
5,3139,14,0,0
6,2400,20,0,0
7,2165,25,3,0
8,2639,21,0,0
9,2255,11,2,0
10,2515,37,9,0
11,2674,26,1,0
12,2303,13,1,0
13,2489,31,6,0
14,2435,23,4,0
15,2418,26,3,0
16,2151,23,0,0
17,2213,24,8,0
18,2857,31,2,0
19,2255,22,4,0
20,2142,29,0,0
21,2742,19,1,0
22,2471,35,0,0
23,7033,81,6,0
24,6809,123,5,0
25,7002,154,19,0
26,8267,104,12,0
27,8905,87,11,0
28,7412,95,13,0
29,7468,92,1,0
30,6830,144,8,0
31,6767,143,3,0
32,6754,197,8,0
33,9848,137,7,0
34,10132,87,4,0
35,6794,93,3,0
36,7181,86,3,0
37,6659,175,2,0
38,7163,124,11,0
39,7412,180,2,0
40,7812,130,23,0
41,7093,91,7,0
42,6571,129,4,0
43,6629,114,7,0
44,7711,92,5,0
45,7299,126,11,0
46,8185,110,12,0
47,7432,121,22,0
48,7416,109,7,0
49,7671,108,4,0
50,6932,107,2,0
51,6501,157,8,0
52,7055,131,3,0
53,7002,138,10,0
54,6756,153,7,0
55,6045,95,4,0
56,6317,117,4,0
57,6009,125,8,0
58,6581,113,11,0
59,6528,165,8,0
60,6606,139,45,0
61,6624,117,4,0
62,7496,104,1,0
63,5788,130,4,0
64,6402,117,2,0
65,5736,69,9,0
66,6389,185,11,0
67,5987,163,16,0
68,5396,136,9,0
69,5471,87,5,0
70,6088,129,4,0
71,6233,104,7,0
72,6135,99,8,0
73,9581,237,26,0
74,13733,277,17,0
75,9571,122,5,0
76,8404,63,13,0
77,7933,142,11,0
78,6215,97,13,0
79,7408,98,8,0
80,8588,186,14,0
81,9757,184,20,0
82,8865,117,15,0
83,4809,83,5,0
84,11144,124,5,0
85,10417,124,31,37
86,7973,129,10,0
87,7244,146,43,36
88,6270,186,7,1
89,5332,96,4,10
90,6516,128,17,2
91,5120,115,12,0
92,4787,111,11,0
93,5535,105,8,0
94,4641,182,9,0
95,4915,150,14,0
96,5151,125,6,0
97,5125,111,12,0
98,6740,96,9,0
99,6728,153,7,0
100,5209,141,8,0
101,4256,148,8,0
102,4852,110,12,0
103,4893,144,12,0
104,4875,76,2,0
105,4652,78,2,0
106,5071,82,6,0
107,4416,118,7,0
108,4790,137,16,0
109,5020,156,19,0
110,6009,80,14,0
111,6838,80,13,0
112,7829,119,12,0
113,4480,112,15,0
114,4765,78,6,0
115,7387,112,14,0
116,9345,160,23,0
117,6372,149,22,0
118,4272,94,8,0
119,4898,137,8,0
120,4523,167,19,0
121,4499,105,12,0
122,4650,196,6,0
123,5360,184,9,0
124,4934,171,14,0
125,3951,72,4,0
126,3989,128,6,0
127,3578,148,12,0
128,3349,88,1,0
129,4260,134,8,0
130,4024,152,9,0
131,4577,114,9,0
132,3968,111,13,0
133,3956,141,5,0
134,4840,159,8,0
135,3959,142,0,0
136,3744,98,9,0
137,3911,157,7,0
138,4222,130,15,0
139,3698,75,7,0
140,3791,121,0,0
141,4535,146,7,0
142,4480,148,9,0
143,5093,126,31,0
144,5378,195,35,0
145,5011,161,19,0
146,4301,92,27,0
147,3482,135,5,0
148,3837,68,3,0
149,3997,36,1,0
150,3630,133,3,0
151,5354,163,14,52
152,5215,100,8,66
153,5183,100,9,70
154,4754,98,12,59
155,5061,119,7,77
156,5151,195,8,56
157,6186,179,23,42
158,6219,211,33,63
159,5292,102,25,42
160,4553,67,9,33
161,4764,89,8,32
162,5106,75,4,26
163,4379,56,11,0
164,4261,51,14,0
165,4206,100,5,0
166,4400,79,16,38
167,4995,48,2,16
168,4421,65,0,8
169,5110,36,4,10
170,5347,63,5,8
171,4705,73,5,4
172,4508,111,8,10
173,5148,52,11,15
174,4273,73,4,15
175,4712,87,5,20
176,4923,41,6,19
177,4845,67,4,107
178,5385,87,19,125
179,5932,136,30,157
180,5648,86,10,228
181,6625,88,19,306
182,6697,80,10,213
183,5514,92,19,187
184,6597,188,22,292
185,8765,269,48,327
186,8995,245,51,311
187,6553,224,40,466
188,6496,142,21,454
189,6356,209,37,307
190,6177,243,11,318
191,6147,231,7,199
192,7121,225,11,225
193,5977,313,41,192
194,6358,160,16,251
195,5221,98,11,236
196,4894,139,18,193
197,5098,103,14,262
198,5097,99,3,192
199,5372,109,16,158
200,4380,120,15,73
201,4713,77,20,87
202,4787,70,11,129
203,5108,105,15,171
204,6036,132,15,322
205,5384,114,14,190
206,4510,42,17,55
207,4371,79,14,111
208,4476,48,9,114
209,4272,34,3,113
210,4627,42,0,175
211,4604,43,8,148
212,4257,24,1,8
213,4284,31,0,0
214,3817,68,6,0
215,4337,33,5,0
