date,pos_n,neg_n,avg_senti
2014-01-22,32,62,-5.450
2014-01-23,664,809,56.242
2014-01-24,696,724,126.293
2014-01-25,745,746,129.704
2014-01-26,895,890,180.465
2014-01-27,1195,975,346.896
2014-01-28,745,830,111.620
2014-01-29,734,899,53.390
2014-01-30,667,727,121.687
2014-01-31,633,635,134.445
2014-02-01,677,566,178.503
2014-02-02,961,864,239.636
2014-02-03,1367,1252,285.516
2014-02-04,702,700,156.528
2014-02-05,660,843,50.249
2014-02-06,684,668,132.151
2014-02-07,559,586,125.476
2014-02-08,708,666,150.830
2014-02-09,745,620,195.387
2014-02-10,711,664,177.552
2014-02-11,559,663,75.168
2014-02-12,567,549,127.263
2014-02-13,695,748,115.497
2014-02-14,811,535,296.540
2014-02-15,818,713,214.802
2014-02-16,805,634,222.687
2014-02-17,655,745,100.099
2014-02-18,737,805,105.324
2014-02-19,659,552,170.329
2014-02-20,572,556,122.013
2014-02-21,638,584,144.788
2014-02-22,686,549,204.880
2014-02-23,611,582,133.642
2014-02-24,578,649,86.377
2014-02-25,568,658,78.867
2014-02-26,599,606,116.708
2014-02-27,630,635,122.541
2014-02-28,630,613,154.783
2014-03-01,768,503,259.807
2014-03-02,668,683,110.543
2014-03-03,950,744,294.098
2014-03-04,517,507,108.834
2014-03-05,569,537,146.741
2014-03-06,524,512,99.470
2014-03-07,693,592,164.600
2014-03-08,572,446,169.378
2014-03-09,601,507,137.442
2014-03-10,532,420,152.049
2014-03-11,608,474,172.198
2014-03-12,534,518,115.648
2014-03-13,519,482,124.556
2014-03-14,568,538,155.450
2014-03-15,716,554,163.689
2014-03-16,854,813,185.811
2014-03-17,618,727,78.462
2014-03-18,603,676,95.469
2014-03-19,587,672,86.334
2014-03-20,758,737,155.098
2014-03-21,869,948,128.184
2014-03-22,944,865,203.834
2014-03-23,808,730,196.407
2014-03-24,724,703,136.749
2014-03-25,659,780,93.400
2014-03-26,539,678,76.547
2014-03-27,656,655,169.022
2014-03-28,745,759,132.967
2014-03-29,753,603,184.197
2014-03-30,741,683,191.045
2014-03-31,1006,744,303.069
2014-04-01,674,699,152.360
2014-04-02,602,598,121.404
2014-04-03,733,704,164.293
2014-04-04,598,558,126.334
2014-04-05,708,508,225.416
2014-04-06,869,724,201.098
2014-04-07,601,658,123.760
2014-04-08,570,529,134.406
2014-04-09,527,533,106.873
2014-04-10,638,514,187.352
2014-04-11,621,501,166.701
2014-04-12,702,631,169.234
2014-04-13,734,606,234.176
2014-04-14,589,606,120.982
2014-04-15,539,570,94.458
2014-04-16,661,607,175.273
2014-04-17,660,557,164.368
2014-04-18,788,640,217.922
2014-04-19,775,576,225.435
