doy,pos_n,neg_n,avg_senti
1,597,345,219.268
2,417,370,96.245
3,438,431,74.189
4,601,625,85.476
5,342,454,-31.848
6,317,387,26.498
7,337,302,80.110
8,406,434,68.096
9,279,320,42.153
10,369,358,80.708
11,418,380,102.146
12,334,328,82.764
13,377,378,86.888
14,624,284,205.316
15,517,314,141.612
16,313,312,54.916
17,356,255,120.475
18,473,418,98.738
19,387,277,124.372
20,305,281,74.829
21,332,378,63.107
22,346,343,79.998
23,965,1068,131.623
24,1014,961,218.455
25,1094,994,247.737
26,1224,1225,233.334
27,1463,1251,418.066
28,1045,1097,210.368
29,1067,1186,134.104
30,991,965,229.014
31,1000,836,286.888
32,1126,845,337.078
33,1601,1440,362.012
34,1645,1526,372.862
35,1001,917,259.067
36,964,1080,144.353
37,1103,899,283.198
38,1004,968,257.850
39,1120,1014,259.996
40,1257,1069,309.031
41,1049,945,263.736
42,873,963,151.439
43,943,863,232.834
44,1267,1056,313.278
45,1311,839,495.157
46,1368,1057,380.300
47,1192,952,347.631
48,1028,1081,212.018
49,1091,1166,163.556
50,1018,941,233.718
51,934,896,200.959
52,1104,894,306.210
53,1131,849,364.964
54,1046,918,250.328
55,812,884,146.936
56,848,927,145.744
57,847,844,190.097
58,932,909,213.634
59,956,847,275.859
60,1143,776,386.039
61,945,977,163.499
62,1230,1024,360.435
63,757,787,146.365
64,886,921,180.528
65,846,777,211.550
66,1022,862,257.412
67,984,704,313.899
68,892,703,252.671
69,863,688,255.028
70,994,755,291.962
71,940,848,224.956
72,948,802,269.263
73,1564,1098,520.662
74,2370,1727,721.439
75,1541,1390,367.075
76,1188,1247,220.825
77,1075,1043,224.828
78,834,932,133.250
79,1109,1006,261.072
80,1248,1234,265.426
81,1569,1342,402.744
82,1348,1261,294.005
83,724,703,136.749
84,1529,1639,286.663
85,1299,1391,279.615
86,1121,1058,285.370
87,1089,963,284.137
88,1010,797,268.434
89,826,764,209.652
90,1033,782,303.503
91,703,720,160.316
92,671,646,143.273
93,802,759,185.336
94,670,593,148.182
95,793,554,264.426
96,877,739,199.903
97,727,766,159.514
98,970,899,230.436
99,927,846,229.794
100,819,654,238.568
101,682,527,188.327
102,757,656,195.132
103,806,629,276.587
104,691,658,169.026
105,618,610,131.171
106,767,660,220.677
107,695,567,183.155
108,831,643,244.502
109,838,601,247.772
110,1020,786,339.395
111,986,911,231.056
112,1235,980,380.691
113,692,569,207.682
114,688,560,215.009
115,1076,892,307.020
116,1444,1104,433.821
117,1061,787,341.052
118,613,523,181.684
119,644,703,111.614
120,593,534,157.873
121,661,605,162.230
122,668,570,182.920
123,800,646,235.954
124,733,622,204.347
125,553,459,159.493
126,589,512,155.925
127,534,447,151.433
128,545,408,180.701
129,676,542,200.027
130,612,546,151.662
131,780,579,249.075
132,558,548,117.872
133,612,513,187.127
134,642,717,82.296
135,533,554,116.766
