how,pos_n,neg_n,avg_senti
0,2330,1756,766.630
1,2661,1881,885.038
2,2698,2121,711.131
3,2485,2291,540.344
4,2292,1934,538.005
5,1647,1585,293.170
6,1070,1087,162.488
7,673,766,66.085
8,296,372,15.930
9,216,185,66.232
10,165,158,33.638
11,250,172,96.740
12,675,290,311.189
13,1062,569,444.073
14,1591,796,704.618
15,1798,1119,683.625
16,2021,1363,735.882
17,2274,1691,737.226
18,2129,1602,746.065
19,2006,1581,590.687
20,2034,1521,649.641
21,2085,1402,704.643
22,2115,1523,671.428
23,2560,2006,752.807
24,2875,2265,767.896
25,3383,2988,842.716
26,3371,2958,789.436
27,2733,2681,524.331
28,2012,1912,393.120
29,1106,1204,163.505
30,630,674,84.675
31,310,377,19.111
32,167,195,29.668
33,174,173,38.344
34,320,299,68.056
35,553,627,94.028
36,722,617,217.364
37,948,767,298.203
38,998,870,308.923
39,1260,925,419.851
40,1238,1087,354.991
41,1347,1169,389.230
42,1244,1084,358.581
43,1379,1281,347.520
44,1457,1151,461.471
45,1486,1282,420.500
46,1553,1395,407.072
47,1911,1642,562.016
48,2213,2061,519.325
49,2382,2372,537.913
50,2585,2629,487.421
51,1990,2302,279.353
52,1672,1808,246.050
53,1029,1200,136.205
54,569,603,91.167
55,272,371,2.505
56,179,223,9.814
57,129,170,11.063
58,294,322,36.069
59,644,633,135.103
60,796,693,250.406
61,916,752,309.863
62,1124,991,327.037
63,1221,1049,380.660
64,1376,1036,487.634
65,1335,1204,359.223
66,1337,1207,358.983
67,1386,1367,315.791
68,1536,1368,409.291
69,1495,1352,443.163
70,1687,1447,495.373
71,1949,1597,573.781
72,2202,1855,612.027
73,2487,2407,528.338
74,2724,2600,501.617
75,2104,2229,371.649
76,1688,1693,295.191
77,1019,1181,107.983
78,467,723,-43.149
79,328,419,5.557
80,168,231,5.287
81,160,171,29.746
82,327,416,39.201
83,648,611,142.646
84,789,720,218.658
85,1017,872,340.088
86,1126,914,324.533
87,1153,1074,348.498
88,1428,1199,444.109
89,1530,1229,473.730
90,1386,1221,415.772
91,1435,1327,398.396
92,1582,1359,414.738
93,1517,1396,398.572
94,1651,1393,507.874
95,2041,1610,623.482
96,2403,1962,656.433
97,2622,2321,632.162
98,2795,2718,559.314
99,2279,2325,458.350
100,1798,1620,399.377
101,1191,1198,202.539
102,643,833,20.130
103,333,462,-1.991
104,161,225,1.710
105,157,189,26.104
106,256,335,31.809
107,616,642,146.006
108,803,653,281.721
109,1094,769,403.986
110,1296,969,453.436
111,1477,1120,502.039
112,1529,1167,537.498
113,1601,1224,519.066
114,1464,1176,463.464
115,1592,1344,443.018
116,1524,1510,339.871
117,1650,1347,524.139
118,1817,1505,553.795
119,2192,1545,789.047
120,2224,1873,648.936
121,2385,2243,556.335
122,2618,2508,528.921
123,2166,2281,358.921
124,1899,1772,332.211
125,1298,1209,264.485
126,597,779,40.379
127,363,420,43.795
128,222,248,24.504
129,196,160,47.715
130,356,287,141.126
131,773,476,321.019
132,951,689,356.894
133,1145,845,405.047
134,1466,954,510.570
135,1416,1050,486.722
136,1698,1256,575.770
137,1610,1308,526.928
138,1528,1144,505.113
139,1527,1206,489.627
140,1658,1306,477.396
141,1629,1167,551.378
142,1743,1191,611.109
143,1873,1388,632.538
144,2123,1365,739.264
145,2394,1725,751.274
146,2421,2011,641.390
147,2360,1848,634.781
148,2026,1733,458.658
149,1402,1240,310.445
150,861,924,132.880
151,497,583,21.007
152,265,379,-2.900
153,171,199,9.092
154,154,146,26.636
155,335,234,135.566
156,585,405,223.093
157,1047,588,445.945
158,1420,966,480.031
159,1870,1107,722.637
160,1897,1235,699.602
161,1911,1355,655.945
162,1880,1451,600.943
163,2056,1488,699.465
164,2052,1341,778.554
165,1996,1348,726.215
166,2123,1387,748.032
167,2380,1526,856.862
