term,count
-80.0653,398
-79.9773,375
-1,325
-80.0201,203
-80.0851,190
-79.9930,136
-79.9789,136
-79.9929,130
-79.9790,126
-79.9645,124
-79.9014,119
-79.9791,109
-80.0060,100
-79.9888,100
-80.0063,99
-79.9640,96
-79.9389,95
-79.9031,87
-80.0158,84
-79.9030,83
-79.9390,83
-80.0083,78
-80.0850,76
-79.9391,75
-79.9021,73
-79.9896,71
-80.0852,69
-80.0050,69
-79.9887,68
-80.0200,64
-80.0202,60
-79.9013,58
-80.0082,55
-80.0068,54
-79.9032,52
-79.9897,50
-79.9639,50
-79.9628,50
-79.9641,50
-79.9631,49
-79.9388,49
-80.0160,49
-79.9251,48
-80.0149,46
-79.9931,45
-79.9895,44
-80.0064,44
-79.9253,44
-79.9886,42
-79.9643,42
-79.9928,41
-79.9020,39
-79.9816,39
-80.0051,39
-79.9868,38
-79.9027,37
-80.0065,37
-80.0061,37
-80.0069,37
-79.9618,35
-79.9627,35
-79.9250,34
-79.9646,34
-79.9619,33
-79.9652,33
-79.9392,33
-79.9829,33
-79.9626,33
-79.9254,33
-79.9649,33
-79.9793,32
-79.9617,32
-79.9638,32
-79.9632,32
-80.0049,31
-79.9792,31
-80.0123,31
-79.9012,31
-79.9504,30
-79.9249,30
