,cluster0,,cluster1,,cluster2,,cluster3,,cluster4,,cluster5,,cluster6,,cluster10,,cluster11,,cluster12,,cluster13,,cluster15,,cluster16,,cluster18,
date,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n
2014-01-22,4.998,3,4.668,3,2.563,2,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
2014-01-23,63.255,39,90.425,58,68.598,38,36.388,22,4.385,3,4.976,2,1.130,1,27.063,17,9.615,6,2.173,2,2.842,2,3.132,3,7.528,4,3.654,2
2014-01-24,83.654,50,83.924,56,41.635,25,42.966,22,0.000,0,0.000,0,3.639,3,14.403,9,9.871,7,3.389,2,4.972,3,3.667,3,3.368,2,1.115,1
2014-01-25,48.202,30,86.466,50,19.650,13,51.860,31,1.387,1,0.000,0,6.015,3,5.234,2,22.460,14,5.759,3,2.173,1,0.000,0,1.769,1,1.115,1
2014-01-26,74.204,45,93.168,54,36.011,23,36.711,22,2.810,2,1.916,1,8.516,5,15.117,11,21.486,13,3.611,3,4.569,3,3.303,2,5.026,4,8.001,3
2014-01-27,100.977,60,102.104,62,127.438,77,67.394,41,11.910,8,3.811,3,0.000,0,7.359,5,64.954,40,4.300,3,1.122,1,2.588,2,0.000,0,12.740,10
2014-01-28,57.543,39,77.349,51,77.243,47,20.116,12,6.446,3,7.927,4,2.964,2,2.810,2,11.619,7,8.980,6,0.000,0,2.088,2,2.774,2,2.710,2
2014-01-29,56.493,34,103.151,63,47.590,32,13.295,9,11.768,7,7.043,4,2.381,2,1.158,1,26.095,18,0.000,0,2.981,2,18.316,8,4.496,2,4.618,2
2014-01-30,90.075,49,112.769,66,22.588,16,19.647,12,11.501,5,5.190,3,1.905,1,3.707,3,1.262,1,5.760,4,1.998,1,0.000,0,1.012,1,11.290,6
2014-01-31,41.274,30,80.158,52,63.053,34,19.398,13,4.491,4,4.219,4,27.800,18,8.156,6,19.297,13,3.321,2,4.147,3,3.513,3,8.464,4,2.010,2
2014-02-01,56.220,37,80.345,51,56.376,30,54.426,34,4.447,3,0.000,0,8.524,6,15.327,10,7.357,4,7.360,5,4.707,3,9.392,4,3.282,2,6.920,4
2014-02-02,60.373,42,111.258,64,30.444,17,59.901,39,4.480,3,14.964,8,11.956,8,11.147,8,52.295,31,10.148,4,2.331,2,1.548,1,1.097,1,10.466,6
2014-02-03,66.456,43,189.262,118,61.365,39,61.223,41,1.076,1,8.553,5,13.487,8,9.474,5,90.688,64,12.879,6,2.130,2,2.216,1,0.000,0,17.165,11
2014-02-04,86.396,51,101.411,63,55.359,34,33.858,21,4.332,4,0.000,0,0.000,0,18.717,10,3.410,2,2.406,1,1.090,1,1.719,1,0.000,0,3.428,1
2014-02-05,63.932,42,104.996,63,42.737,27,21.736,12,12.701,9,0.000,0,1.148,1,8.358,6,9.102,6,0.000,0,2.273,1,0.000,0,2.496,2,0.000,0
2014-02-06,100.492,65,97.964,61,40.275,22,26.127,14,9.123,7,4.951,3,5.065,2,3.824,2,4.200,2,6.856,2,3.224,2,0.000,0,23.122,14,0.000,0
2014-02-07,74.168,45,105.088,62,41.774,24,24.968,15,0.000,0,0.000,0,8.793,7,7.228,6,8.555,5,5.713,4,0.000,0,13.278,6,0.000,0,6.240,3
2014-02-08,103.739,65,80.178,46,66.270,38,36.073,25,12.466,8,14.631,9,13.262,9,8.660,6,16.687,9,14.516,7,8.003,5,0.000,0,0.000,0,9.980,4
2014-02-09,77.964,47,120.313,74,31.424,17,34.079,23,5.667,4,2.810,2,1.044,1,12.800,8,18.566,11,4.794,3,12.687,8,1.101,1,0.000,0,4.911,3
2014-02-10,116.893,64,89.758,57,26.259,17,18.137,12,0.000,0,0.000,0,1.827,1,6.877,5,10.267,7,4.472,2,4.268,3,0.000,0,13.502,9,2.216,2
2014-02-11,66.080,46,87.143,53,35.273,22,15.481,10,3.910,3,2.430,2,3.382,3,5.523,4,3.971,3,2.531,2,1.133,1,0.000,0,5.334,2,2.652,2
2014-02-12,72.350,47,80.349,46,48.474,31,26.702,16,5.981,4,5.284,4,2.846,2,11.502,7,10.615,7,0.000,0,3.364,3,4.660,4,7.111,4,5.205,3
2014-02-13,72.209,48,115.566,71,34.173,21,41.087,23,8.083,6,0.000,0,7.804,4,12.376,6,20.573,13,1.326,1,4.444,3,6.939,4,0.000,0,0.000,0
