cluster,inst-doy,inst-how,4sq-doy,4sq-how
downtown,0.06501,0.05144,0.02715,0.41823
oakland,0.03078,0.03438,0.10131,0.18163
console energy center,0.19122,-0.07495,0.30607,-0.13524
southside,0.04229,0.29022,0.02988,0.15624
pnc park,0.06547,0.04656,-0.03646,-0.15216
heinz field,0.10982,0.00708,-0.11799,-0.00577
strip district,0.06042,0.27053,0.04709,0.26360
cmu,0.02499,-0.04087,0.08081,0.08733
pitts tech center,-0.06256,-0.04872,-0.01799,0.00904
southside works,-0.05515,-0.01868,-0.08637,0.27137
station square,0.07156,0.03219,-0.04575,0.14051
east liberty,-0.07019,0.06231,-0.01377,0.13269
lower lawrenceville,-0.04133,-0.00286,0.00253,0.08068
shadyside,-0.01823,-0.09287,-0.01641,0.23733
