,cluster0,,cluster1,,cluster2,,cluster3,,cluster4,,cluster5,,cluster6,,cluster10,,cluster11,,cluster12,,cluster13,,cluster15,,cluster16,,cluster18,
doy,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n
1,65.687,43,1.637,1,24.164,17,19.772,13,6.997,5,18.785,13,5.220,5,1.555,1,3.217,2,4.545,4,11.195,5,7.470,4,3.032,2,13.692,10
2,32.967,22,6.205,4,0.000,0,13.631,8,4.404,2,10.082,7,4.019,3,0.000,0,0.000,0,4.719,3,1.083,1,2.327,1,0.000,0,0.000,0
3,28.245,16,13.068,7,23.208,14,9.370,7,2.141,1,15.802,10,23.383,12,0.000,0,1.212,1,2.821,2,7.435,5,0.000,0,0.000,0,0.000,0
4,54.504,32,10.510,8,16.923,10,16.816,11,3.737,3,120.858,76,3.368,2,0.000,0,1.305,1,0.000,0,7.488,4,2.088,2,4.182,3,0.000,0
5,16.673,14,28.393,18,0.000,0,9.254,6,4.408,3,3.602,3,9.501,4,0.000,0,0.000,0,2.638,2,4.783,2,4.104,2,0.000,0,0.000,0
6,16.563,11,35.928,23,2.659,2,21.574,14,0.000,0,0.000,0,11.110,8,0.000,0,0.000,0,0.000,0,4.962,4,9.022,6,0.000,0,0.000,0
7,15.086,10,40.784,21,9.155,7,27.746,17,0.000,0,0.000,0,4.075,2,0.000,0,0.000,0,4.593,2,0.000,0,0.000,0,0.000,0,1.387,1
8,46.208,31,36.044,21,43.696,27,15.171,11,1.137,1,0.000,0,0.000,0,0.000,0,1.044,1,0.000,0,2.460,2,3.790,2,12.000,8,0.000,0
9,22.173,14,22.783,15,17.559,12,20.847,14,0.000,0,4.648,3,5.916,2,5.018,2,0.000,0,7.401,5,0.000,0,5.940,4,0.000,0,4.440,2
10,17.101,12,35.356,22,8.909,6,35.298,23,9.036,4,0.000,0,6.643,5,0.000,0,0.000,0,4.243,3,5.212,3,6.573,3,0.000,0,4.278,3
11,21.225,14,63.357,36,25.811,15,25.616,18,0.000,0,1.637,1,8.200,7,0.000,0,1.916,1,12.176,9,1.165,1,0.000,0,0.000,0,5.994,3
12,31.363,21,45.569,26,27.476,15,16.457,10,2.938,2,1.090,1,3.293,3,0.000,0,8.104,4,1.373,1,1.044,1,14.642,8,0.000,0,2.652,2
13,57.780,29,62.572,38,14.812,10,20.316,11,5.440,4,0.000,0,7.709,5,0.000,0,6.595,3,1.727,1,0.000,0,5.220,3,0.000,0,2.974,2
14,52.670,33,21.392,14,36.037,23,16.695,10,0.000,0,0.000,0,6.075,5,0.000,0,0.000,0,3.135,2,1.148,1,0.000,0,5.220,5,0.000,0
15,67.661,36,31.724,21,18.360,11,32.622,20,0.000,0,8.327,5,14.857,10,0.000,0,0.000,0,3.164,2,0.000,0,7.158,5,0.000,0,1.137,1
16,35.780,24,32.713,19,15.856,8,18.145,11,4.307,3,1.391,1,1.684,1,5.812,4,2.795,2,1.405,1,0.000,0,0.000,0,3.996,2,0.000,0
17,49.726,33,41.102,25,16.297,11,14.545,8,2.688,2,4.643,3,13.502,8,0.000,0,2.391,2,1.287,1,4.054,2,4.471,3,0.000,0,2.796,2
18,52.265,35,33.307,20,19.628,13,46.957,26,1.684,1,0.000,0,12.900,11,7.923,6,8.936,6,9.734,4,6.164,4,7.600,5,4.161,3,2.424,2
19,34.633,23,20.386,14,23.562,16,27.672,15,3.704,2,1.112,1,0.000,0,5.448,4,9.009,6,7.507,4,2.652,2,0.000,0,0.000,0,3.057,3
20,69.918,39,32.587,21,11.970,7,18.957,10,8.654,5,0.000,0,1.777,1,0.000,0,1.401,1,1.827,1,0.000,0,5.316,3,0.000,0,0.000,0
21,74.254,41,20.723,15,19.805,12,14.434,10,0.000,0,5.537,3,17.442,11,0.000,0,2.713,2,0.000,0,2.088,2,2.188,2,0.000,0,0.000,0
22,54.795,36,54.383,37,57.587,33,3.925,2,0.000,0,2.588,2,3.132,3,4.440,3,6.392,4,0.000,0,1.341,1,2.202,2,0.000,0,2.832,2
23,97.924,62,116.333,73,91.525,53,76.371,48,4.385,3,7.000,4,10.616,6,29.651,19,12.110,8,3.857,3,2.842,2,9.838,7,11.776,7,7.632,5
24,133.565,82,127.587,82,59.223,36,68.726,36,1.008,1,21.733,14,5.126,4,14.403,9,10.890,8,11.082,8,5.977,4,6.269,5,20.117,10,1.115,1
25,92.355,57,106.813,63,29.591,21,85.546,53,3.503,3,2.446,2,14.281,8,13.413,7,29.222,18,9.823,6,2.173,1,0.000,0,5.555,4,1.115,1
26,140.686,87,128.445,78,44.476,29,41.108,25,4.168,3,1.916,1,14.040,10,36.400,23,27.878,18,4.708,4,7.471,5,6.035,4,5.026,4,8.001,3
27,148.857,87,138.707,86,145.132,88,79.260,47,11.910,8,3.811,3,4.708,4,9.919,7,67.106,41,6.981,5,1.122,1,2.588,2,0.000,0,12.740,10
28,124.836,79,131.381,85,134.300,80,46.035,27,10.782,6,9.010,5,4.633,3,12.559,7,13.235,8,12.148,8,2.956,1,5.234,4,2.774,2,2.710,2
29,101.998,63,156.994,96,68.724,45,47.049,31,14.028,9,13.854,9,6.929,5,1.158,1,28.283,20,0.000,0,4.107,3,21.468,10,7.720,4,4.618,2
30,150.634,83,154.818,93,47.110,32,36.719,23,12.609,6,8.858,5,6.870,5,6.273,5,4.386,3,10.404,7,3.213,2,3.504,2,3.372,3,11.290,6
31,57.242,41,141.007,93,87.897,49,47.164,31,8.062,6,8.651,6,43.436,28,8.156,6,21.070,14,3.321,2,5.741,4,4.678,4,15.276,8,2.010,2
