,cluster0,,cluster1,,cluster2,,cluster3,,cluster4,,cluster5,,cluster6,,cluster10,,cluster11,,cluster12,,cluster13,,cluster15,,cluster16,,cluster18,
how,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n
0,288.473,178,177.641,102,175.001,110,91.394,58,261.443,158,118.603,78,70.693,40,25.202,18,27.255,15,51.083,26,45.540,27,32.386,24,18.326,8,29.226,18
1,352.582,213,164.307,102,246.329,143,198.232,125,150.184,98,131.227,82,52.104,33,31.800,21,31.910,21,59.810,36,32.017,20,38.370,23,29.965,19,24.651,14
2,392.538,251,218.964,142,175.878,101,160.718,101,218.245,131,112.244,75,42.069,26,18.206,10,9.126,7,41.540,27,42.610,25,13.501,12,18.198,11,20.974,13
3,346.585,215,227.580,135,141.998,86,226.599,153,138.045,80,118.082,76,78.797,46,14.619,9,12.641,9,23.728,15,18.684,13,12.865,9,29.380,17,16.018,7
4,262.635,166,234.924,143,91.534,55,298.936,178,78.286,48,82.689,53,59.805,39,8.957,5,46.012,24,14.062,8,44.545,27,6.331,5,21.899,17,20.426,12
5,143.736,90,169.626,102,30.616,21,178.203,108,42.536,27,41.022,25,54.018,35,19.302,10,11.854,6,18.851,9,10.717,6,13.026,6,6.230,5,12.324,10
6,128.917,72,146.746,88,48.253,31,121.427,75,13.334,9,10.027,8,10.627,9,4.618,4,15.382,8,1.648,1,13.219,7,1.283,1,25.090,12,8.166,6
7,62.939,35,85.346,46,44.133,22,45.632,29,20.020,11,14.486,10,6.223,4,0.000,0,24.666,12,0.000,0,3.052,2,0.000,0,0.000,0,10.187,5
8,11.350,7,35.688,23,6.709,3,24.737,16,0.000,0,0.000,0,1.487,1,11.989,7,8.804,6,0.000,0,0.000,0,3.940,2,0.000,0,0.000,0
9,27.723,18,15.339,12,0.000,0,12.604,7,3.711,3,5.685,3,1.022,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,8.001,3
10,24.971,15,10.760,6,1.355,1,8.069,5,0.000,0,14.206,8,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,12.793,4,0.000,0
11,39.717,29,14.353,8,12.288,10,7.042,4,0.000,0,15.081,11,5.202,3,3.345,3,0.000,0,1.248,1,2.584,2,3.096,2,0.000,0,4.546,2
12,131.803,85,39.203,23,11.610,9,36.280,24,12.652,7,42.240,26,10.691,8,0.000,0,0.000,0,3.818,2,4.750,3,2.742,2,3.202,2,0.000,0
13,133.683,78,59.158,39,56.117,38,29.394,19,40.301,25,42.379,27,39.272,27,17.374,10,15.604,9,2.510,2,19.972,12,9.985,8,14.770,8,8.230,5
14,179.717,123,95.761,60,79.599,46,68.146,47,52.927,31,90.891,59,56.180,37,96.471,56,8.797,5,6.099,3,5.123,3,15.239,11,13.821,12,21.155,13
15,239.325,162,104.284,65,69.116,44,98.735,66,53.339,40,109.189,69,71.735,46,37.882,21,19.164,11,14.456,9,20.206,12,15.334,13,15.339,11,22.230,14
16,284.089,176,142.221,92,106.645,66,104.120,65,99.643,67,61.138,40,91.884,55,28.073,15,17.213,12,15.173,9,19.950,12,5.806,4,19.215,13,13.081,8
17,157.716,107,180.980,107,127.630,76,106.377,70,243.198,159,90.781,59,72.624,48,21.692,11,17.130,12,25.792,15,18.977,12,15.106,11,10.239,9,14.655,11
18,219.186,134,186.329,121,97.587,63,79.540,55,188.389,127,97.867,64,63.169,43,8.733,6,22.052,15,9.247,7,20.148,15,38.479,23,39.769,28,12.077,7
19,233.974,151,186.738,123,65.925,44,86.724,56,190.249,124,105.703,68,35.245,18,47.749,26,11.980,7,27.025,16,21.052,14,1.573,1,14.482,7,16.943,14
20,279.642,168,216.146,133,89.238,61,66.972,46,156.855,103,110.051,72,45.928,31,25.557,19,37.898,19,7.982,6,20.740,14,4.697,4,34.391,19,11.096,6
21,273.842,167,225.674,132,92.895,54,93.886,56,81.494,54,107.829,69,9.523,6,26.484,16,13.761,11,24.629,17,16.068,8,14.598,10,11.322,8,12.631,7
22,269.131,158,192.093,125,131.818,80,80.256,53,64.280,46,76.963,56,32.652,22,14.523,8,23.316,15,19.545,13,7.925,6,9.185,6,7.461,4,10.616,8
23,203.604,131,163.484,108,156.082,100,137.455,79,136.904,84,124.065,72,35.405,23,27.284,15,30.928,19,15.777,12,26.701,17,30.899,20,17.295,15,26.454,15
24,237.000,147,168.579,106,136.757,86,114.347,76,146.685,102,105.520,68,62.120,41,22.732,12,21.378,14,21.423,15,15.190,11,28.518,18,5.068,2,17.350,10
25,290.599,169,262.043,159,172.544,102,104.305,67,64.096,42,100.684,60,40.954,28,9.644,6,43.022,28,16.524,10,16.545,11,32.098,20,0.000,0,25.999,18
26,295.008,178,267.825,168,184.942,108,103.384,64,81.304,51,80.710,52,33.197,22,16.497,9,63.184,37,6.173,5,23.383,16,3.638,3,10.410,7,30.641,23
27,212.979,130,197.510,115,117.129,73,111.867,66,63.417,41,79.943,53,18.901,15,31.016,15,63.851,40,14.114,9,6.384,4,4.172,3,2.882,2,10.952,6
28,216.244,126,185.235,116,83.557,48,71.753,48,35.727,27,49.617,30,17.873,14,12.404,8,37.913,23,2.273,1,7.860,5,1.301,1,3.411,3,9.552,7
29,89.568,56,104.122,65,71.566,43,61.323,39,18.601,12,19.876,14,1.383,1,10.219,5,33.872,23,0.000,0,2.302,1,10.100,6,14.790,12,0.000,0
30,56.871,37,64.040,37,42.393,26,19.157,11,12.143,8,2.502,2,1.233,1,5.726,4,3.420,3,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
31,37.872,22,46.721,29,31.625,20,5.269,4,5.103,5,0.000,0,3.940,2,11.055,6,1.698,1,0.000,0,2.202,2,0.000,0,0.000,0,2.652,2
32,12.315,8,13.093,9,14.456,8,3.568,3,1.005,1,3.396,2,1.873,1,2.202,2,8.054,4,1.684,1,0.000,0,0.000,0,0.000,0,1.548,1
33,7.885,6,9.988,5,0.000,0,15.268,9,1.112,1,6.592,4,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
34,25.426,16,3.622,3,14.964,7,13.702,9,1.026,1,19.021,13,6.111,3,0.000,0,0.000,0,0.000,0,5.223,3,0.000,0,0.000,0,0.000,0
35,68.156,46,25.132,17,14.601,9,13.760,7,10.653,7,3.912,3,0.000,0,0.000,0,4.374,4,0.000,0,3.013,2,0.000,0,3.195,3,0.000,0
36,163.471,99,63.169,47,25.191,16,27.501,20,13.923,9,27.233,17,37.204,22,2.688,2,3.096,2,2.796,2,2.956,1,0.000,0,0.000,0,17.684,7
37,224.790,123,124.619,79,55.664,34,46.904,30,35.494,24,13.718,10,11.805,8,5.484,4,10.149,8,9.473,6,6.269,3,12.004,7,0.000,0,5.620,3
38,234.248,138,146.956,81,73.823,43,32.001,21,23.169,16,31.196,20,24.961,16,14.659,7,8.179,7,14.224,8,7.869,5,5.026,2,0.000,0,9.855,7
39,273.587,179,140.614,90,66.912,39,42.440,25,36.262,23,77.645,49,32.207,18,10.382,7,4.501,3,4.261,3,17.157,9,12.064,10,5.129,4,8.216,6
40,244.323,165,159.360,104,78.566,47,59.968,37,42.735,26,44.596,29,53.297,31,11.279,8,12.699,9,10.792,8,4.200,3,3.368,2,7.230,6,11.301,8
41,246.178,151,215.650,131,87.646,53,77.104,48,33.365,21,32.567,22,42.053,26,27.557,16,9.851,7,4.161,3,8.558,6,14.547,10,11.939,7,17.210,10
42,177.272,122,157.594,104,45.269,25,49.933,34,40.503,27,40.005,30,15.055,11,22.018,14,4.704,4,26.000,14,2.806,2,10.524,6,0.000,0,16.534,12
43,250.514,163,161.109,104,41.391,26,44.328,26,52.216,32,33.273,24,36.823,23,8.100,5,10.845,9,12.661,7,7.783,5,22.544,15,1.044,1,7.737,7
44,212.860,137,172.491,112,50.034,29,60.876,42,90.371,57,50.477,33,55.275,36,19.063,8,12.918,10,8.236,5,7.975,5,21.298,17,14.414,10,13.069,9
45,232.266,146,170.280,110,45.787,29,66.219,40,72.468,46,37.965,26,53.209,34,15.999,10,5.015,3,14.280,11,11.893,8,10.200,7,18.464,7,1.333,1
46,226.963,126,154.270,103,112.213,68,58.377,38,141.732,84,71.079,45,41.900,27,11.618,8,12.516,8,11.800,7,5.154,5,10.281,8,15.125,10,13.250,8
47,175.761,110,180.834,108,114.963,73,112.224,70,209.075,137,36.425,26,37.426,27,9.089,7,14.399,9,29.258,19,14.806,10,21.191,16,18.219,11,17.942,9
48,222.473,132,191.103,125,168.377,103,78.075,51,140.139,89,34.290,22,27.158,17,26.971,18,17.251,11,26.395,18,4.357,3,10.438,6,5.004,4,25.088,20
