date,tweet_n
2014-01-22,892
2014-01-23,13986
2014-01-24,13791
2014-01-25,13989
2014-01-26,16222
2014-01-27,17640
2014-01-28,15180
2014-01-29,14695
2014-01-30,13504
2014-01-31,13870
2014-02-01,11854
2014-02-02,15840
2014-02-03,21378
2014-02-04,13696
2014-02-05,14435
2014-02-06,13339
2014-02-07,12645
2014-02-08,13472
2014-02-09,12959
2014-02-10,13382
2014-02-11,12131
2014-02-12,12381
2014-02-13,14293
2014-02-14,12498
2014-02-15,13732
2014-02-16,12358
2014-02-17,12904
2014-02-18,14208
2014-02-19,12285
2014-02-20,11649
2014-02-21,11720
2014-02-22,10758
2014-02-23,10788
2014-02-24,11682
2014-02-25,11400
2014-02-26,11268
2014-02-27,12094
2014-02-28,12003
2014-03-01,11130
2014-03-02,12452
2014-03-03,13772
2014-03-04,11521
2014-03-05,11554
2014-03-06,10094
2014-03-07,11764
2014-03-08,10400
2014-03-09,9865
2014-03-10,10655
2014-03-11,11237
2014-03-12,10675
2014-03-13,10585
2014-03-14,11182
2014-03-15,11416
2014-03-16,13189
2014-03-17,13049
2014-03-18,13033
2014-03-19,12775
2014-03-20,14155
2014-03-21,14923
2014-03-22,13699
2014-03-23,13627
2014-03-24,12676
2014-03-25,12651
2014-03-26,12359
2014-03-27,12945
2014-03-28,13405
2014-03-29,11732
2014-03-30,12693
2014-03-31,15039
2014-04-01,12423
2014-04-02,10882
2014-04-03,12486
2014-04-04,10657
2014-04-05,11270
2014-04-06,11966
2014-04-07,11217
2014-04-08,10626
2014-04-09,10981
2014-04-10,10856
2014-04-11,10575
2014-04-12,10802
2014-04-13,10635
2014-04-14,10796
2014-04-15,11434
2014-04-16,10998
2014-04-17,11019
2014-04-18,11729
2014-04-19,12043
2014-04-20,12688
2014-04-21,9802
2014-04-22,12548
2014-04-23,11795
2014-04-24,12313
2014-04-25,10868
2014-04-26,10913
2014-04-27,10080
2014-04-28,9814
2014-04-29,11066
2014-04-30,10397
2014-05-01,10043
2014-05-02,10312
2014-05-03,11459
2014-05-04,10983
2014-05-05,9857
2014-05-06,10448
2014-05-07,9213
2014-05-08,9162
2014-05-09,11118
2014-05-10,9993
2014-05-11,9781
2014-05-12,10432
2014-05-13,11005
2014-05-14,12436
2014-05-15,10920
2014-05-16,10334
2014-05-17,9419
2014-05-18,9512
2014-05-19,10035
2014-05-20,10616
2014-05-21,10578
2014-05-22,10316
2014-05-23,10367
2014-05-24,9223
2014-05-25,9854
2014-05-26,9321
2014-05-27,11727
2014-05-28,11382
2014-05-29,11375
2014-05-30,10506
2014-05-31,9613
2014-06-01,9376
2014-06-02,10869
2014-06-03,10869
2014-06-04,10563
2014-06-05,11325
2014-06-06,12286
2014-06-07,9825
2014-06-08,9985
2014-06-09,11226
2014-06-10,11662
2014-06-11,13077
2014-06-12,11790
2014-06-13,12273
2014-06-14,10990
2014-06-15,9538
2014-06-16,12426
2014-06-17,11013
2014-06-18,11962
2014-06-19,12526
2014-06-20,11507
2014-06-21,10915
2014-06-22,11927
2014-06-23,10162
2014-06-24,11872
2014-06-25,11946
2014-06-26,12459
2014-06-27,11647
2014-06-28,11330
2014-06-29,11130
2014-06-30,11903
2014-07-01,13586
2014-07-02,11335
2014-07-03,11718
2014-07-04,12071
2014-07-05,10767
2014-07-06,11313
2014-07-07,11077
2014-07-08,11534
2014-07-09,10361
2014-07-10,10456
2014-07-11,11537
2014-07-12,9791
2014-07-13,10689
2014-07-14,9945
2014-07-15,10458
2014-07-16,10127
2014-07-17,10440
2014-07-18,10073
2014-07-19,10263
2014-07-20,10764
2014-07-21,10198
2014-07-22,11392
2014-07-23,11289
2014-07-24,10971
2014-07-25,10059
2014-07-26,8811
2014-07-27,10365
2014-07-28,10744
2014-07-29,10744
2014-07-30,11368
2014-07-31,11703
2014-08-01,10837
2014-08-02,9838
2014-08-03,11076
2014-08-04,10643
2014-08-05,11066
2014-08-06,10907
2014-08-07,10836
2014-08-08,10667
2014-08-09,9655
2014-08-10,10194
2014-08-11,10282
2014-08-12,11600
2014-08-13,10111
2014-08-14,9873
2014-08-15,186
2014-08-16,0
2014-08-17,0
2014-08-18,0
2014-08-19,0
2014-08-20,0
2014-08-21,1874
2014-08-22,8642
2014-08-23,0
2014-08-24,0
2014-08-25,0
2014-08-26,0
2014-08-27,969
2014-08-28,10014
2014-08-29,10206
2014-08-30,11256
2014-08-31,9128
2014-09-01,9318
2014-09-02,9881
2014-09-03,10263
2014-09-04,9619
2014-09-05,6630
2014-09-06,0
2014-09-07,0
2014-09-08,0
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,0
2014-09-15,0
2014-09-16,0
2014-09-17,0
2014-09-18,0
2014-09-19,0
2014-09-20,0
2014-09-21,0
2014-09-22,0
2014-09-23,0
2014-09-24,0
2014-09-25,0
2014-09-26,0
2014-09-27,0
2014-09-28,0
2014-09-29,444
2014-09-30,6843
2014-10-01,8324
2014-10-02,8395
2014-10-03,7161
2014-10-04,6880
2014-10-05,7035
2014-10-06,6461
2014-10-07,6835
2014-10-08,6799
2014-10-09,7188
2014-10-10,7035
2014-10-11,5937
2014-10-12,7141
2014-10-13,6369
2014-10-14,6284
2014-10-15,6604
2014-10-16,6764
2014-10-17,6858
2014-10-18,3889
2014-10-19,0
2014-10-20,1821
2014-10-21,7439
2014-10-22,5998
2014-10-23,6311
2014-10-24,6580
2014-10-25,5993
2014-10-26,7067
2014-10-27,5713
2014-10-28,6085
2014-10-29,5834
2014-10-30,5983
2014-10-31,6189
2014-11-01,6423
2014-11-02,6269
2014-11-03,7243
