doy,tweet_n
1,6764
2,7132
3,7792
4,10138
5,7577
6,6653
7,7278
8,7970
9,6666
10,6848
11,7351
12,6785
13,7609
14,6576
15,7012
16,6411
17,5657
18,7121
19,6890
20,6467
21,7499
22,7330
23,20041
24,19656
25,20053
26,22934
27,23958
28,21532
29,21172
30,19379
31,19981
32,19218
33,26153
34,27335
35,19298
36,20299
37,19282
38,19187
39,19892
40,20957
41,19344
42,18050
43,18913
44,20740
45,19553
46,20152
47,19675
48,19623
49,20867
50,19605
51,18567
52,18755
53,17692
54,17926
55,17656
56,17365
57,17337
58,18901
59,17652
60,17432
61,18750
62,19874
63,17437
64,18838
65,16192
66,17864
67,16544
68,15551
69,17047
70,17536
71,17186
72,15590
73,17196
74,18112
75,19260
76,19151
77,19226
78,20138
79,21230
80,20799
81,20245
82,15920
83,12676
84,17368
85,18167
86,15862
87,15436
88,18134
89,19258
90,17807
91,14166
92,16819
93,17895
94,16884
95,18092
96,14203
97,14852
98,17315
99,17400
100,17189
101,17320
102,17326
103,17325
104,16781
105,17902
106,18126
107,17831
108,18922
109,20039
110,19580
111,17086
112,20146
113,19049
114,19308
115,18183
116,17646
117,15279
118,11476
119,12616
120,11896
121,11784
122,12219
123,13238
124,12278
125,10607
126,10448
127,9535
128,9162
129,11118
130,9993
131,10733
132,11804
133,11764
134,12899
135,12129
136,11913
137,10923
138,10695
139,10389
140,10982
141,11841
142,11834
143,11996
144,10638
145,11053
146,10555
147,11727
148,11382
149,11397
150,10506
151,10833
152,10538
153,11994
154,11939
155,11800
156,12662
157,13879
158,11504
159,11242
160,12404
161,12787
162,13922
163,11790
164,12273
165,10990
166,10338
167,13495
168,12229
169,13203
170,13756
171,12978
172,12290
173,13102
174,11339
175,13075
176,13328
177,14074
178,13335
179,12834
180,12536
181,13236
182,15011
183,12713
184,13292
185,13775
186,12545
187,12572
188,12429
189,12938
190,12140
191,12375
192,13924
193,11871
194,12528
195,11130
196,11730
197,11518
198,11845
199,11733
200,11756
201,12023
202,11521
203,12666
204,12784
205,12546
206,11826
207,10441
208,11668
209,12091
210,12086
211,12756
212,12171
213,10837
214,10338
215,12728
216,12033
217,12378
218,12306
219,12389
220,12498
221,11124
222,11564
223,11487
224,12870
225,11378
226,11240
227,1146
228,0
229,0
230,0
231,0
232,0
233,3312
234,10255
235,1808
236,1425
237,1424
238,1348
239,2284
240,11540
241,11973
242,12820
243,10397
244,10549
245,11124
246,11680
247,11261
248,8432
249,1604
250,1444
251,1163
252,1085
253,1418
254,1683
255,1733
256,1616
257,1361
258,1434
259,1360
260,1486
261,1492
262,1643
263,1967
264,1392
265,1286
266,1324
267,1385
268,1263
269,1501
270,1732
271,1254
272,1805
273,8122
274,9726
275,10060
276,8687
277,8428
278,8106
279,7141
280,8110
281,8551
282,8566
283,8898
284,7467
285,8492
286,7754
287,7437
288,7955
289,8190
290,8504
291,5678
292,1237
293,3268
294,8719
295,7403
296,7899
297,8196
298,7515
299,8355
300,6886
301,7093
302,7236
303,7533
304,7763
305,8407
306,7453
307,8458
308,6792
309,7486
310,7164
311,6933
312,8324
313,2420
314,3632
315,6198
316,5880
317,6516
318,5519
319,6344
320,6539
321,6110
322,7301
323,4991
324,618
325,6472
326,7826
327,6300
328,7457
329,8128
330,6587
331,7116
332,5511
333,6621
334,7604
335,6163
336,7129
337,7005
338,6785
339,6456
340,7019
341,8167
342,6772
343,6906
344,7206
345,6261
346,463
347,2418
348,6990
349,6419
350,6613
351,6532
352,6383
353,5893
354,6017
355,7916
356,5897
357,6553
358,6505
359,7126
360,5781
361,6252
362,7710
363,7943
364,5668
365,6162
