cluster,sum_senti,avg_sent,pos_n,pos_p,neg_n,neg_p
0,0.7949,0.6235,0.7885,0.6322,0.6195,0.1953
1,0.5016,0.0488,0.5254,0.0842,0.3557,-0.1482
2,0.8046,0.5344,0.7907,0.3771,0.6672,0.2835
3,0.4994,0.2136,0.5076,0.2261,0.3422,-0.0663
4,0.7197,0.3079,0.7037,0.2509,0.5858,0.0369
5,0.4800,0.0516,0.4333,-0.0510,0.4345,0.2525
6,0.6256,-0.0062,0.5446,0.0608,0.4118,-0.0909
7,0.6708,0.0140,0.6273,0.0085,0.3678,-0.0694
8,-0.0126,-0.0671,0.0323,-0.0139,0.0237,-0.0288
9,0.6338,-0.0159,0.5991,0.0512,0.5084,0.0257
10,0.0121,-0.0302,-0.0291,-0.0567,0.0131,-0.0017
11,0.4223,0.0251,0.3015,0.0661,0.2482,-0.0776
12,0.1404,0.0528,0.1108,0.0170,0.1115,0.0645
13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,0.5507,0.0446,0.4924,0.0461,0.2884,-0.1118
15,0.1132,0.0544,0.0413,0.0365,0.0163,0.0185
