cluster,sum_senti,avg_sent,pos_n,pos_p
0,0.5874,0.5874,0.6322,0.6322
1,0.2003,0.2003,0.0842,0.0842
2,0.1349,0.1349,0.3771,0.3771
3,0.2390,0.2390,0.2261,0.2261
4,0.2117,0.2117,0.2509,0.2509
5,-0.1481,-0.1481,-0.0510,-0.0510
6,0.0887,0.0887,0.0608,0.0608
7,0.0438,0.0438,0.0085,0.0085
8,0.0197,0.0197,-0.0139,-0.0139
9,0.0156,0.0156,0.0512,0.0512
10,-0.0522,-0.0522,-0.0567,-0.0567
11,0.0648,0.0648,0.0661,0.0661
12,-0.0544,-0.0544,0.0170,0.0170
13,0.0000,0.0000,0.0000,0.0000
14,0.1420,0.1420,0.0461,0.0461
15,0.0364,0.0364,0.0365,0.0365
