how,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15
0,58,7,33,11,25,5,12,9,0,20,2,5,1,0,2,0
1,36,3,31,2,8,3,6,2,0,19,0,2,0,0,5,0
2,35,10,26,5,4,0,3,3,1,14,1,0,0,0,3,0
3,22,4,39,2,10,6,5,4,2,5,0,4,0,0,0,0
4,16,2,35,3,1,6,2,9,0,1,0,0,0,0,2,0
5,8,4,20,1,2,1,2,8,4,1,0,2,0,0,1,0
6,7,1,10,0,0,0,0,1,0,0,0,1,0,0,0,0
7,4,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0
8,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
11,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,4,1,2,4,2,2,11,3,0,2,0,0,0,0,0,2
13,4,2,4,5,2,0,13,3,1,1,0,1,0,0,0,1
14,13,2,15,3,6,3,4,13,0,4,0,4,0,0,1,0
15,25,5,12,2,11,1,3,14,0,0,1,0,0,0,1,0
16,35,7,14,14,31,3,5,15,0,13,0,4,0,0,1,1
17,42,3,17,5,41,8,22,16,0,17,1,3,0,0,3,0
18,27,13,14,4,21,5,5,15,0,8,0,6,0,0,3,1
19,17,6,13,2,14,5,9,9,0,11,0,0,0,0,4,0
20,32,7,16,8,15,6,11,5,0,5,0,2,0,0,3,2
21,30,10,21,9,9,7,9,8,0,9,0,2,0,0,5,2
22,44,8,22,12,5,7,6,4,0,10,0,3,0,0,2,0
23,53,2,7,13,5,6,15,4,1,18,0,2,0,0,2,2
24,31,5,14,2,7,8,10,4,0,6,0,2,0,0,2,0
25,7,5,4,0,4,3,7,2,0,5,0,7,1,0,1,0
26,15,5,6,1,6,3,7,3,1,1,0,0,0,0,3,0
27,8,1,5,1,1,0,4,2,0,5,0,2,0,0,1,0
28,13,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0
29,6,1,6,1,2,0,0,0,0,0,0,0,0,0,2,0
30,0,1,2,0,0,0,3,1,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,5,1,2,7,2,0,0,0,0,0,0,0,0,0,0,0
35,6,6,4,2,4,3,3,0,0,1,0,0,0,0,0,0
36,11,0,0,1,0,6,3,1,0,0,0,0,0,0,0,0
37,46,6,1,1,7,6,1,7,0,3,0,1,0,0,1,0
38,15,1,0,3,8,1,7,4,0,3,0,3,0,0,2,0
39,16,6,4,4,9,3,11,5,0,6,0,2,0,0,2,0
