venue	lon	lat	category	user	year	doy	dow	hour	txt
McDonald's	-79.8897	40.4870	NA	brexx_nirpaw	2014	358	3	21	I'm at McDonald's in Pittsburgh, PA
McDonald's	-79.8897	40.4870	NA	rockinet7	2015	69	2	16	I'm at McDonald's in Pittsburgh, PA
McDonald's	-79.8897	40.4870	NA	rockinet7	2015	119	3	16	I'm at McDonald's in Pittsburgh, PA
McDonald's	-79.8897	40.4870	NA	brexx_nirpaw	2015	190	4	14	I'm at McDonald's in Pittsburgh, PA
David McCullough Bridge	-79.9909	40.4516	NA	baldfatguy	2014	159	0	14	I'm at David McCullough Bridge (Pittsburgh, PA)
The Hop House	-80.0669	40.4210	NA	mike8120	2015	140	3	21	I'm at The Hop House in Pittsburgh, PA
The Hop House	-80.0669	40.4210	NA	steelman3300	2015	233	5	22	I'm at The Hop House in Pittsburgh, PA
new horizons	-80.0385	40.4274	NA	IPhillyBoy2011	2014	97	1	21	I'm at new horizons (Pittsburgh, PA)
Moby Fish & Chicken	-80.0355	40.3770	NA	IPhillyBoy2011	2014	138	0	22	I'm at Moby Fish &amp; Chicken (Pittsburgh, PA)
Willow T Station	-80.0261	40.3656	NA	Steve4031	2014	137	6	1	I'm at Willow T Station (Castle Shannon, PA)
North Shore	-80.0209	40.4482	NA	Justice419	2014	160	1	15	I'm at North Shore (Pittsburgh, PA)
allegheny ophthalmic and orbital associates	-80.0029	40.4565	NA	IPhillyBoy2011	2014	108	5	23	I'm at allegheny ophthalmic and orbital associates (Pittsburgh, PA)
North Park	-80.0071	40.4553	NA	chavirismo	2014	241	5	15	Just posted a photo North Park
Garfield	-79.9400	40.4670	NA	Tg0d2	2015	233	5	3	Just posted a photo Garfield (Pittsburgh)
Garfield	-79.9400	40.4670	NA	A_BARWEEZY	2015	274	4	5	Just posted a photo Garfield (Pittsburgh)
Pizza	-79.9253	40.4603	NA	MemoirsOfAGrump	2015	153	2	16	I'm at Pizza in Pittsburgh, PA
Pizza	-79.9253	40.4603	NA	Smeagol_Is_Free	2015	185	6	1	I'm at Pizza in Pittsburgh, PA
New Dumpling House	-79.9231	40.4326	NA	IPhillyBoy2011	2014	137	6	3	I'm at New Dumpling House (Pittsburgh, PA)
New Dumpling House	-79.9231	40.4326	NA	luchobortolin	2015	242	0	2	I'm at New Dumpling House in Pittsburgh, PA
Hartwood Acres Trails	-79.9762	40.5082	NA	mjobelski	2015	32	0	19	Just posted a photo Hartwood Acres Trails
Carnegie Park Baseball Field	-80.0733	40.4126	NA	IPhillyBoy2011	2014	134	3	12	I'm at Carnegie Park Baseball Field
Spring Hill	-79.9930	40.4614	NA	clarinetchick	2014	248	5	2	I'm at Spring Hill in Pittsburgh, PA
Spring Hill	-79.9930	40.4614	NA	Babyprincessmom	2014	58	4	16	Just posted a photo Spring Hill
Spring Hill	-79.9930	40.4614	NA	Babyprincessmom	2014	72	4	9	Just posted a photo Spring Hill
^Up- Modern Kitchen	-79.9337	40.4510	NA	sonic13oom	2014	23	4	1	I'm at ^Up- Modern Kitchen - (Pittsburgh, PA)
^Up- Modern Kitchen	-79.9337	40.4510	NA	sonic13oom	2014	33	0	3	I'm at ^Up- Modern Kitchen - (Pittsburgh, PA)
