clid	venue	lon	lat	category	user	year	doy	dow	hour	txt
0	Downtown Pittsburgh	-79.9971	40.4415	NA	idreamoftravel	2014	38	5	18	I'm at Downtown Pittsburgh (Pittsburgh, PA)
0	Downtown Pittsburgh	-79.9971	40.4415	NA	philsy28	2014	44	4	14	I'm at Downtown Pittsburgh (Pittsburgh, PA)
0	Downtown Pittsburgh	-79.9971	40.4415	NA	DJTMI	2014	40	0	2	Just posted a photo Downtown Pittsburgh
0	Downtown Pittsburgh	-79.9971	40.4415	NA	DJTMI	2014	40	0	2	Just posted a photo Downtown Pittsburgh
0	Downtown Pittsburgh	-79.9971	40.4415	NA	DJTMI	2014	40	0	2	Just posted a photo Downtown Pittsburgh
0	Downtown Pittsburgh	-79.9971	40.4415	NA	DJTMI	2014	40	0	20	Just posted a photo Downtown Pittsburgh
0	Downtown Pittsburgh	-79.9971	40.4415	NA	DJTMI	2014	40	0	20	Just posted a photo Downtown Pittsburgh
0	Downtown Pittsburgh	-79.9971	40.4415	NA	DJTMI	2014	40	0	21	Just posted a photo Downtown Pittsburgh
0	Downtown Pittsburgh	-79.9971	40.4415	NA	DJTMI	2014	40	0	22	Just posted a photo Downtown Pittsburgh
0	Downtown Pittsburgh	-79.9971	40.4415	NA	DJTMI	2014	43	3	20	Just posted a photo Downtown Pittsburgh
0	Noodles & Company	-80.0020	40.4410	NA	MoxieMils	2014	134	3	21	I'm at Noodles &amp; Company (Pittsburgh, PA)
0	Noodles & Company	-80.0020	40.4410	NA	beyonskeez	2014	179	6	0	I'm at Noodles &amp; Company (Pittsburgh, PA)
0	Noodles & Company	-80.0020	40.4410	NA	Silent_Jon	2015	188	2	22	I'm at Noodles &amp; Company in Pittsburgh, PA
0	Noodles & Company	-80.0020	40.4410	NA	Silent_Jon	2015	224	3	22	I'm at Noodles &amp; Company in Pittsburgh, PA
0	Noodles & Company	-80.0020	40.4410	NA	AbadiAlzbadi	2015	241	6	0	I'm at Noodles &amp; Company in Pittsburgh, PA
0	Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	kristianaaaaaa_	2014	77	2	18	I'm at Nicholas Coffee &amp; Tea Company (Pittsburgh, PA)
0	Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	kristianaaaaaa_	2014	99	3	14	I'm at Nicholas Coffee &amp; Tea Company (Pittsburgh, PA)
0	Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	kristianaaaaaa_	2014	99	3	19	I'm at Nicholas Coffee &amp; Tea Company (Pittsburgh, PA)
0	Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	kristianaaaaaa_	2014	101	5	12	I'm at Nicholas Coffee &amp; Tea Company (Pittsburgh, PA)
0	Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	kristianaaaaaa_	2014	113	3	13	I'm at Nicholas Coffee &amp; Tea Company (Pittsburgh, PA)
0	Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	numberonehand	2014	128	4	19	I'm at Nicholas Coffee &amp; Tea Company w/
0	Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	TeshawnEdmonds	2014	149	4	19	I'm at Nicholas Coffee &amp; Tea Company (Pittsburgh, PA)
0	Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	Gert_Ross	2015	303	5	13	I'm at Nicholas Coffee &amp; Tea Company in Pittsburgh, PA
