how,cluster0,cluster2,cluster4,cluster9,cluster6,cluster1,cluster3,cluster7,cluster22,cluster5
0,58,33,25,20,12,7,11,9,0,5
1,36,31,8,19,6,3,2,2,3,3
2,35,26,4,14,3,10,5,3,6,0
3,22,39,10,5,5,4,2,4,7,6
4,16,35,1,1,2,2,3,9,5,6
5,8,20,2,1,2,4,1,8,1,1
6,7,10,0,0,0,1,0,1,0,0
7,4,2,0,0,0,0,0,3,0,0
8,1,2,0,0,0,0,0,1,0,0
9,1,0,0,0,1,0,0,0,1,0
10,1,1,1,0,0,1,1,0,2,0
11,4,1,1,0,0,3,0,0,0,0
12,4,2,2,2,11,1,4,3,4,2
13,4,4,2,1,13,2,5,3,5,0
14,13,15,6,4,4,2,3,13,12,3
15,25,12,11,0,3,5,2,14,9,1
16,35,14,31,13,5,7,14,15,5,3
17,42,17,41,17,22,3,5,16,9,8
18,27,14,21,8,5,13,4,15,9,5
19,17,13,14,11,9,6,2,9,10,5
20,32,16,15,5,11,7,8,5,6,6
21,30,21,9,9,9,10,9,8,3,7
22,44,22,5,10,6,8,12,4,5,7
23,53,7,5,18,15,2,13,4,4,6
24,31,14,7,6,10,5,2,4,2,8
25,7,4,4,5,7,5,0,2,1,3
26,15,6,6,1,7,5,1,3,0,3
27,8,5,1,5,4,1,1,2,2,0
28,13,1,1,1,1,1,0,0,1,0
29,6,6,2,0,0,1,1,0,0,0
30,0,2,0,0,3,1,0,1,1,0
31,0,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,1,0,0,2,0
34,5,2,2,0,0,1,7,0,0,0
35,6,4,4,1,3,6,2,0,3,3
36,11,0,0,0,3,0,1,1,8,6
37,46,1,7,3,1,6,1,7,2,6
38,15,0,8,3,7,1,3,4,3,1
39,16,4,9,6,11,6,4,5,7,3
40,23,5,13,6,5,4,1,9,2,1
41,21,8,11,10,1,12,3,6,7,2
42,14,3,3,1,5,5,2,5,6,0
43,19,9,2,27,2,7,3,3,7,4
44,6,12,4,25,2,7,6,1,9,4
45,23,15,8,8,4,8,9,2,9,2
46,18,24,22,7,10,10,11,3,3,4
47,26,12,19,7,10,6,6,2,5,7
48,23,13,6,12,8,3,8,3,9,1
49,22,7,5,15,11,6,4,1,3,1
50,8,8,6,28,5,4,0,2,5,3
51,7,5,4,1,0,5,0,1,4,3
52,6,3,2,2,0,0,0,0,2,1
53,1,1,0,0,0,1,0,0,1,0
54,1,1,2,0,0,0,0,0,1,1
55,0,0,0,0,0,0,0,0,0,0
56,0,1,1,0,0,0,0,0,0,0
57,0,2,0,0,0,0,0,0,0,0
58,3,1,1,0,3,0,6,0,4,1
59,10,4,3,1,1,4,3,2,8,0
60,28,1,2,1,3,4,5,0,11,7
61,29,3,9,4,1,5,6,3,3,7
62,19,2,2,23,6,6,6,5,2,6
63,12,7,3,5,4,6,0,7,6,8
64,30,11,7,9,6,7,4,14,7,2
65,15,9,3,5,2,14,3,5,10,3
66,18,3,3,2,5,9,3,4,3,11
67,22,7,2,13,2,7,5,6,2,4
68,7,15,6,2,5,8,15,2,4,2
69,30,12,13,3,7,3,14,4,10,1
70,26,18,22,6,13,7,26,5,5,3
71,24,13,19,9,5,7,20,11,6,2
72,16,8,12,19,12,3,5,8,3,1
73,5,7,3,8,13,5,6,2,2,1
74,10,10,1,7,6,2,2,3,4,0
75,8,10,4,0,4,4,2,2,2,0
76,10,4,0,1,1,1,0,0,2,1
77,0,3,0,2,0,1,1,1,1,0
78,2,0,1,0,0,0,0,1,0,2
79,0,0,1,0,0,0,0,0,0,0
80,9,0,1,0,0,0,0,0,0,0
81,0,0,1,0,0,0,0,0,0,0
82,4,0,1,0,0,2,6,0,2,1
83,8,0,2,1,1,1,1,0,1,1
84,9,1,2,1,4,2,1,0,9,7
85,14,2,2,6,9,3,3,1,4,5
86,16,3,4,0,5,3,3,5,3,5
87,22,5,10,0,7,6,4,3,6,7
88,17,4,7,6,14,12,6,9,9,5
89,19,3,6,13,7,8,9,12,3,7
90,24,6,5,8,5,6,2,3,6,1
91,30,9,5,23,5,6,9,2,3,5
92,26,12,7,11,3,1,6,3,12,5
93,26,18,20,10,12,7,4,1,6,1
94,36,28,24,5,17,7,14,6,4,2
95,34,17,27,15,9,8,29,5,3,1
96,13,17,10,17,7,5,14,3,2,3
97,13,14,3,20,5,6,10,1,3,0
98,11,12,7,16,6,3,2,1,5,1
99,7,14,1,4,6,8,8,1,1,0
100,5,4,3,0,3,3,2,2,3,0
101,3,6,1,0,0,0,0,0,0,0
102,0,0,0,0,1,0,0,0,0,0
103,0,2,1,0,0,0,0,0,0,0
104,0,0,0,0,0,1,0,0,0,0
105,0,1,3,0,0,0,0,0,0,0
106,2,1,1,0,1,4,6,0,0,3
107,7,6,1,0,4,6,5,0,3,0
108,29,4,6,0,3,3,6,7,3,5
109,21,4,7,8,5,5,2,5,8,17
110,36,2,4,6,3,8,5,5,3,6
111,45,4,2,6,7,4,2,8,6,3
112,35,7,11,1,7,7,6,7,7,2
113,24,11,5,8,3,6,2,9,5,7
114,37,8,11,3,3,9,5,5,7,5
115,26,6,5,8,6,8,3,11,5,6
116,21,9,3,9,3,3,6,0,9,8
117,24,16,11,15,3,6,11,4,11,2
118,20,19,16,15,9,6,17,6,13,4
119,29,20,10,12,13,9,24,7,8,10
120,28,15,7,15,9,6,10,6,6,5
121,18,23,8,13,5,2,2,5,2,2
122,13,13,2,23,7,2,2,3,5,1
123,19,8,0,13,4,2,0,6,5,2
124,10,7,0,0,2,1,0,0,3,2
125,8,4,0,0,13,3,0,2,1,0
126,5,2,0,0,1,1,0,0,1,0
127,4,1,0,0,0,0,0,3,0,0
128,0,0,1,2,0,0,1,0,0,0
129,1,0,0,2,0,1,0,0,2,0
130,2,0,1,0,0,3,6,0,0,2
131,4,5,3,0,7,4,3,2,6,1
132,24,2,4,2,7,7,2,1,5,3
133,33,0,8,3,4,4,1,5,5,4
134,24,2,5,5,5,7,4,4,8,3
135,24,6,5,9,8,5,5,5,9,2
136,47,9,0,1,14,7,4,6,4,3
137,30,11,6,9,5,7,0,6,6,3
138,26,7,7,16,3,13,5,8,7,5
139,18,9,9,9,3,6,0,10,3,1
140,16,17,7,12,7,9,12,6,6,5
141,46,11,40,7,11,14,9,6,6,4
142,44,30,29,17,12,17,10,2,6,4
