how,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,NA
0,49,7,0,61,24,3,10,0,10,8,36
1,15,4,0,46,23,6,5,0,10,11,17
2,14,2,0,36,35,2,8,1,2,4,22
3,11,4,0,24,46,1,2,0,2,5,24
4,8,0,0,28,44,0,1,0,0,2,11
5,8,1,0,7,33,0,2,0,0,2,8
6,0,1,0,5,8,0,3,0,1,4,2
7,0,1,0,6,1,0,0,0,0,2,2
8,0,0,0,2,4,0,0,0,0,0,1
9,0,0,0,3,0,0,1,0,0,0,0
10,0,0,0,0,0,1,0,0,6,0,2
11,0,2,0,1,0,2,0,0,0,0,3
12,6,1,0,8,0,1,33,0,5,2,6
13,3,3,0,12,1,5,20,0,1,2,3
14,10,5,0,40,1,7,21,0,5,0,9
15,10,1,0,32,6,8,12,1,9,8,14
16,50,7,0,41,8,5,11,1,8,8,30
17,53,4,0,49,8,6,12,0,28,12,34
18,34,4,0,40,2,0,7,0,14,5,31
19,26,1,0,35,8,4,5,0,12,3,19
20,36,3,0,38,9,2,14,0,18,5,22
21,19,4,0,33,11,4,8,0,12,8,34
22,30,7,0,35,12,12,10,0,6,9,27
23,50,4,0,25,14,3,4,1,16,12,26
24,18,3,0,18,10,8,6,0,9,8,17
25,9,5,0,4,7,4,1,0,3,4,15
26,5,0,0,18,15,1,2,0,12,4,8
27,4,2,0,5,7,3,1,0,4,3,10
28,0,3,0,0,5,0,3,0,4,8,7
29,0,0,0,1,8,0,0,0,1,2,5
30,1,0,0,2,2,0,0,0,1,0,2
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,1,0,0,0,0
34,3,6,0,2,0,2,2,0,1,2,2
35,1,3,0,5,0,5,7,0,5,0,8
36,1,1,0,16,0,2,6,0,4,0,5
37,2,4,0,9,0,9,17,1,14,8,16
38,9,6,0,16,0,5,7,0,3,3,7
39,9,5,0,24,2,12,18,0,18,0,15
40,11,4,0,24,2,7,5,0,6,0,18
41,18,10,0,20,3,8,20,0,11,1,19
42,1,11,0,14,1,1,18,0,7,6,8
43,13,7,0,17,0,7,16,0,15,4,16
44,15,2,0,22,4,9,7,0,9,3,15
45,14,7,0,18,5,10,11,0,8,9,20
46,27,7,0,25,13,7,6,1,9,3,27
47,24,4,0,30,3,4,8,0,9,14,21
48,22,2,0,21,10,3,4,0,7,11,21
49,18,7,0,20,6,5,6,1,7,4,18
50,17,2,0,13,6,10,3,0,10,2,24
51,14,11,0,2,4,5,1,0,0,1,8
52,1,1,0,2,1,0,1,1,0,3,7
53,0,2,0,1,1,0,2,0,0,2,0
54,0,3,0,0,1,1,0,0,1,0,2
55,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,1,0,0,0,0,0,0,1
57,0,0,0,2,0,0,0,0,0,0,0
58,0,6,0,5,0,1,3,0,0,0,2
59,0,3,0,11,0,4,6,1,6,2,5
60,0,8,0,19,0,3,7,0,13,5,16
61,5,4,0,18,1,0,20,0,2,3,19
62,12,9,0,13,0,20,13,1,5,4,18
63,6,6,0,24,2,9,7,0,6,5,15
64,8,9,0,26,9,4,17,1,10,6,18
65,11,6,0,24,1,7,7,0,11,1,12
66,7,17,0,15,2,0,11,0,10,6,7
67,11,6,0,21,3,4,7,0,7,4,11
68,13,8,0,18,1,8,5,0,14,7,9
69,23,6,0,20,8,12,5,0,6,7,20
70,61,12,0,39,5,6,8,0,7,14,17
71,58,3,0,30,12,3,4,0,0,4,18
72,22,1,0,30,7,5,6,0,8,1,23
73,9,2,0,11,8,1,0,0,18,4,16
74,6,0,0,12,6,4,2,0,8,2,10
75,7,2,0,6,11,0,1,0,5,5,5
76,2,0,0,4,6,0,6,0,0,4,6
77,1,1,0,4,2,0,0,0,0,0,2
78,0,0,0,3,0,0,2,0,0,0,3
79,0,0,0,0,0,0,0,0,0,0,1
80,0,0,0,0,1,0,2,0,0,4,3
81,0,0,0,0,0,0,0,0,0,0,1
82,0,7,0,3,0,0,3,0,0,2,2
83,0,1,0,6,0,3,3,0,2,4,5
84,5,1,0,10,0,2,1,0,11,0,12
85,1,5,0,7,0,6,11,1,4,0,14
86,3,5,0,18,0,6,6,0,1,1,8
87,6,9,0,16,1,8,12,0,12,2,20
88,19,13,0,28,1,8,7,0,15,4,14
89,6,10,0,30,2,3,6,0,10,4,18
90,7,8,0,26,4,7,5,0,12,5,14
91,21,9,0,20,2,8,8,1,5,9,27
92,10,12,0,13,1,5,7,0,15,10,18
93,17,2,0,37,10,6,4,0,5,6,24
94,41,2,0,42,14,9,8,1,14,5,23
95,71,7,0,40,16,5,2,0,11,7,25
96,27,10,0,33,18,4,1,0,6,5,16
97,23,1,0,25,12,3,1,0,6,1,16
98,10,4,0,19,6,5,1,0,1,4,19
99,12,2,0,14,15,1,0,0,4,0,14
100,6,0,0,7,5,0,1,0,3,4,6
101,0,0,0,0,5,0,0,0,0,2,5
102,0,0,0,2,0,0,1,0,0,0,0
103,0,2,0,2,0,0,0,0,0,0,2
104,0,1,0,0,0,0,1,0,0,0,0
105,0,0,0,1,0,0,0,0,0,0,3
106,2,6,0,3,0,0,5,0,1,1,3
107,2,4,0,17,0,2,5,0,2,4,2
108,19,4,0,25,0,1,3,0,3,1,17
109,4,10,0,20,0,3,7,0,4,5,33
110,10,3,0,17,1,4,24,0,4,10,21
111,7,5,0,35,1,11,10,0,8,5,20
112,15,13,0,33,6,14,14,0,10,4,10
113,12,11,0,20,5,14,11,0,12,6,14
114,19,7,0,22,1,2,14,1,7,15,19
115,11,8,0,23,6,10,5,0,3,8,22
116,9,8,0,10,5,7,3,0,6,3,18
117,19,9,0,41,9,3,7,0,10,1,15
118,48,2,0,38,18,6,1,1,13,4,26
119,67,4,0,36,17,5,5,0,8,3,28
120,36,0,0,33,12,8,3,0,21,3,24
121,9,3,0,29,22,2,0,1,11,7,19
122,16,2,0,15,14,6,3,0,6,7,14
123,7,2,0,8,24,0,3,0,7,6,8
124,4,1,0,6,6,1,2,1,0,3,6
125,1,4,0,4,7,0,6,0,4,3,6
126,0,0,0,0,4,0,1,0,0,0,6
127,0,0,0,4,1,0,0,0,0,3,3
128,0,1,0,0,0,1,0,0,0,0,1
129,0,0,0,0,0,1,1,0,1,0,4
130,0,6,0,1,0,0,5,0,2,0,2
131,0,1,0,19,0,5,7,0,4,3,5
132,0,5,0,20,0,4,10,0,3,4,20
133,2,8,0,14,0,4,16,0,10,10,24
134,6,7,0,13,0,6,9,0,8,7,20
135,8,5,0,29,0,4,11,0,15,3,14
136,6,10,0,52,3,5,23,0,14,3,13
137,6,10,0,42,9,7,21,0,9,9,17
138,19,7,0,33,16,1,15,0,14,3,16
139,10,5,0,23,9,3,11,0,11,4,17
140,23,9,0,17,9,7,6,0,18,4,16
141,46,6,0,40,16,7,11,0,18,10,31
142,43,3,0,59,23,6,9,0,16,6,39
143,91,2,0,50,29,1,16,0,18,6,48
144,33,9,0,40,20,8,4,0,18,6,30
145,19,4,0,43,18,2,3,0,6,3,21
146,15,5,0,39,31,3,3,2,6,7,20
147,16,2,0,49,27,3,0,0,11,3,19
148,3,0,0,21,28,6,0,0,0,6,12
149,1,2,0,15,25,0,0,0,1,0,4
