how,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,NA
0,10,1,0,2,0,0,2,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0
2,2,0,0,2,0,0,0,0,0,0,1
3,0,1,0,0,0,0,0,0,0,0,1
4,2,0,0,2,0,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
12,2,1,0,0,0,0,0,0,0,0,2
13,2,1,0,2,0,0,0,0,0,0,1
14,2,1,0,0,0,0,0,0,0,0,1
15,2,1,0,0,0,0,0,0,0,0,0
16,16,2,0,1,0,0,0,0,0,0,1
17,6,0,0,1,0,0,0,0,0,0,1
18,6,1,0,0,0,0,0,0,0,0,0
19,2,1,0,0,0,0,0,0,0,0,0
20,8,0,0,0,1,0,3,0,0,0,1
21,12,0,0,1,0,0,3,0,0,0,0
22,16,0,0,0,0,0,0,0,0,1,2
23,20,2,0,0,0,0,0,0,0,0,1
24,4,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,2,0,0,0,0,0,0,0
27,0,0,0,0,1,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,1,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,2,6,0,0,0,0,0,0,0,0,0
35,0,2,0,0,0,0,0,0,0,0,0
36,0,1,0,0,0,0,0,0,0,0,0
37,0,1,0,0,0,0,0,0,0,0,0
38,0,1,0,0,0,0,0,0,0,0,1
39,0,3,0,1,0,0,0,0,0,0,0
40,0,1,0,0,0,0,0,0,0,0,0
41,2,2,0,0,0,0,0,0,0,0,0
42,0,2,0,0,0,0,0,0,0,0,0
43,0,3,0,0,0,0,0,0,0,0,0
44,2,2,0,1,0,0,1,0,0,0,1
45,4,3,0,1,0,0,1,0,0,1,1
46,8,2,0,3,0,0,1,0,0,0,1
47,6,2,0,0,0,1,0,0,0,0,0
48,14,0,0,0,0,0,0,0,0,0,1
49,4,0,0,0,1,0,1,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0
58,0,6,0,0,0,0,0,0,0,0,0
59,0,3,0,0,0,0,0,0,0,0,0
60,0,4,0,0,0,0,0,0,0,0,1
61,0,2,0,0,0,0,4,0,0,0,0
62,2,2,0,0,0,0,3,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0
64,0,2,0,1,0,0,0,0,0,0,0
65,4,1,0,0,0,0,0,0,0,0,0
66,0,2,0,0,0,0,0,0,0,0,1
67,2,2,0,2,0,0,0,0,0,0,0
68,12,6,0,3,0,1,0,0,0,0,0
69,10,4,0,5,0,0,0,0,0,0,2
70,36,1,0,4,1,0,0,0,1,0,0
71,34,0,0,2,0,0,1,0,0,0,1
72,8,0,0,1,0,0,0,0,0,0,0
73,4,1,0,1,0,0,0,0,0,0,1
74,0,0,0,0,0,0,0,0,0,0,0
75,0,1,0,0,0,0,1,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,1,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0
82,0,6,0,0,0,0,0,0,0,0,0
83,0,1,0,0,0,0,0,0,0,0,0
84,0,1,0,0,0,0,0,0,0,0,0
85,0,1,0,0,0,0,1,0,0,0,1
86,0,2,0,1,0,0,0,0,0,0,0
87,0,1,0,3,0,0,0,0,0,0,0
88,0,4,0,0,0,0,2,0,0,0,1
89,0,5,0,2,0,0,1,0,0,0,1
90,0,1,0,1,0,0,0,0,0,0,0
91,8,1,0,0,0,0,0,0,0,0,3
92,4,3,0,1,0,0,0,0,0,0,0
93,4,1,0,2,0,0,0,0,0,0,0
94,20,0,0,0,1,0,0,0,0,0,2
95,40,1,0,6,1,1,0,0,0,0,0
96,15,2,0,1,1,0,0,0,0,1,0
97,16,1,0,1,0,0,0,0,0,0,0
98,0,1,0,0,0,0,0,0,0,0,0
99,4,1,0,2,0,0,0,0,0,0,3
100,2,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0
106,0,6,0,0,0,0,0,0,0,0,0
107,2,4,0,0,0,0,0,0,0,0,0
108,0,3,0,2,0,0,0,0,0,0,1
109,0,1,0,0,0,0,1,0,0,0,0
110,2,0,0,0,0,0,3,0,0,0,1
111,2,0,0,0,0,0,1,0,0,0,0
112,0,4,0,0,0,0,0,0,0,0,0
113,0,1,0,1,0,0,0,0,0,0,0
