how,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,NA
0,40,6,0,64,27,3,9,0,10,7,36
1,14,4,0,48,25,6,3,0,10,9,17
2,11,2,0,37,39,2,6,1,2,4,21
3,8,4,0,27,47,1,2,0,1,3,24
4,5,0,0,28,48,0,1,0,0,2,9
5,6,1,0,7,35,0,1,0,0,2,8
6,0,1,0,6,8,0,3,0,1,3,2
7,0,1,0,7,1,0,0,0,0,1,2
8,0,0,0,2,4,0,0,0,0,0,1
9,0,0,0,3,0,0,1,0,0,0,0
10,0,0,0,0,0,1,0,0,6,0,2
11,0,2,0,1,0,2,0,0,0,0,3
12,5,1,0,9,0,1,33,0,5,1,6
13,2,2,0,13,1,5,20,0,1,2,3
14,7,5,0,42,1,7,21,0,5,0,9
15,5,1,0,36,10,8,10,1,9,6,14
16,40,7,0,44,9,5,10,1,8,6,30
17,47,4,0,53,12,6,8,0,28,12,34
18,21,4,0,51,3,1,6,0,14,5,29
19,17,0,0,45,8,4,5,0,12,2,19
20,18,3,0,54,10,2,15,0,18,5,22
21,11,4,0,35,17,6,8,0,12,7,30
22,21,7,0,35,17,12,7,0,6,9,26
23,40,3,0,27,18,3,7,1,15,11,25
24,16,3,0,18,14,11,2,0,9,8,16
25,9,5,0,5,7,4,1,0,3,3,15
26,5,0,0,18,16,1,2,0,12,4,7
27,4,2,0,5,7,3,1,0,4,3,10
28,0,3,0,3,6,1,2,0,4,5,6
29,0,0,0,1,10,0,0,0,1,2,5
30,1,0,0,2,2,0,0,0,1,0,2
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,1,0,0,0,0
34,2,6,0,2,0,1,2,0,1,2,2
35,1,3,0,5,0,5,7,0,5,0,8
36,1,1,0,16,0,1,5,0,4,0,5
37,2,4,0,10,1,7,16,1,14,6,16
38,9,6,0,16,0,4,7,0,3,2,7
39,9,4,0,25,2,9,18,0,18,0,15
