how,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,NA
0,3,0,0,13,5,1,5,0,0,7,21
1,2,0,0,7,2,4,2,0,0,8,12
2,1,0,0,10,9,0,2,0,0,4,11
3,0,0,0,2,9,0,0,0,0,5,6
4,0,0,0,3,6,0,0,0,0,2,5
5,0,0,0,1,1,0,2,0,0,2,1
6,0,0,0,0,3,0,2,0,0,3,2
7,0,0,0,1,0,0,0,0,0,2,0
8,0,0,0,0,0,0,0,0,0,0,1
9,0,0,0,1,0,0,0,0,0,0,0
10,0,0,0,0,0,1,0,0,0,0,0
11,0,2,0,0,0,1,0,0,0,0,1
12,1,0,0,0,0,0,0,0,0,2,2
13,0,1,0,0,0,0,0,0,1,0,1
14,1,0,0,4,0,0,5,0,0,0,5
15,1,0,0,4,0,0,3,1,0,7,10
16,1,0,0,8,0,1,5,1,0,6,14
17,3,0,0,7,0,1,10,0,0,9,13
18,2,0,0,3,0,0,2,0,2,3,12
19,2,0,0,5,0,2,0,0,0,3,6
20,3,1,0,4,2,2,3,0,0,3,13
21,0,0,0,7,0,1,1,0,0,7,14
22,2,4,0,6,3,8,4,0,0,7,11
23,6,0,0,7,2,1,4,0,2,11,22
24,3,0,0,2,0,2,5,0,1,8,7
25,0,0,0,4,1,0,0,0,0,3,3
26,0,0,0,5,5,1,1,0,0,2,3
27,0,0,0,0,1,1,0,0,0,1,4
28,0,3,0,0,0,0,3,0,0,8,5
29,0,0,0,0,3,0,0,0,0,0,3
30,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,1,0,0,0,0,2,1,0,0,2,0
35,0,1,0,1,0,0,2,0,0,0,1
36,0,0,0,1,0,2,5,0,0,0,5
37,0,0,0,1,0,6,12,1,7,6,14
38,0,2,0,2,0,2,3,0,0,2,5
39,0,0,0,2,0,6,10,0,0,0,5
40,0,0,0,8,0,5,2,0,1,0,8
41,1,0,0,4,0,4,3,0,0,0,9
42,0,0,0,2,0,1,4,0,0,4,3
43,1,0,0,3,0,0,3,0,1,2,7
44,0,0,0,2,0,0,0,0,0,3,0
45,0,1,0,5,0,2,5,0,0,7,5
46,0,0,0,5,0,1,3,0,0,2,9
47,1,0,0,12,0,0,1,0,0,12,5
48,1,1,0,5,0,0,2,0,1,9,6
49,2,1,0,7,0,0,3,0,1,1,8
50,0,0,0,1,0,0,2,0,0,2,3
51,3,0,0,0,0,0,0,0,0,1,2
52,0,0,0,0,0,0,1,0,0,3,2
53,0,0,0,0,0,0,0,0,0,0,1
54,0,0,0,0,0,1,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,1,0,0,0,1
59,0,0,0,1,0,2,1,1,0,2,3
60,0,2,0,2,0,2,5,0,1,3,15
61,0,0,0,2,1,0,16,0,0,3,4
62,0,2,0,0,0,5,5,1,1,0,5
63,0,0,0,2,0,8,1,0,0,4,1
64,0,0,0,4,0,0,10,1,2,6,7
65,1,0,0,7,0,1,2,0,0,0,4
66,1,0,0,6,0,0,2,0,1,5,4
67,1,3,0,1,0,2,5,0,2,2,5
68,0,0,0,1,0,0,1,0,0,2,2
69,2,0,0,5,2,4,1,0,1,5,7
70,0,3,0,7,0,0,1,0,0,11,6
71,3,0,0,8,2,0,0,0,0,3,6
72,1,0,0,8,0,0,1,0,0,1,6
73,0,0,0,1,0,0,0,0,0,0,3
74,0,0,0,1,0,1,0,0,0,0,5
75,1,0,0,1,1,0,0,0,0,4,2
76,1,0,0,0,0,0,4,0,0,4,3
77,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,1,0,0,0,0,0,0,1
79,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,1,0,2,0,0,4,2
81,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,2,2
83,0,0,0,1,0,2,1,0,0,2,4
84,0,0,0,0,0,2,1,0,1,0,5
85,0,0,0,1,0,3,5,1,2,0,4
86,0,2,0,1,0,4,4,0,0,1,5
87,1,1,0,3,0,6,6,0,1,1,7
88,0,1,0,4,1,3,1,0,0,2,4
89,0,0,0,7,0,1,1,0,1,4,6
90,0,0,0,6,0,3,4,0,1,5,5
91,0,0,0,7,0,1,4,1,1,8,9
92,0,3,0,0,1,0,4,0,0,8,7
93,2,0,0,12,0,0,1,0,0,5,5
94,2,0,0,12,3,1,3,1,0,4,7
95,3,0,0,14,1,2,0,0,0,7,9
96,0,0,0,7,0,0,1,0,0,0,3
97,0,0,0,3,3,0,0,1,0,0,4
98,1,1,0,3,0,0,1,0,0,2,4
99,0,0,0,4,1,0,0,0,0,0,2
100,0,0,0,0,1,0,1,0,0,4,1
101,0,0,0,0,2,0,0,0,0,2,0
102,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,1,1
107,0,0,0,0,0,0,4,0,0,4,2
108,9,1,0,1,0,0,2,0,1,1,13
109,0,1,0,1,0,1,4,0,1,5,11
110,0,0,0,1,1,2,13,0,2,9,13
111,0,2,0,9,0,9,7,0,5,5,16
112,0,1,0,12,2,10,4,0,0,4,8
113,0,0,0,5,1,4,5,0,2,6,6
114,3,1,0,7,1,1,6,1,1,12,7
115,0,0,0,5,2,2,4,0,0,3,10
116,1,0,0,2,3,1,2,0,0,2,7
117,1,0,0,12,2,0,3,0,1,0,4
118,0,0,0,3,5,1,0,0,0,1,8
119,2,0,0,12,2,2,1,0,0,3,10
120,5,0,0,7,7,2,2,0,1,3,3
121,0,0,0,7,0,0,0,0,0,4,9
122,1,0,0,1,1,0,3,0,0,7,3
123,0,0,0,0,6,0,2,0,0,6,4
124,1,0,0,1,1,0,0,0,0,2,5
125,0,2,0,2,1,0,1,0,1,2,1
126,0,0,0,0,0,0,0,0,0,0,3
127,0,0,0,0,0,0,0,0,0,3,2
128,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,1
130,0,0,0,1,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,3
132,0,1,0,2,0,3,8,0,0,2,14
133,0,3,0,2,0,3,10,0,3,8,11
134,1,1,0,1,0,2,6,0,1,5,12
135,0,0,0,4,0,3,4,0,2,2,10
136,1,0,0,11,0,0,7,0,6,3,19
137,0,0,0,14,0,3,4,0,1,8,8
138,0,0,0,9,0,1,0,0,0,2,11
139,1,1,0,4,0,1,4,0,0,0,7
140,1,0,0,1,1,0,1,0,3,3,5
141,2,0,0,9,3,1,5,0,2,8,12
142,2,1,0,17,3,3,8,0,1,4,15
143,7,0,0,16,6,1,5,0,1,6,13
144,6,2,0,13,1,4,3,0,0,4,14
145,1,0,0,10,0,1,2,0,0,2,8
146,2,1,0,10,5,3,1,2,0,4,8
147,0,0,0,15,3,0,0,0,1,2,5
148,0,0,0,6,2,1,0,0,0,4,5
149,0,0,0,3,3,0,0,0,0,0,1
150,0,1,0,0,2,0,3,0,0,6,3
151,1,0,0,0,0,0,0,0,0,3,3
152,0,0,0,0,0,0,0,0,0,0,1
153,0,0,0,0,2,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,1,1
155,0,0,0,0,0,0,1,0,0,5,2
156,0,0,0,1,0,0,2,0,0,2,4
157,0,0,0,1,1,0,2,0,0,8,5
158,1,0,0,3,0,0,4,0,0,3,7
159,1,1,0,2,0,1,5,0,1,5,14
160,6,0,0,6,0,3,2,0,0,2,17
161,8,0,0,12,0,2,2,0,1,2,21
162,4,0,0,4,2,0,11,0,0,1,17
163,1,0,0,4,0,4,4,0,1,6,16
164,8,0,0,2,1,4,4,0,2,6,23
165,2,0,0,9,0,3,4,1,0,3,18
166,2,0,0,12,4,1,1,1,0,3,7
167,2,0,0,9,3,2,6,0,0,7,11
